ProductCode,Name,XRefID,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_000857,TROLLI SR BRT WATERMELON PEG 7.2z,1082950,,a,601 02B 000,Each,1.00,,,u,_041420024115,Master,1.25,0.00,1900-01-01,2075-12-31
_000857,,,,,,,,,,u,_041420110238,North Carolina,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,South Carolina,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,VA - 1.50,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,VA - 2.50,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,VA - 3.00,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,VA - 3.50,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,VA - 4.00,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,VA - 4.50,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,VA - 5.00,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,VA - 5.40,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,VA - 7.50,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,VA - 8.50,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,VA - 9.00,1.25,0.00,2017-09-28,2075-12-31
_001602,ARMOR ALL GLASS WIPES,1079393,,a,601 20B 01,Each,1.00,,,u,_070612172402,Master,0.72,0.00,1900-01-01,2075-12-31
_001602,,,,,,,,,,,,North Carolina,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,South Carolina,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,VA - 1.50,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,VA - 2.50,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,VA - 3.00,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,VA - 3.50,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,VA - 4.00,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,VA - 4.50,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,VA - 5.00,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,VA - 5.40,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,VA - 7.50,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,VA - 8.50,0.72,0.00,2016-03-10,2075-12-31
_001602,,,,,,,,,,,,VA - 9.00,0.72,0.00,2016-03-10,2075-12-31
_002063,TGIF MOZZARELLA CHEESE STIX,126767,,a,601 17 000,Each,1.00,,,u,_046704068502,Master,0.00,0.00,2016-01-18,2075-12-31
_004117,SPEEDWAY HOLIDAY TOY TRUCK 2017,1085413,,a,601 22 000,Case - 6,6.00,,,u,_841112102523,Master,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,North Carolina,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,South Carolina,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,VA - 1.50,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,VA - 2.50,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,VA - 3.00,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,VA - 3.50,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,VA - 4.00,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,VA - 4.50,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,VA - 5.00,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,VA - 5.40,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,VA - 7.50,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,VA - 8.50,0.03,0.00,2017-10-26,2075-12-31
_004117,,,,,,,,,,,,VA - 9.00,0.03,0.00,2017-10-26,2075-12-31
_004366,CRYSTAL LIGHT OTG LEMONADE,158051,,a,601 33 100,Case - 30,30.00,,,u,_000004384502,Master,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,u,_043000007969,North Carolina,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,South Carolina,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,VA - 1.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,VA - 2.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,VA - 3.00,6.32,0.00,2016-01-28,2075-12-31
