,,Common Item Properties,,,,,,,,,Tracking,,,,,,,,,Unit of Measure Conversions,,,,,,,,,,Selling,,,,,,,,,,,,,      Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Groups,,,,,,,,,
Item ExternalID,Purged in BC,Item Name*,Item Description*,SoldAs*,Category*,Base UOM Class*,Reported In UOM,Manufacturer,SKUNumber,Taxability*,,,,,,,,,,Conversion 1,,,,,Conversion 2,,,,,Base Properties,,,,,,Retail Packs,,,,,,,Attribute #1,,Attribute #2,,Attribute #3,,Attribute #4,,Attribute #5,,Attribute #6,,Attribute #7,,Attribute #8,,Attribute #9,,Attribute #10,,Attribute #11,,Attribute #12,,Attribute #13,,Attribute #14,,Attribute #15,,Attribute #16,,Attribute #17,,Attribute #18,,Attribute #19,,Attribute #20,,Attribute #21,,Attribute #22,,Attribute #23,,Attribute #24,,Attribute #25,,Attribute #26,,Attribute #27,,Attribute #28,,Attribute #29,,Attribute #30,,,,,,,,,,,
,,,,,,,,,,,Active*,Track*,Expense Upon Receiving,Allow Fractional Quantities,Set Variance to Zero,Waste Tolerence,Missing Tolerence,Default Adjustment UOM,Default Transfer UOM,From UOM,From Qty,To Class,To UOM,To Qty,From UOM,From Qty,To Class,To UOM,To Qty,Retail Strategry,Prompt for Qty at POS*,Auto Queue Shelf Label*,Requires Swipe at POS*,Credit Category,Shelf Label UOM,Pack Name*,Pack Qty*,Retail Level Group,External Id*,List Price*,Barcode Type*,Barcode Number*,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Item Group #1,Item Group #2,Item Group #3,Item Group #4,Item Group #5,Item Group #6,Item Group #7,Item Group #8,Item Group #9,Item Group #10
13442,n,BUD 6PK 16z CN,,g,401 01 002 Premium,Count,,ANHEUSER BUSCH INBEV,BUD 16z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,16,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,13442-6,12.99,u,_018200000188,Beer Category - ***,MultiPack Premium,BEER PRODUCT GRPS-idc,BDC16Z6P  bud 6p 16z cn fmly,Beer Type-***,Premium,Brand-***,BUDWEISER,Family -***,Budweiser,Flavor Type-***,Beer,IKB KEY (POG)-***,2769,Manufacturer-***,ANHEUSER BUSCH INBEV,Product Size-***,16oz,Product Type-***,MultiPack,RSU Unit Text -***,6-Pack,Segment - ***,Premium,Sub Segment -***,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13452,n,BUD LT 6PK 16z CN,,g,401 01 002 Premium,Count,,ANHEUSER BUSCH INBEV,BUD LT 16z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,16,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,13452-6,12.99,u,_018200001154,BEER PRODUCT GRPS-idc,BDC16Z6P  bud 6p 16z cn fmly,Beer Type-***,Premium,Brand-***,BUDWEISER,Flavor Type-***,Beer,IKB KEY (POG)-***,2770,Manufacturer-***,ANHEUSER BUSCH INBEV,Product Size-***,16oz,Product Type-***,401 Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13458,n,BUSCH 6PK 16z CN,,g,401 01 003 Value,Count,,ANHEUSER BUSCH INBEV,BUSCH 16z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,16,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,13458-6,12.99,u,_018200000638,BEER PRODUCT GRPS-idc,BSC16Z6P  busch 6p 16z cn fmly,BEER PRODUCT GRPS-idc,BSC16Z6P busch 6p 16z cn fmly,Beer Type-***,Value,Brand-***,BUSCH,Flavor Type-***,Beer,Manufacturer-***,ANHEUSER BUSCH INBEV,Product Size-***,16oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13471,n,MILLER GD 6PK 12z CN,,g,401 01 002 Premium,Count,,MILLERCOORS,MILLER GD 12z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,13471-6,12.99,u,_034100005542,BEER PRODUCT GRPS-idc,MLC6P  mlr 6p 12z cn fmly,Beer Type-***,Premium,Brand-***,MILLER,Flavor Type-***,Beer,IKB KEY (POG)-***,10176,IKB KEY (POG)-***,688876,Manufacturer-***,MILLERCOORS,Product Size-***,12oz,Product Type-***,401 Geniune Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13479,n,MILLER HL 6PK 12z CN,,g,401 01 003 Value,Count,,MILLERCOORS,MILLER HL 12z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,13479-6,12.99,u,_034100000042,BEER PRODUCT GRPS-idc,MHC6P  mlr 6p 12z cn fmly,BEER PRODUCT GRPS-idc,MHC6P miller hl 6p 12z cn fmly,Beer Type-***,Value,Brand-***,MILLER,Flavor Type-***,Beer,IKB KEY (POG)-***,2973,Manufacturer-***,MILLERCOORS,Product Size-***,12oz,Product Type-***,401 High Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13482,n,MILLER HL 6PK 16z CN,,g,401 01 003 Value,Count,,MILLERCOORS,MILLER HL 16z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,16,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,13482-6,12.99,u,_034100000073,BEER PRODUCT GRPS-idc,MHC16Z6P  miller hl 6p 16z cn fmly ,BEER PRODUCT GRPS-idc,MHC16Z6P miller hl 6p 16z cn,Beer Type-***,Value,Brand-***,MILLER,Flavor Type-***,Beer,IKB KEY (POG)-***,2759,Manufacturer-***,MILLERCOORS,Product Size-***,16oz,Product Type-***,401 High Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13487,n,MILLER LT 6PK 16z CN,,g,401 01 002 Premium,Count,,MILLERCOORS,MILLER LT 16z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,16,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,13487-6,12.99,u,_034100003579,BEER PRODUCT GRPS-idc,MLC16Z6P  mlr 6p16z cn fmly,Beer Type-***,Premium,Brand-***,MILLER,Flavor Type-***,Beer,IKB KEY (POG)-***,2771,Manufacturer-***,MILLERCOORS,Product Size-***,16oz,Product Type-***,401 Lt,SMOKELESS TOBACCO-fwv,APR10KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
