,,Common Item Properties,,,,,,,,,Tracking,,,,,,,,,Unit of Measure Conversions,,,,,,,,,,Selling,,,,,,,,,,,,,      Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Groups,,,,,,,,,
Item ExternalID,Purged in BC,Item Name*,Item Description*,SoldAs*,Category*,Base UOM Class*,Reported In UOM,Manufacturer,SKUNumber,Taxability*,,,,,,,,,,Conversion 1,,,,,Conversion 2,,,,,Base Properties,,,,,,Retail Packs,,,,,,,Attribute #1,,Attribute #2,,Attribute #3,,Attribute #4,,Attribute #5,,Attribute #6,,Attribute #7,,Attribute #8,,Attribute #9,,Attribute #10,,Attribute #11,,Attribute #12,,Attribute #13,,Attribute #14,,Attribute #15,,Attribute #16,,Attribute #17,,Attribute #18,,Attribute #19,,Attribute #20,,Attribute #21,,Attribute #22,,Attribute #23,,Attribute #24,,Attribute #25,,Attribute #26,,Attribute #27,,Attribute #28,,Attribute #29,,Attribute #30,,,,,,,,,,,
,,,,,,,,,,,Active*,Track*,Expense Upon Receiving,Allow Fractional Quantities,Set Variance to Zero,Waste Tolerence,Missing Tolerence,Default Adjustment UOM,Default Transfer UOM,From UOM,From Qty,To Class,To UOM,To Qty,From UOM,From Qty,To Class,To UOM,To Qty,Retail Strategry,Prompt for Qty at POS*,Auto Queue Shelf Label*,Requires Swipe at POS*,Credit Category,Shelf Label UOM,Pack Name*,Pack Qty*,Retail Level Group,External Id*,List Price*,Barcode Type*,Barcode Number*,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Item Group #1,Item Group #2,Item Group #3,Item Group #4,Item Group #5,Item Group #6,Item Group #7,Item Group #8,Item Group #9,Item Group #10
37003158,n,CHI CHI MARGARITA 200ML,,g,401 03 001 Liquor,Count,,GLENMORE DISTILLERIES,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,200,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003158-1,2.99,u,_089000018796,Brand-***,CHI CHIS,Flavor Type-***,Margarita,Manufacturer-***,GLENMORE DISTILLERIES,Product Size-***,200ml,Product Type-***,401 Liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003159,n,CAMO SILVER ICE 40Z LN,,g,401 01 003 Value,Count,,CAMO BREWING CO INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,40,,,,,,Alcohol,n,y,n,,,Each,1,Beer,37003159-1,4.99,u,_633745351023,Brand-***,CAMO,Flavor Type-***,Beer,Manufacturer-***,CAMO BREWING CO INC,Product Size-***,40oz,Product Type-***,401 Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003162,n,BOULDER HAZED & INFUSED 6PK 12Z CN,,g,401 01 004 High End,Count,,BOULDER BEER CO,BOULDER HAZED & INFUSED 12Z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,37003162-6,20.00,u,_050939112114,Manufacturer-***,401 BOULDER BEER CO,Product Size-***,12oz,Product Size-***,6pk,Product Type-***,401 Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124483,n,LEELANAU GREAT LAKES RED 750ML,,g,401 02 001 Wine,Count,,LEELANAU WINE CELLARS LTD,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,750,,,,,,Alcohol,n,y,n,,,Each,1,Wine,1124483-1,75.00,u,_084970070508,Brand-***,LEELANAU,Manufacturer-***,LEELANAU WINE CELLARS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124533,n,BUD CHELADA 6PK 12Z CN,,g,401 01 004 High End,Count,,ANHEUSER BUSCH INBEV,BUD CHELADA 12Z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,1124533-6,88.88,u,_018200002342,Brand-***,CHELADA,Manufacturer-***,ANHEUSER BUSCH INBEV,Product Size-***,12oz,Product Size-***,6pk,Product Type-***,401 Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003182,n,PACIFICO 32Z LN,,g,401 01 004 High End,Count,,CONSTELLATION,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,32,,,,,,Alcohol,n,y,n,,,Each,1,Beer,37003182-1,88.88,u,_080660953052,Brand-***,PACIFICO,Manufacturer-***,CONSTELLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003183,n,PACIFICO 12PK 12Z LN,,g,401 01 004 High End,Count,,CONSTELLATION,PACIFICO 12Z LN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,12-Each,12,Beer,37003183-12,88.88,u,_080660953151,Brand-***,PACIFICO,Manufacturer-***,CONSTELLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
