,,Common Item Properties,,,,,,,,,Tracking,,,,,,,,,Unit of Measure Conversions,,,,,,,,,,Selling,,,,,,,,,,,,,      Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Groups,,,,,,,,,
Item ExternalID,Purged in BC,Item Name*,Item Description*,SoldAs*,Category*,Base UOM Class*,Reported In UOM,Manufacturer,SKUNumber,Taxability*,,,,,,,,,,Conversion 1,,,,,Conversion 2,,,,,Base Properties,,,,,,Retail Packs,,,,,,,Attribute #1,,Attribute #2,,Attribute #3,,Attribute #4,,Attribute #5,,Attribute #6,,Attribute #7,,Attribute #8,,Attribute #9,,Attribute #10,,Attribute #11,,Attribute #12,,Attribute #13,,Attribute #14,,Attribute #15,,Attribute #16,,Attribute #17,,Attribute #18,,Attribute #19,,Attribute #20,,Attribute #21,,Attribute #22,,Attribute #23,,Attribute #24,,Attribute #25,,Attribute #26,,Attribute #27,,Attribute #28,,Attribute #29,,Attribute #30,,,,,,,,,,,
,,,,,,,,,,,Active*,Track*,Expense Upon Receiving,Allow Fractional Quantities,Set Variance to Zero,Waste Tolerence,Missing Tolerence,Default Adjustment UOM,Default Transfer UOM,From UOM,From Qty,To Class,To UOM,To Qty,From UOM,From Qty,To Class,To UOM,To Qty,Retail Strategry,Prompt for Qty at POS*,Auto Queue Shelf Label*,Requires Swipe at POS*,Credit Category,Shelf Label UOM,Pack Name*,Pack Qty*,Retail Level Group,External Id*,List Price*,Barcode Type*,Barcode Number*,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Item Group #1,Item Group #2,Item Group #3,Item Group #4,Item Group #5,Item Group #6,Item Group #7,Item Group #8,Item Group #9,Item Group #10
10703,n,MILKY WAY REG,,g,601 02 130 M&M Regular Size,Count,,MARS INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Confections,10703-1,1.39,u,_040000422068,Brand-***,MILKY WAY,IKB KEY (POG)-***,324,Manufacturer-***,MARS INC,Product Size-***,Confection Regular,Product Type-***,Confection Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,SCM Parity DSP Forecast,,,,,
10703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_040000001010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM Parity DSP Forecast,,,,,
107530,n,MR B DIP STYLE POTATO CHIP 16z,,g,601 04A 230 Mister Bee,Count,,MISTER BEE POTATO CHIP CO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Weight,Wt. Ounce,16,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,107530-1,4.29,u,_071577000540,Brand-***,ALL MISTER BEE POTATO CHIP CO,Brand-***,ALL MISTER BEE POTATO CHIP CO,Flavor Type-***,Non Applicable,Manufacturer-***,MISTER BEE POTATO CHIP CO,Product Size-***,16oz,Product Type-***,Dip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
10784,n,M&M MILK CHOCOLATE KING,,g,601 02 240 M&M King Size,Count,,MARS INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Confections,10784-1,1.99,u,_040000026501,Brand-***,M AND M,Flavor Type-***,Non Applicable,IKB KEY (POG)-***,292,Manufacturer-***,MARS INC,Product Size-***,Confection King,Product Type-***,Confection Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,SCM Parity DSP Forecast,,,,,
10784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_040000142553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM Parity DSP Forecast,,,,,
10784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_040000420248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM Parity DSP Forecast,,,,,
10784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_040000509103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM Parity DSP Forecast,,,,,
