,,Common Item Properties,,,,,,,,,Tracking,,,,,,,,,Unit of Measure Conversions,,,,,,,,,,Selling,,,,,,,,,,,,,      Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Groups,,,,,,,,,
Item ExternalID,Purged in BC,Item Name*,Item Description*,SoldAs*,Category*,Base UOM Class*,Reported In UOM,Manufacturer,SKUNumber,Taxability*,,,,,,,,,,Conversion 1,,,,,Conversion 2,,,,,Base Properties,,,,,,Retail Packs,,,,,,,Attribute #1,,Attribute #2,,Attribute #3,,Attribute #4,,Attribute #5,,Attribute #6,,Attribute #7,,Attribute #8,,Attribute #9,,Attribute #10,,Attribute #11,,Attribute #12,,Attribute #13,,Attribute #14,,Attribute #15,,Attribute #16,,Attribute #17,,Attribute #18,,Attribute #19,,Attribute #20,,Attribute #21,,Attribute #22,,Attribute #23,,Attribute #24,,Attribute #25,,Attribute #26,,Attribute #27,,Attribute #28,,Attribute #29,,Attribute #30,,,,,,,,,,,
,,,,,,,,,,,Active*,Track*,Expense Upon Receiving,Allow Fractional Quantities,Set Variance to Zero,Waste Tolerence,Missing Tolerence,Default Adjustment UOM,Default Transfer UOM,From UOM,From Qty,To Class,To UOM,To Qty,From UOM,From Qty,To Class,To UOM,To Qty,Retail Strategry,Prompt for Qty at POS*,Auto Queue Shelf Label*,Requires Swipe at POS*,Credit Category,Shelf Label UOM,Pack Name*,Pack Qty*,Retail Level Group,External Id*,List Price*,Barcode Type*,Barcode Number*,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Item Group #1,Item Group #2,Item Group #3,Item Group #4,Item Group #5,Item Group #6,Item Group #7,Item Group #8,Item Group #9,Item Group #10
107116,n,BETTER MADE RED HOT CHIP 1.5z,,g,601 04A 200 Better Made,Count,,BETTER MADE SNACK FOODS INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Weight,Wt. Ounce,1.5,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,107116-1,0.79,u,_041633001293,Brand-***,BETTER MADE,Flavor Type-***,Hot,Manufacturer-***,BETTER MADE SNACK FOODS INC,Product Size-***,1.5oz,Product Type-***,Potato Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
107537,n,MR B PARTY MIX 11z,,g,601 04A 230 Mister Bee,Count,,MISTER BEE POTATO CHIP CO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Weight,Wt. Ounce,11,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,107537-1,3.99,u,_071577003008,Brand-***,ALL MISTER BEE POTATO CHIP CO,Flavor Type-***,Non Applicable,Manufacturer-***,MISTER BEE POTATO CHIP CO,Product Size-***,11oz,Product Type-***,Party Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
10982,n,TRIDENT BUBBLE GUM VPAK,,g,601 02A 127 Trident,Count,,MONDELEZ INTERNATIONAL INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Confections,10982-1,1.49,u,_012546011440,Brand-***,TRIDENT,Flavor Type-***,Non Applicable,IKB KEY (POG)-***,390,Manufacturer-***,MONDELEZ INTERNATIONAL INC,Product Type-***,Gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,SCM Parity DSP Forecast,,,,,
10982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_012546615563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110304,n,SNYDER BBQ POTATO CHIPS 10z,,g,601 04A 330 Snyder Of Berlin,Count,,SNYDERS LANCE INC,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Weight,Wt. Ounce,10,,,,,,General Merchandise,n,y,n,,,Each,1,DSD Salty/Meat Snacks,110304-1,4.29,u,_023000381801,Brand-***,SNYDER OF BERLIN,Flavor Type-***,Barbecue,Manufacturer-***,SNYDERS LANCE INC,Product Size-***,10oz,Product Size-***,11oz,Product Type-***,Potato Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
10421,n,SKOAL MN BNDIT TIN,,g,601 01 400 Moist,Count,,US SMOKELESS TOBACCO CO,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,Tobacco and Services,n,y,n,,,Each,1,TOB Moist,10421-1,11.25,u,_073100000904,Brand-***,SKOAL,BUYDOWN SMOKELESS TOB-fwv,SKOAL/COPENHAGEN (USST),BUYDOWN SMOKELESS TOB-fwv,ALL SNUFF $.10 OFF,BUYDOWN SMOKELESS TOB-fwv,KY SNUFF DISC PREM $.20 OFF,BUYDOWN SMOKELESS TOB-fwv,USST (Copnh/skoal)-Special BA,BUYDOWN SMOKELESS TOB-fwv,SKOAL SGL CANS,BUYDOWN SMOKELESS TOB-fwv,SKOAL-Special BJ,BUYDOWN/SPECIALS SMOKELESS TOB-fwv,SKOAL,BUYDOWN/SPECIALS SMOKELESS TOB-fwv,ALL SNUFF $.10 OFF,BUYDOWN/SPECIALS SMOKELESS TOB-fwv,SKOAL/COPENHAGEN/ROOSTER,BUYDOWN/SPECIALS SMOKELESS TOB-fwv,KY SNUFF DISC PREM $.20 OFF,Flavor Type-***,Tobacco,IKB KEY (POG)-***,602,Manufacturer-***,US Smokeless Tobacco Co.,Product Size-***,Misc. Tobacco,Product Type-***,Snuff,SMOKELESS TOBACCO-fwv,$2OFF2 SKOAL/COPEN/ROOSTER,SMOKELESS TOBACCO-fwv,PREM,SMOKELESS TOBACCO-fwv,UST PROMO APR/MAY 06,SMOKELESS TOBACCO-fwv,UST SINGLE CANS,SMOKELESS TOBACCO-fwv,SKOAL/COPEN w/o SKL DRY,SMOKELESS TOBACCO-fwv,USST (Copenh/Skoal)-Special,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,SCM Parity DSP Forecast,,,,,
10421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-Each,5,TOB Moist,10421-5,56.25,u,_0730911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
