ItemExternalID,PurgeFlag,ItemName,ItemDescription,SoldAs,Category,BaseUOMClass,ReportedInUOM,Manufacturer,SKUNumber,Taxabililty,Active,Track,ExpenseUponReceiving,AllowFractionalQuantities,SetVarianceToZero,WasteTolerance,MissingTolerance,DefaultAdjustmentUOM,DefaultTransferUOM,ConvertFromUOMName1,ConvertFromUOMQty1,ConvertToUOMClass1,ConvertToUOMName1,ConvertToUOMQty1,ConvertFromUOMName2,ConvertFromUOMQty2,ConvertToUOMClass2,ConvertToUOMName2,ConvertToUOMQty2,RetailStrategy,PrompForQtyAtPOS,AutoQueueShelfLabel,RequiresSwipeAtPos,CreditCategoryCode,ShelfLabelUOM,PackName,PackQty,RetailLevelGroup,PackExternalId,ListPrice,BarcodeType,BarcodeNumber,attribute1,attribute_value1,attribute2,attribute_value2,attribute3,attribute_value3,attribute4,attribute_value4,attribute5,attribute_value5,attribute6,attribute_value6,attribute7,attribute_value7,attribute8,attribute_value8,attribute9,attribute_value9,attribute10,attribute_value10,attribute11,attribute_value11,attribute12,attribute_value12,attribute13,attribute_value13,attribute14,attribute_value14,attribute15,attribute_value15,attribute16,attribute_value16,attribute17,attribute_value17,attribute18,attribute_value18,attribute19,attribute_value19,attribute20,attribute_value20,attribute21,attribute_value21,attribute22,attribute_value22,attribute23,attribute_value23,attribute24,attribute_value24,attribute25,attribute_value25,attribute26,attribute_value26,attribute27,attribute_value27,attribute28,attribute_value28,attribute29,attribute_value29,attribute30,attribute_value30,group_name1,group_name2,group_name3,group_name4,group_name5,group_name6,group_name7,group_name8,group_name9,group_name10
--------------,---------,--------,---------------,------,--------,------------,-------------,------------,---------,-----------,------,-----,--------------------,-------------------------,-----------------,--------------,----------------,--------------------,------------------,-------------------,------------------,------------------,-----------------,----------------,-------------------,------------------,------------------,-----------------,----------------,--------------,----------------,-------------------,------------------,------------------,-------------,--------,-------,----------------,--------------,---------,-----------,-------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,------------
10047,n,VISINE EYE DROPS REGULAR .5Z,,g,601 15 014 Eye Care,Count,,Pfizer Consumer Healthcare,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,601 General Merch,n,y,n,,,Each,1,601 General Merch HBA,10047-1,4.99,u,_074300001562,Brand-***,Misc. HBA,Flavor Type-***,Non Applicable,IKB KEY (POG)-***,1653,Manufacturer-***,Johnson & Johnson,Product Size-***,0.5oz,Product Type-***,Eye Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,,,,,,
10047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_074300008035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,c,_7430000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,c,_7430000803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101078,n,z-I/A XTREME WNTRGRN SMKLESS x10/9,,g,601 01 400 Moist,Count,,Conwood Sales Co.,,Use Category Setting,n,n,n,n,n,,,Each,Each,,,,,,,,,,,601 Tobacco,n,y,n,,,Each,1,601 Tobacco Oral Premium,101078-1,4.55,,_,BUYDOWN/SPECIALS SMOKELESS TOB-fwv,ALL SNUFF $.10 OFF,BUYDOWN/SPECIALS SMOKELESS TOB-fwv,KY SNUFF DISC PREM $.20 OFF,Flavor Type-***,Wintergreen,Manufacturer-***,Conwood Sales Co.,Product Size-***,Misc. Tobacco,Product Type-***,Snuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,Transfer Group,,,,,,,
1000215,n,z-COBRA 300W POWER INV,,g,601 20B 08 Truck Accessories,Count,,Cobra,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,601 General Merch,n,y,n,,,Each,1,601 General Merch Automotive,1000215-1,79.99,c,_2837731098,Brand-***,Cobra,Flavor Type-***,Non Applicable,Manufacturer-***,Cobra,Product Type-***,Misc. Trucker Merchandise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
10675,n,HERSHEY ALMOND REG,,g,601 02 110 Hershey Regular Siz,Count,,Hershey,Elite,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,601 Candy,n,y,n,,,Each,1,Candy Regular,10675-1,1.39,c,_3400000241,Brand-***,Hershey,Flavor Type-***,Almond,IKB KEY (POG)-***,312,Manufacturer-***,Hershey,Product Size-***,Confection Regular,Product Type-***,Confection Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,SCM Eby Aurora,SCM EBY Aurora & McLane [Without Food Supplies],Transfer Group,,,,,,
10675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,c,_342410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_034000002412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
