ItemExternalID,PurgeFlag,ItemName,ItemDescription,SoldAs,Category,BaseUOMClass,ReportedInUOM,Manufacturer,SKUNumber,Taxabililty,Active,Track,ExpenseUponReceiving,AllowFractionalQuantities,SetVarianceToZero,WasteTolerance,MissingTolerance,DefaultAdjustmentUOM,DefaultTransferUOM,ConvertFromUOMName1,ConvertFromUOMQty1,ConvertToUOMClass1,ConvertToUOMName1,ConvertToUOMQty1,ConvertFromUOMName2,ConvertFromUOMQty2,ConvertToUOMClass2,ConvertToUOMName2,ConvertToUOMQty2,RetailStrategy,PrompForQtyAtPOS,AutoQueueShelfLabel,RequiresSwipeAtPos,CreditCategoryCode,ShelfLabelUOM,PackName,PackQty,RetailLevelGroup,PackExternalId,ListPrice,BarcodeType,BarcodeNumber,attribute1,attribute_value1,attribute2,attribute_value2,attribute3,attribute_value3,attribute4,attribute_value4,attribute5,attribute_value5,attribute6,attribute_value6,attribute7,attribute_value7,attribute8,attribute_value8,attribute9,attribute_value9,attribute10,attribute_value10,attribute11,attribute_value11,attribute12,attribute_value12,attribute13,attribute_value13,attribute14,attribute_value14,attribute15,attribute_value15,attribute16,attribute_value16,attribute17,attribute_value17,attribute18,attribute_value18,attribute19,attribute_value19,attribute20,attribute_value20,attribute21,attribute_value21,attribute22,attribute_value22,attribute23,attribute_value23,attribute24,attribute_value24,attribute25,attribute_value25,attribute26,attribute_value26,attribute27,attribute_value27,attribute28,attribute_value28,attribute29,attribute_value29,attribute30,attribute_value30,group_name1,group_name2,group_name3,group_name4,group_name5,group_name6,group_name7,group_name8,group_name9,group_name10
--------------,---------,--------,---------------,------,--------,------------,-------------,------------,---------,-----------,------,-----,--------------------,-------------------------,-----------------,--------------,----------------,--------------------,------------------,-------------------,------------------,------------------,-----------------,----------------,-------------------,------------------,------------------,-----------------,----------------,--------------,----------------,-------------------,------------------,------------------,-------------,--------,-------,----------------,--------------,---------,-----------,-------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,----------,----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,------------
146740,n,z-TRUTH $20 ACTIVATN FAST PN MC,,g,i/aTRU MCA 000 Activation,Count,,Truth (prepaid MasterCard),,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,Miscellaneous,n,y,n,,,Each,1,Miscellaneous Retail Items,146740-1,20.00,c,_9936612997,Brand-***,Truth (prepaid MasterCard),Flavor Type-***,Non Applicable,Manufacturer-***,Truth (prepaid MasterCard),Product Type-***,Prepaid MasterCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146741,n,i/aTRUTH $50 ACTIVATN FAST PN MC,,g,i/aTRU MCA 000 Activation,Count,,Truth (prepaid MasterCard),,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,Miscellaneous,n,y,n,,,Each,1,Miscellaneous Retail Items,146741-1,50.00,,_,Brand-***,Truth (prepaid MasterCard),Flavor Type-***,Non Applicable,Manufacturer-***,Truth (prepaid MasterCard),Product Type-***,Prepaid MasterCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146742,n,z-TRUTH $20 RELOAD FAST PN MC,,g,i/aTRU MCR 000 Reload,Count,,Truth (prepaid MasterCard),,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,Miscellaneous,n,y,n,,,Each,1,Miscellaneous Retail Items,146742-1,20.00,,_,Brand-***,Truth (prepaid MasterCard),Flavor Type-***,Non Applicable,Manufacturer-***,Truth (prepaid MasterCard),Product Type-***,Reload MasterCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146745,n,i/aTRUTH $50 RELOAD FAST PN MC,,g,i/aTRU MCR 000 Reload,Count,,Truth (prepaid MasterCard),,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,Miscellaneous,n,y,n,,,Each,1,Miscellaneous Retail Items,146745-1,50.00,,_,Brand-***,Truth (prepaid MasterCard),Flavor Type-***,Non Applicable,Manufacturer-***,Truth (prepaid MasterCard),Product Type-***,Reload MasterCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146748,n,i/aTRUTH $100 ACTIVATN FAST PN MC,,g,i/aTRU MCA 000 Activation,Count,,Truth (prepaid MasterCard),,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,Miscellaneous,n,y,n,,,Each,1,Miscellaneous Retail Items,146748-1,100.00,,_,Brand-***,Truth (prepaid MasterCard),Flavor Type-***,Non Applicable,Manufacturer-***,Truth (prepaid MasterCard),Product Type-***,Prepaid MasterCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146749,n,i/aTRUTH $200 ACTIVATN FAST PN MC,,g,i/aTRU MCA 000 Activation,Count,,Truth (prepaid MasterCard),,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,Miscellaneous,n,y,n,,,Each,1,Miscellaneous Retail Items,146749-1,200.00,,_,Brand-***,Truth (prepaid MasterCard),Flavor Type-***,Non Applicable,Manufacturer-***,Truth (prepaid MasterCard),Product Type-***,Prepaid MasterCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146750,n,i/aTRUTH $400 ACTIVATN FAST PN MC,,g,i/aTRU MCA 000 Activation,Count,,Truth (prepaid MasterCard),,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,Miscellaneous,n,y,n,,,Each,1,Miscellaneous Retail Items,146750-1,400.00,,_,Brand-***,Truth (prepaid MasterCard),Flavor Type-***,Non Applicable,Manufacturer-***,Truth (prepaid MasterCard),Product Type-***,Prepaid MasterCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146753,n,i/aTRUTH $100 RELOAD FAST PN MC,,g,i/aTRU MCR 000 Reload,Count,,Truth (prepaid MasterCard),,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,Miscellaneous,n,y,n,,,Each,1,Miscellaneous Retail Items,146753-1,100.00,,_,Brand-***,Truth (prepaid MasterCard),Flavor Type-***,Non Applicable,Manufacturer-***,Truth (prepaid MasterCard),Product Type-***,Reload MasterCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146755,n,i/aTRUTH $200 RELOAD FAST PN MC,,g,i/aTRU MCR 000 Reload,Count,,Truth (prepaid MasterCard),,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,Miscellaneous,n,y,n,,,Each,1,Miscellaneous Retail Items,146755-1,200.00,,_,Brand-***,Truth (prepaid MasterCard),Flavor Type-***,Non Applicable,Manufacturer-***,Truth (prepaid MasterCard),Product Type-***,Reload MasterCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
