X Ref,Name,Receipt Text,Ranking,Loyality Required,Start Date,End Date,Active,Qualifiers,,,,,
,,,,,,,,Retail Item Group,Minimum Identifier,Minimum Value,Discount Type,Discount Value,Reduces Tax
1163915,401 GLZRBRTX WYB3 $2.00 SP,$2.00 SP,0,n,2019-08-16,2019-10-31,y,401 GLZRBRTX WYB $2.00 SP,Quantity,3,Set Retail,6,y
1163918,401 LFDSTELP TX - 2/$10.00,2/$10.00,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX - 2/$10.00,Quantity,2,Set Retail,10,y
1163916,401 REPNATTX TX WYB $7.99,$7.99 ,0,n,2019-08-16,2019-09-02,y,401 REPNATTX TX WYB $7.99,Quantity,2,Set Retail,15.98,y
1163931,CV4 - ALLIANCE MI 2/$6,2/$6,0,n,2019-08-19,,y,401 - ALLIANCE MI 2/$6,Quantity,2,Set Retail,6,y
1163932,CV4 - ALLNCBVG MI 2/$6.00,2/$6.00,0,n,2019-08-19,,y,401 - ALLNCBVG MI 2/$6.00,Quantity,2,Set Retail,6,y
1163601,CV4 - AZ SINGLES 2/$4.00 SP,SINGLES 2/$4.00 SP,0,n,2019-08-01,2019-08-01,y,401 - AZ SINGLES 2/$4.00 SP,Quantity,2,Set Retail,4,y
1163602,CV4 - AZ SINGLES 2/$4.00 SP (2),SINGLES 2/$4.00,0,n,2019-08-01,2019-09-30,y,401 - AZ SINGLES 2/$4.00 SP,Quantity,2,Set Retail,4,y
1163674,CV4 - BEERHOUS KY 2/$4,2/$4,0,n,2019-08-05,,y,401 - BEERHOUS KY 2/$4,Quantity,2,Set Retail,4,y
1163672,CV4 - CLARKVER KY 2/$10,2/$10,0,n,2019-08-05,,y,401 - CLARKVER KY 2/$10,Quantity,2,Set Retail,10,y
1164290,CV4 - CO ALCRDUR 2/$6.00 SP, 2/$6.00 SP,0,n,2019-09-02,2019-11-03,y,401 - CO ALCRDUR 2/$6.00 SP,Quantity,2,Set Retail,6,y
1164286,CV4 - CO COLEAGLE 2/$4.50 SP,2/$4.50 SP,0,n,2019-09-02,2019-11-03,y,401 - CO COLEAGLE 2/$4.50 SP,Quantity,2,Set Retail,4.5,y
1163933,CV4 - F_SKOGLUND 2F4.50, 2F4.50,0,n,2019-08-20,2019-12-29,y,F_SKOGLUND 2F4.50,Quantity,2,Set Retail,4.5,y
1163670,CV4 - KYEAGLE KY 2/$20,2/$20,0,n,2019-08-05,,y,401 - KYEAGLE KY 2/$20,Quantity,2,Set Retail,20,y
1163678,CV4 - MN BERNALC 2/$2.00,2/$2.00,0,n,2019-08-06,,y,401 - MN BERNALC 2/$2.00,Quantity,2,Set Retail,2,y
1163679,CV4 - MN BERNALC 2/$2.50,2/$2.50,0,n,2019-08-06,,y,401 - MN BERNALC 2/$2.50,Quantity,2,Set Retail,2.5,y
1163676,CV4 - MN BERNALC 2/$3.00,2/$3.00,0,n,2019-08-06,,y,401 - MN BERNALC 2/$3.00,Quantity,2,Set Retail,3,y
1163675,CV4 - MN BERNALC 2/$3.50,2/$3.50,0,n,2019-08-06,,y,401 - MN BERNALC 2/$3.50,Quantity,2,Set Retail,3.5,y
1163680,CV4 - MN BERNALC 2/$4.00, 2/$4.00,0,n,2019-08-06,,y,401 - MN BERNALC 2/$4.00,Quantity,2,Set Retail,4,y
1163677,CV4 - MN BERNALC 2/$5.00,2/$5.00,0,n,2019-08-06,,y,401 - MN BERNALC 2/$5.00,Quantity,2,Set Retail,5,y
1163681,CV4 - MN BERNALC 2/$6.00,2/$6.00,0,n,2019-08-06,,y,401 - MN BERNALC 2/$6.00,Quantity,2,Set Retail,6,y
1164213,CV4 - NM ADMRLGAL 2/4.50 SP,2/4.50 SP,0,n,2019-08-23,2019-10-31,y,401 - NM ADMRLGAL 2/4.50 SP,Quantity,2,Set Retail,4.5,y
1164282,CV4 - NM ADMRLGAL 2/6 SP, 2/6 SP,0,n,2019-08-29,2019-10-31,y,401 - NM ADMRLGAL 2/6 SP,Quantity,2,Set Retail,6,y
1163553,CV4 - NY TRYITDIST 2/$6.00,2/$6.00,0,n,2019-07-29,,y,401 - NY TRYITDIST 2/$6.00,Quantity,2,Set Retail,6,y
1163826,CV4 - POWERS MI 2/$6.00,2/$6.00,0,n,2019-08-08,,y,401 - POWERS MI 2/$6.00,Quantity,2,Set Retail,6,y
1163673,CV4 - RIVERCIT MI 2/$13,2/$13,0,n,2019-08-05,,y,401 - RIVERCIT MI 2/$13,Quantity,2,Set Retail,13,y
1163671,CV4- BUDCLMBA  SC 2/$14.00,2/$14.00,0,n,2019-08-05,,y,401- BUDCLMBA  SC 2/$14.00,Quantity,2,Set Retail,14,y
1164329,CV4 BUDDISAL AL - 2/$2.00,- 2/$2.00,0,n,2019-09-03,,y,401 BUDDISAL AL - 2/$2.00,Quantity,2,Set Retail,2,y
1164330,CV4 BUDDISAL AL - 2/$2.50, - 2/$2.50,0,n,2019-09-03,,y,401 BUDDISAL AL - 2/$2.50,Quantity,2,Set Retail,2.5,y
1164332,CV4 BUDDISAL AL - 2/$3.00,- 2/$3.00,0,n,2019-08-30,,y,401 BUDDISAL AL - 2/$3.00,Quantity,2,Set Retail,3,y
1164333,CV4 BUDDISAL AL - 2/$3.50,- 2/$3.50,0,n,2019-09-03,,y,401 BUDDISAL AL - 2/$3.50,Quantity,2,Set Retail,3.5,y
1164334,CV4 BUDDISAL AL - 2/$4.00,- 2/$4.00,0,n,2019-08-30,,y,401 BUDDISAL AL - 2/$4.00,Quantity,2,Set Retail,4,y
1164335,CV4 BUDDISAL AL - 2/$5.00, - 2/$5.00,0,n,2019-09-03,,y,401 BUDDISAL AL - 2/$5.00,Quantity,2,Set Retail,5,y
1163919,CV4 GLZRBRTX TX - 2/$10.00,2/$10.00,0,n,2019-08-16,2019-10-31,y,401 GLZRBRTX TX - 2/$10.00,Quantity,2,Set Retail,10,y
1163838,CV4 GLZRBRTX TX - 2/$3.00,2/$3.00,0,n,2019-08-13,,y,401 GLZRBRTX TX - 2/$3.00,Quantity,2,Set Retail,3,y
1163839,CV4 GLZRBRTX TX - 2/$3.50,2/$3.50,0,n,2019-08-13,,y,401 GLZRBRTX TX - 2/$3.50,Quantity,2,Set Retail,3.5,y
1163840,CV4 GLZRBRTX TX - 2/$4.00,2/$4.00,0,n,2019-08-13,,y,401 GLZRBRTX TX - 2/$4.00,Quantity,2,Set Retail,4,y
1163841,CV4 GLZRBRTX TX - 2/$5.00,2/$5.00,0,n,2019-08-13,,y,401 GLZRBRTX TX - 2/$5.00,Quantity,2,Set Retail,5,y
1163927,CV4 GLZRBRTX TX - 2/$5.00 SP,2/$5.00 SP,0,n,2019-08-16,2019-10-31,y,401 GLZRBRTX TX - 2/$5.00 SP,Quantity,2,Set Retail,5,y
1163842,CV4 GLZRBRTX TX - 2/$6.00,2/$6.00,0,n,2019-08-13,,y,401 GLZRBRTX TX - 2/$6.00,Quantity,2,Set Retail,6,y
1163922,CV4 GLZRBRTX TX 3/$5.50 SP,3/$5.50 SP,0,n,2019-08-16,2019-10-31,y,401 GLZRBRTX TX 3/$5.50 SP,Quantity,3,Set Retail,5.5,y
1163914,CV4 GLZRBRTX WYB $2.00 SP,$2.00 SP,0,n,2019-08-16,2019-10-31,y,401 GLZRBRTX WYB $2.00 SP,Quantity,2,Set Retail,4,y
1164339,CV4 GULFDIST AL - 2/$3.00, - 2/$3.00,0,n,2019-09-03,,y,401 GULFDIST AL - 2/$3.00,Quantity,2,Set Retail,3,y
