specialXRefID,specialName,specialReceiptText,priorityRanking,requiresLoyalty,startDate,endDate,status,retailItemGroupName,minimumIdentifier,minimumValue,discountType,discountValue,taxReduced
-------------,-----------,------------------,---------------,---------------,---------,-------,------,-------------------,-----------------,------------,------------,-------------,----------
1149567, CV6-LIP BRSK 20Z 2F$2 0617,LIP BRSK 2F2 WUB HOT FOOD,5,n,2017-06-01,2017-08-30,y,fd srv- RG/HOT LUNCH ITEMS 2/2.50 (2/2/15),Quantity,2.0000,Set Retail,2.5000,y
1149567, CV6-LIP BRSK 20Z 2F$2 0617,,,,,,,CV6-LIPTON 20z,Quantity,2.0000,Set Retail,2.0000,y
1152131, GC6- CAPP BOGO 2.49/$2 16z,CAPP BOGO 2.49/$2 16z,6,n,2017-11-01,2017-11-29,y,fd srv- MFN 16z HOT BEVS,Quantity,1.0000,Set Retail,2.0000,y
1152131, GC6- CAPP BOGO 2.49/$2 16z,,,,,,,consum-POWERBAR PROTEIN PLUS 2.49,Quantity,2.0000,Set Retail,2.4900,y
1153465, GN6-PEDIGREE DG BF BOGO 0418,PEDIGREE DOG FD BEEF BOGO,0,n,2018-04-25,2018-06-29,y,nonconsum- PEDIGREE CMPLT DOG FD BEEF,Quantity,1.0000,Set Retail,.0000,y
1156392,1005-CamNew $1.70 OFF(NT)-2,CamNew $1.70 OFF(NT),20,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,2.0000,Price Discount,1.7000,n
1156393,1005-CamNew $1.70 OFF(NT)-3,CamNew $1.70 OFF(NT),19,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,3.0000,Price Discount,1.7000,n
1156340,1005-CamNew $10 OFF(NT)-18,CamNew $10 OFF(NT),4,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,18.0000,Price Discount,10.0000,n
1156341,1005-CamNew $10 OFF(NT)-19,CamNew $10 OFF(NT),3,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,19.0000,Price Discount,10.0000,n
1156343,1005-CamNew $11 OFF(NT)-20,CamNew $11 OFF(NT),2,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,20.0000,Price Discount,11.0000,n
1156324,1005-CamNew $2 OFF(NT)-2,CamNew $2 OFF(NT),20,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,2.0000,Price Discount,2.0000,n
1156325,1005-CamNew $2 OFF(NT)-3,CamNew $2 OFF(NT),19,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,3.0000,Price Discount,2.0000,n
1156394,1005-CamNew $2.40 OFF(NT)-4,CamNew $2.40 OFF(NT),18,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,4.0000,Price Discount,2.4000,n
1156395,1005-CamNew $2.40 OFF(NT)-5,CamNew $2.40 OFF(NT),17,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,5.0000,Price Discount,2.4000,n
1156326,1005-CamNew $3 OFF(NT)-4,CamNew $3 OFF(NT),18,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,4.0000,Price Discount,3.0000,n
1156327,1005-CamNew $3 OFF(NT)-5,CamNew $3 OFF(NT),17,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,5.0000,Price Discount,3.0000,n
1156396,1005-CamNew $3.10 OFF(NT)-6,CamNew $3.10 OFF(NT),16,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,6.0000,Price Discount,3.1000,n
1156397,1005-CamNew $3.10 OFF(NT)-7,CamNew $3.10 OFF(NT),15,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,7.0000,Price Discount,3.1000,n
1156398,1005-CamNew $3.80 OFF(NT)-8,CamNew $3.80 OFF(NT),14,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,8.0000,Price Discount,3.8000,n
1156399,1005-CamNew $3.80 OFF(NT)-9,CamNew $3.80 OFF(NT),13,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,9.0000,Price Discount,3.8000,n
1156328,1005-CamNew $4 OFF(NT)-6,CamNew $4 OFF(NT),16,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,6.0000,Price Discount,4.0000,n
1156329,1005-CamNew $4 OFF(NT)-7,CamNew $4 OFF(NT),15,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,7.0000,Price Discount,4.0000,n
1156400,1005-CamNew $4.50 OFF(NT)-10,CamNew $4.50 OFF(NT),12,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,10.0000,Price Discount,4.5000,n
1156401,1005-CamNew $4.50 OFF(NT)-11,CamNew $4.50 OFF(NT),11,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,11.0000,Price Discount,4.5000,n
1156330,1005-CamNew $5 OFF(NT)-8,CamNew $5 OFF(NT),14,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,8.0000,Price Discount,5.0000,n
1156331,1005-CamNew $5 OFF(NT)-9,CamNew $5 OFF(NT),13,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,9.0000,Price Discount,5.0000,n
1156402,1005-CamNew $5.20 OFF(NT)-12,CamNew $5.20 OFF(NT),10,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,12.0000,Price Discount,5.2000,n
1156403,1005-CamNew $5.20 OFF(NT)-13,CamNew $5.20 OFF(NT),9,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,13.0000,Price Discount,5.2000,n
1156404,1005-CamNew $5.90 OFF(NT)-14,CamNew $5.90 OFF(NT),8,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,14.0000,Price Discount,5.9000,n
1156405,1005-CamNew $5.90 OFF(NT)-15,CamNew $5.90 OFF(NT),7,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,15.0000,Price Discount,5.9000,n
1156332,1005-CamNew $6 OFF(NT)-10,CamNew $6 OFF(NT),12,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,10.0000,Price Discount,6.0000,n
1156333,1005-CamNew $6 OFF(NT)-11,CamNew $6 OFF(NT),11,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,11.0000,Price Discount,6.0000,n
1156406,1005-CamNew $6.60 OFF(NT)-16,CamNew $6.60 OFF(NT),6,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,16.0000,Price Discount,6.6000,n
1156407,1005-CamNew $6.60 OFF(NT)-17,CamNew $6.60 OFF(NT),5,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,17.0000,Price Discount,6.6000,n
1156334,1005-CamNew $7 OFF(NT)-12,CamNew $7 OFF(NT),10,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,12.0000,Price Discount,7.0000,n
1156335,1005-CamNew $7 OFF(NT)-13,CamNew $7 OFF(NT),9,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,13.0000,Price Discount,7.0000,n
1156408,1005-CamNew $7.30 OFF(NT)-18,CamNew $7.30 OFF(NT),4,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,18.0000,Price Discount,7.3000,n
1156409,1005-CamNew $7.30 OFF(NT)-19,CamNew $7.30 OFF(NT),3,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,19.0000,Price Discount,7.3000,n
1156336,1005-CamNew $8 OFF(NT)-14,CamNew $8 OFF(NT),8,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,14.0000,Price Discount,8.0000,n
1156337,1005-CamNew $8 OFF(NT)-15,CamNew $8 OFF(NT),7,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,15.0000,Price Discount,8.0000,n
1156410,1005-CamNew $8.00 OFF(NT)-20,CamNew $8.00 OFF(NT),2,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,20.0000,Price Discount,8.0000,n
1156338,1005-CamNew $9 OFF(NT)-16,CamNew $9 OFF(NT),6,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,16.0000,Price Discount,9.0000,n
1156339,1005-CamNew $9 OFF(NT)-17,CamNew $9 OFF(NT),5,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,17.0000,Price Discount,9.0000,n
1156104,1005-Loy CamNew $1 OFF-10,Loy CamNew $1 OFF-10,12,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,10.0000,Price Discount,1.0000,y
