Supplier Name,F ACEICECO - ACE ICE COMPANY,,,,,,,,,,,,,,,,,,,,
Supplier Xref,ACEICECO,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_10004,ACE ICE 18LB BAG,1093748,1093748,,,,a,Default,Each,1,,,u,_750230000188,Master,0,0,1900-01-01,2075-12-31,,
_10004,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_10004,,,,,,,,,,,,,,,GH Buy Rite,2.4,0,2019-04-09,2075-12-31,,
_10004,,,,,,,,,,,,,,,JD River Country Coop,2.4,0,2019-04-09,2075-12-31,,
_10004,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,2.4,0,2019-04-09,2075-12-31,,
_10004,,,,,,,,,,,,,,,SB HK Corporation,2.4,0,2019-04-09,2075-12-31,,
_10013,ACE ICE 5LB BAG,1093747,1093747,,,,a,Default,Each,1,,,u,_750230000058,Master,0,0,1900-01-01,2075-12-31,,
_10013,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_10013,,,,,,,,,,,,,,,GH Buy Rite,0.8,0,2019-04-09,2075-12-31,,
_10013,,,,,,,,,,,,,,,JD River Country Coop,0.8,0,2019-04-09,2075-12-31,,
_10013,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,0.8,0,2019-04-09,2075-12-31,,
_10013,,,,,,,,,,,,,,,SB HK Corporation,0.8,0,2019-04-09,2075-12-31,,
_750230000102,ACE ICE 10LB BLOCK,1117275,1117275,,,,a,Default,Each,1,,,u,_750230000102,Master,0,0,1900-01-01,2075-12-31,,
_750230000102,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_750230000102,,,,,,,,,,,,,,,GH Buy Rite,1.19,0,2019-04-09,2075-12-31,,
_750230000102,,,,,,,,,,,,,,,JD River Country Coop,1.8,0,2019-06-22,2075-12-31,,
_750230000102,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,1.19,0,2019-04-09,2075-12-31,,
_750230000102,,,,,,,,,,,,,,,SB HK Corporation,1.19,0,2019-04-09,2075-12-31,,
