Supplier Name,ALCRDUR - A L COORS DURANGO (MLR CRS)(CO) m o,,,,,,,,,,,,,,,,,,,,
Supplier Xref,ALCRDUR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_033544950227,PACIFICO 24z CN,1077148,1077148,,,,a,401 01 004,Case,12,,,u,_033544950227,Master,27.2,0,1900-01-01,2075-12-31,,
_034100001858,MICKEYS 40z LN,16595,16595,,,,a,401 01 003,Case,12,,,u,_034100001858,Master,23.9,0,1900-01-01,2075-12-31,,
_034100001858,,,,,,,,,,,,,u,_073360449017,,,,,,,
_034100003234,REDDS WICKED ALE 24z CN,1056698,1056698,,,,a,401 01 004,Case,12,,,u,_034100003234,Master,27.45,0,1900-01-01,2075-12-31,,
_050939112114,BOULDER HAZED & INFUSED 6PK 12Z CN,37003162,37003162,,,,a,401 01 004,Case,24,,,u,_050939112114,Master,27.65,0,1900-01-01,2075-12-31,,
_071990170288,COORS BANQ STUBBY 6PK 12z LN,13463,13463,,,,a,401 01 002,Case,24,,,u,_071990100063,Master,23.9,0,2019-06-26,2075-12-31,,
_071990170288,,,,,,,,,,,,,u,_071990170288,,,,,,,
_071990300050,COORS LT 6PK 12z LN,13465,13465,,,,a,401 01 002,Case,24,,,u,_071990000004,Master,25.55,0,1900-01-01,2075-12-31,,
_071990300050,,,,,,,,,,,,,u,_071990300050,,,,,,,
_071990300050,,,,,,,,,,,,,u,_071990300067,,,,,,,
_080660956411,CORONA EXTRA 24z LN,93991,93991,,,,a,401 01 004,Case,12,,,u,_080660956411,Master,27.2,0,1900-01-01,2075-12-31,,
_080660957968,MODELO CHELADA 24z CN,1054421,1054421,,,,a,401 01 004,Case,12,,,u,_080660957968,Master,27.2,0,1900-01-01,2075-12-31,,
_082000725695,SMIRNOFF ICE 24z LN,125836,125836,,,,a,401 01 004,Case,12,,,u,_082000725695,Master,23,0,2019-06-26,2075-12-31,,
_089826001422,TECATE 24z CN,165513,165513,,,,a,401 01 004,Case,12,,,u,_089826001422,Master,23.35,0,1900-01-01,2075-12-31,,
_613008752200,ARNOLD PALMER SPIKED HALF AND HALF 12PK 12Z CN,1100483,1100483,,,,a,401 01 004,Case,24,,,u,_613008752200,Master,24.6,0,1900-01-01,2075-12-31,,
_635985548904,WHITE CLW HRD SELTZER VARIETY 12PK 12Z CN,1087171,1087171,,,,a,401 01 004,Case,24,,,u,_635985548904,Master,26.15,0,1900-01-01,2075-12-31,,
