Supplier Name,F AMERMFG - MID AMERICA MFG & DIST,,,,,,,,,,,,,,,,,,,,
Supplier Xref,AMERMFG,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_091412300796,EAGLE TORCH LIGHTER,1117478,1117478,,,,a,601 18 000,Each,1,,,u,_091412300796,Master,0,0,1900-01-01,2075-12-31,,
_091412300796,,,,,,,,,,,,,,,Franchise,3,0,1900-01-01,2075-12-31,,
_091412300796,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,3,0,1900-01-01,2075-12-31,,
_091412315172,FLASK,1125235,1125235,,,,a,601 22 000,Each,1,,,u,_091412315172,Master,0,0,1900-01-01,2075-12-31,,
_091412315172,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_091412315172,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,5.99,0,1900-01-01,2075-12-31,,
_091412319378,CIG CASE,1125233,1125233,,,,a,601 22 170,Each,1,,,u,_091412319378,Master,0,0,1900-01-01,2075-12-31,,
_091412319378,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_091412319378,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,3,0,1900-01-01,2075-12-31,,
_091412319385,CIG MACHINE,1125234,1125234,,,,a,601 22 170,Each,1,,,u,_091412319385,Master,0,0,1900-01-01,2075-12-31,,
_091412319385,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_091412319385,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,4.79,0,1900-01-01,2075-12-31,,
_091412322903,CELL - USB TYPE C,36004673,36004673,,,,a,601 22C 910,Each,1,,,u,_091412322903,Master,0,0,1900-01-01,2075-12-31,,
_091412322903,,,,,,,,,,,,,,,Franchise,8.99,0,1900-01-01,2075-12-31,,
_091412322903,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,8.99,0,1900-01-01,2075-12-31,,
_091412322996,DURACELL USB TO TYPE C,1117204,1117204,,,,a,601 22C 10,Each,1,,,u,_091412322996,Master,0,0,1900-01-01,2075-12-31,,
_091412322996,,,,,,,,,,,,,,,Franchise,8.99,0,1900-01-01,2075-12-31,,
_091412322996,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,8.99,0,1900-01-01,2075-12-31,,
_091412323238,AC DUAL WALL CHARGER,1117203,1117203,,,,a,601 22C 10,Each,1,,,u,_091412323238,Master,0,0,1900-01-01,2075-12-31,,
_091412323238,,,,,,,,,,,,,,,Franchise,7.79,0,1900-01-01,2075-12-31,,
_091412323238,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,7.79,0,1900-01-01,2075-12-31,,
_091412323719,IEDGE USB TO TYPE C 10FT,1117206,1117206,,,,a,601 22C 10,Each,1,,,u,_091412323719,Master,0,0,1900-01-01,2075-12-31,,
_091412323719,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_091412323719,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,8.99,0,1900-01-01,2075-12-31,,
_190773146019,2IN1 EXTINGUISHING ASHTRAY12DP,36001994,36001994,,,,a,601 22 170,Each,1,,,u,_190773146019,Master,0,0,1900-01-01,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,DO Truckers Inn Inc,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,EH Dana Marathon,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,ES Eliasco Inc,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,GH Buy Rite,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,JD River Country Coop,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,MG Vets Oil Co,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,MK Minnesota Corp Inc,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,MK Viking Oil Corp Inc,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,MZ United Petroleum Inc,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,NA Cannon Falls Oil,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,PW Wenner Companies Inc,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,0,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,2.99,0,2019-04-09,2075-12-31,,
_190773146019,,,,,,,,,,,,,,,SSK Skoglund Oil Co,2.99,0,2019-04-09,2075-12-31,,
_27005903068,POWER INVERTER 75/100W,36014406,36014406,,,,a,601 34 910,Each,1,,,u,_027005903068,Master,0,0,1900-01-01,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,DO Truckers Inn Inc,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,EH Dana Marathon,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,ES Eliasco Inc,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,GH Buy Rite,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,JD River Country Coop,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,MG Vets Oil Co,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,MK Minnesota Corp Inc,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,MK Viking Oil Corp Inc,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,MZ United Petroleum Inc,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,NA Cannon Falls Oil,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,PW Wenner Companies Inc,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,0,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,17.51,0,2019-04-09,2075-12-31,,
_27005903068,,,,,,,,,,,,,,,SSK Skoglund Oil Co,17.51,0,2019-04-09,2075-12-31,,
_27005903075,POWER INVERTER 140/180W AMP USB,36004826,36004826,,,,a,601 22C 910,Each,1,,,u,_027005903075,Master,0,0,1900-01-01,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,DO Truckers Inn Inc,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,EH Dana Marathon,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,ES Eliasco Inc,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,GH Buy Rite,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,JD River Country Coop,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,MG Vets Oil Co,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,MK Minnesota Corp Inc,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,MK Viking Oil Corp Inc,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,MZ United Petroleum Inc,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,NA Cannon Falls Oil,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,PW Wenner Companies Inc,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,0,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,21.41,0,2019-04-09,2075-12-31,,
_27005903075,,,,,,,,,,,,,,,SSK Skoglund Oil Co,21.41,0,2019-04-09,2075-12-31,,
_27005903556,POWER INVERTER 140/180W 2-2.1 AMP USB,36004825,36004825,,,,a,601 22C 910,Each,1,,,u,_027005903556,Master,0,0,1900-01-01,2075-12-31,,
_27005903556,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_27005903556,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,25.96,0,2019-04-09,2075-12-31,,
_27005903556,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,25.96,0,2019-04-09,2075-12-31,,
_27005903556,,,,,,,,,,,,,,,DO Truckers Inn Inc,25.96,0,2019-04-09,2075-12-31,,
_27005903556,,,,,,,,,,,,,,,EH Dana Marathon,25.96,0,2019-04-09,2075-12-31,,
_27005903556,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),25.96,0,2019-04-09,2075-12-31,,
_27005903556,,,,,,,,,,,,,,,ES Eliasco Inc,25.96,0,2019-04-09,2075-12-31,,
_27005903556,,,,,,,,,,,,,,,GH Buy Rite,25.96,0,2019-04-09,2075-12-31,,
