Supplier Name,F AMRICE - AMERICAN ICE,,,,,,,,,,,,,,,,,,,,
Supplier Xref,AMRICE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_46026111016,AMERICAN ICE 6LB,1116494,1116494,,,,a,201 01 000,Each,1,,,u,_046026111016,Master,0,0,1900-01-01,2075-12-31,,
_46026111016,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_46026111016,,,,,,,,,,,,,,,MG Vets Oil Co,1,0,2019-04-09,2075-12-31,,
_46026111016,,,,,,,,,,,,,,,SSK Skoglund Oil Co,1,0,2019-04-09,2075-12-31,,
_46026111023,AMERICAN ICE 10LB,1116495,1116495,,,,a,201 01 000,Each,1,,,u,_046026111023,Master,0,0,1900-01-01,2075-12-31,,
_46026111023,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_46026111023,,,,,,,,,,,,,,,MG Vets Oil Co,2,0,2019-04-09,2075-12-31,,
_46026111023,,,,,,,,,,,,,,,SSK Skoglund Oil Co,2,0,2019-04-09,2075-12-31,,
_46026111030,AMERICAN ICE 20LB,1116497,1116497,,,,a,201 01 000,Each,1,,,u,_046026111030,Master,0,0,1900-01-01,2075-12-31,,
_46026111030,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_46026111030,,,,,,,,,,,,,,,MG Vets Oil Co,2.89,0,2019-04-09,2075-12-31,,
_46026111030,,,,,,,,,,,,,,,SSK Skoglund Oil Co,2.89,0,2019-04-09,2075-12-31,,
