Supplier Name,F BADGER - BADGER WEST,,,,,,,,,,,,,,,,,,,,
Supplier Xref,BADGER,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_10256,WOODBRIDGE PINOT GRIGIO 1.5L,1068454,1068454,,,,a,401 02 001,Each,1,,,u,_086003001657,Master,0,0,1900-01-01,2075-12-31,,
_10256,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_10256,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9.35,0,2019-04-09,2075-12-31,,
_1045,ARBOR MIST MIXED BERRY 750ml,36000266,36000266,,,,a,401 03 001,Each,1,,,u,_821007375676,Master,0,0,1900-01-01,2075-12-31,,
_1045,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_1045,,,,,,,,,,,,,,,SSK Skoglund Oil Co,3.58,0,2019-04-09,2075-12-31,,
_11112,ST BRENDANS 750ML,32001929,32001929,,,,a,401 03 001,Each,1,,,u,_088352107264,Master,0,0,1900-01-01,2075-12-31,,
_11112,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_11112,,,,,,,,,,,,,,,SSK Skoglund Oil Co,8.5,0,2019-04-09,2075-12-31,,
_13,CANADIAN CLUB 1858 80 PET 1.75L,32000661,32000661,,,,a,401 03 001,Each,1,,,u,_080686821120,Master,0,0,1900-01-01,2075-12-31,,
_13,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_13,,,,,,,,,,,,,,,SSK Skoglund Oil Co,7.25,0,2019-04-09,2075-12-31,,
_13964258707,COCOA VINO CHOCOLATE 750ml,36000281,36000281,,,,a,401 03 001,Each,1,,,u,_013964258707,Master,0,0,1900-01-01,2075-12-31,,
_13964258707,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_13964258707,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.01,0,2019-04-09,2075-12-31,,
_1480051134,CLAMATO ORIG TOMATO COCKTAIL 1L,32006583,32006583,,,,a,401 04 003,Each,1,,,u,_014800511345,Master,0,0,1900-01-01,2075-12-31,,
_1480051134,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_1480051134,,,,,,,,,,,,,,,SSK Skoglund Oil Co,2.91,0,2019-04-09,2075-12-31,,
_1499,DEEP EDDY LEMON VODKA 1L,36000290,36000290,,,,a,401 03 001,Each,1,,,u,_856065002424,Master,0,0,1900-01-01,2075-12-31,,
_1499,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_1499,,,,,,,,,,,,,,,SSK Skoglund Oil Co,20.42,0,2019-04-09,2075-12-31,,
_15,CHAT STE MICHELLE RIESLG 750ML,184642,184642,,,,a,401 02 001,Each,1,,,u,_088586621840,Master,0,0,1900-01-01,2075-12-31,,
_15,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_15,,,,,,,,,,,,,,,SSK Skoglund Oil Co,8.79,0,2019-04-09,2075-12-31,,
_1512,DEEP EDDY RUBY RED VODKA 1L,36000291,36000291,,,,a,401 03 001,Each,1,,,u,_856065002097,Master,0,0,1900-01-01,2075-12-31,,
_1512,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_1512,,,,,,,,,,,,,,,SSK Skoglund Oil Co,20.42,0,2019-04-09,2075-12-31,,
_15343,FIREFLY PEACH TEA,36000305,36000305,,,,a,401 03 001,Each,1,,,u,_097291000352,Master,0,0,1900-01-01,2075-12-31,,
_15343,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_15343,,,,,,,,,,,,,,,SSK Skoglund Oil Co,20,0,2019-04-09,2075-12-31,,
_15613,WOODBRIDGE WHITE ZINFANDEL 1.5L,32001482,32001482,,,,a,401 02 001,Each,1,,,u,_086003843851,Master,0,0,1900-01-01,2075-12-31,,
_15613,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_15613,,,,,,,,,,,,,,,SSK Skoglund Oil Co,9,0,2019-04-09,2075-12-31,,
_16268,MARCUS JAMES RIESLING 750ML,36000404,36000404,,,,a,401 02 001,Each,1,,,u,_082100113309,Master,0,0,1900-01-01,2075-12-31,,
_16268,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_16268,,,,,,,,,,,,,,,SSK Skoglund Oil Co,3.2,0,2019-04-09,2075-12-31,,
_16332,MARCUS JAMES WHITE 750ML,36000405,36000405,,,,a,401 02 001,Each,1,,,u,_082100109425,Master,0,0,1900-01-01,2075-12-31,,
_16332,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_16332,,,,,,,,,,,,,,,SSK Skoglund Oil Co,3.2,0,2019-04-09,2075-12-31,,
