Supplier Name,F CARGILL - CARGILL INC-SALT DIVISION,,,,,,,,,,,,,,,,,,,,
Supplier Xref,CARGILL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_13600010980,SOFTNER SALT PELLETS 40LB,36014071,36014071,,,,a,601 34 910,Each,1,,,u,_013600010980,Master,0,0,1900-01-01,2075-12-31,,
_13600010980,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_13600010980,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,3.14,0,2019-04-09,2075-12-31,,
_13600010980,,,,,,,,,,,,,,,TB Erickson Oil Products,3.14,0,2019-04-09,2075-12-31,,
_13600010980,,,,,,,,,,,,,,,RA Snelling One~ Inc,3.14,0,2019-08-23,2075-12-31,,
_13600763237,SOFTNER SALT REDOUT PELLT 40LB,36003038,36003038,,,,a,601 31 300,Each,1,,,u,_013600763237,Master,0,0,1900-01-01,2075-12-31,,
_13600763237,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_13600763237,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,4.02,0,2019-04-09,2075-12-31,,
_13600763237,,,,,,,,,,,,,,,TB Erickson Oil Products,4.02,0,2019-04-09,2075-12-31,,
_13600763237,,,,,,,,,,,,,,,RA Snelling One~ Inc,4.02,0,2019-08-23,2075-12-31,,
_13600769406,DIAMOND CRYSTAL SO,1047952,1047952,,,,a,601 31 910,Each,1,,,u,_013600769406,Master,0,0,1900-01-01,2075-12-31,,
_13600769406,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_13600769406,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,2.54,0,2019-04-09,2075-12-31,,
_13600769406,,,,,,,,,,,,,,,TB Erickson Oil Products,2.54,0,2019-04-09,2075-12-31,,
_13600769406,,,,,,,,,,,,,,,RA Snelling One~ Inc,2.54,0,2019-08-23,2075-12-31,,
