Supplier Name,F CASEYNEW - CASEY NEWS,,,,,,,,,,,,,,,,,,,,
Supplier Xref,CASEYNEW,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_757273000069,STAR TRIBN SUN FINAL - MN,177300,177300,,,,a,Default,Each,1,,,u,_757273000069,Master,0,0,1900-01-01,2075-12-31,,
_757273000069,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_757273000069,,,,,,,,,,,,,,,MM Federated Coop Inc,1.78,0,2019-04-09,2075-12-31,,
_757273000083,STAR TRIBN DAILY METRO WEST - MN,183917,183917,,,,a,Default,Each,1,,,u,_757273000083,Master,0,0,1900-01-01,2075-12-31,,
_757273000083,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_757273000083,,,,,,,,,,,,,,,MM Federated Coop Inc,0.91,0,2019-04-09,2075-12-31,,
_757273000090,STAR TRIBN EARLY SUN WEST METRO - MN,183918,183918,,,,a,Default,Each,1,,,u,_757273000090,Master,0,0,1900-01-01,2075-12-31,,
_757273000090,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_757273000090,,,,,,,,,,,,,,,MM Federated Coop Inc,1.37,0,2019-04-09,2075-12-31,,
_762006345676,PIONEER PRESS SUNDAY,177517,177517,,,,a,Default,Each,1,,,u,_762006345676,Master,0,0,1900-01-01,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,MM Federated Coop Inc,1.84,0,2019-04-09,2075-12-31,,
_762006345683,PIONEER PRESS DAILY,177514,177514,,,,a,Default,Each,1,,,u,_762006345683,Master,0,0,1900-01-01,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,MM Federated Coop Inc,1.18,0,2019-04-09,2075-12-31,,
