Supplier Name,F DUNLAY - DUNLAY DISTRIBUTION,,,,,,,,,,,,,,,,,,,,
Supplier Xref,DUNLAY,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_652104119258,POST-BULLETIN DAILY,176931,176931,,,,a,Default,Each,1,,,u,_652104119258,Master,0,0,1900-01-01,2075-12-31,,
_652104119258,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_652104119258,,,,,,,,,,,,,,,NA Cannon Falls Oil,0.66,0,2019-04-09,2075-12-31,,
_652104119838,POST-BULLETIN WEEKEND,176932,176932,,,,a,Default,Each,1,,,u,_652104119838,Master,0,0,1900-01-01,2075-12-31,,
_652104119838,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_652104119838,,,,,,,,,,,,,,,NA Cannon Falls Oil,1.6,0,2019-04-09,2075-12-31,,
_757273000014,STAR TRIBUNE DAILY STATE EDITION - MN,179896,179896,,,,a,Default,Each,1,,,u,_757273000014,Master,0,0,1900-01-01,2075-12-31,,
_757273000014,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_757273000014,,,,,,,,,,,,,,,NA Cannon Falls Oil,0.91,0,2019-04-09,2075-12-31,,
_757273000045,STAR TRIBN SUN BULL DOG - MN,177299,177299,,,,a,Default,Each,1,,,u,_757273000045,Master,0,0,1900-01-01,2075-12-31,,
_757273000045,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_757273000045,,,,,,,,,,,,,,,NA Cannon Falls Oil,1.78,0,2019-04-09,2075-12-31,,
_757273000052,STAR TRIBUNE SUNDAY FINAL STATE EDITION - MN,179897,179897,,,,a,Default,Each,1,,,u,_757273000052,Master,0,0,1900-01-01,2075-12-31,,
_757273000052,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_757273000052,,,,,,,,,,,,,,,NA Cannon Falls Oil,1.78,0,2019-04-09,2075-12-31,,
_757273000076,STAR TRIBUNE SEASONAL,1089348,1089348,,,,a,Default,Each,1,,,u,_757273000076,Master,0,0,1900-01-01,2075-12-31,,
_757273000076,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_757273000076,,,,,,,,,,,,,,,NA Cannon Falls Oil,1.79,0,2019-04-09,2075-12-31,,
_757273000755,STAR TRIBUNE EARLY SUNDAY STATE EDITION,182319,182319,,,,a,Default,Each,1,,,u,_757273000755,Master,0,0,1900-01-01,2075-12-31,,
_757273000755,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_757273000755,,,,,,,,,,,,,,,NA Cannon Falls Oil,0.91,0,2019-04-09,2075-12-31,,
_762006345676,PIONEER PRESS SUNDAY,177517,177517,,,,a,Default,Each,1,,,u,_762006345676,Master,0,0,1900-01-01,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,NA Cannon Falls Oil,0.91,0,2019-04-09,2075-12-31,,
_762006345683,PIONEER PRESS DAILY,177514,177514,,,,a,Default,Each,1,,,u,_762006345683,Master,0,0,1900-01-01,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,NA Cannon Falls Oil,0.46,0,2019-04-09,2075-12-31,,
_785186002405,RED WING REPUBLICAN EAGLE SUN,176930,176930,,,,a,Default,Each,1,,,u,_785186002405,Master,0,0,1900-01-01,2075-12-31,,
_785186002405,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_785186002405,,,,,,,,,,,,,,,NA Cannon Falls Oil,1.06,0,2019-04-09,2075-12-31,,
