Supplier Name,F FAIRNEWS - FARIBAULT DAILY NEWS,,,,,,,,,,,,,,,,,,,,
Supplier Xref,FAIRNEWS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_230198,FARIBAULT DAILY NEWS SUNDAY,177293,177293,,,,a,Default,Each,1,,,u,_183532000004,Master,0,0,1900-01-01,2075-12-31,,
_230198,,,,,,,,,,,,,,,Franchise,1.7,0,2019-07-06,2075-12-31,,
_230198,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,1.28,0,2019-04-09,2075-12-31,,
_230198,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,1.28,0,2019-04-09,2075-12-31,,
_230198,,,,,,,,,,,,,,,GH Buy Rite,1.28,0,2019-04-09,2075-12-31,,
_230198,,,,,,,,,,,,,,,JD River Country Coop,1.28,0,2019-04-09,2075-12-31,,
_230198,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,1.28,0,2019-04-09,2075-12-31,,
_230199,FARIBAULT DAILY NEWS DAILY,36017458,36017458,,,,a,601 28A 910,Each,1,,,u,_183320000117,Master,0,0,1900-01-01,2075-12-31,,
_230199,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_230199,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,0.5,0,2019-04-09,2075-12-31,,
_230199,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,0.5,0,2019-04-09,2075-12-31,,
_230199,,,,,,,,,,,,,,,GH Buy Rite,0.5,0,2019-04-09,2075-12-31,,
_230199,,,,,,,,,,,,,,,JD River Country Coop,0.5,0,2019-04-09,2075-12-31,,
_230199,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,0.5,0,2019-04-09,2075-12-31,,
