Supplier Name,FARISDPA-FARIS DISTRIBUTING COMPANY,,,,,,,,,,,,,,,,,,,,
Supplier Xref,FARISDPA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_610764000316,BANG COTTON CANDY 16Z,1097817,1097817,,,,a,601 13A 000,Case,12,,,u,_610764000316,Master,16.5,0,1900-01-01,2075-12-31,,
_610764120472,VPX BANG CHERRY BLADE LEMONADE 16Z,36013934,36013934,,,,a,601 13A 000,Case,12,,,u,_610764120472,Master,16.5,0,1900-01-01,2075-12-31,,
_610764251299,VPX BANG RAINBOW UNICORN 16Z,36014104,36014104,,,,a,601 13A 000,Case,12,,,u,_610764251299,Master,16.5,0,1900-01-01,2075-12-31,,
_610764262271,VXP BANG BANGSTER BERRY 16Z,36014120,36014120,,,,a,601 13A 000,Case,12,,,u,_610764262271,Master,16.5,0,1900-01-01,2075-12-31,,
_610764262288,BANG FROSE ROSE 16Z,1117359,1117359,,,,a,601 13A 000,Case,12,,,u,_610764262288,Master,16.5,0,1900-01-01,2075-12-31,,
_610764264640,VPX BANG MOCHA COFFEE 16Z,36009380,36009380,,,,a,601 13B 000,Case,12,,,u,_610764264640,Master,28,0,1900-01-01,2075-12-31,,
_610764264688,VPX BANG COOKIES N CRME 16Z,36014099,36014099,,,,a,601 13A 000,Case,12,,,u,_610764264688,Master,28,0,1900-01-01,2075-12-31,,
_610764264701,VPX BANG HAZELNUT COFFEE 16Z,36009379,36009379,,,,a,601 13B 000,Case,12,,,u,_610764264701,Master,28,0,1900-01-01,2075-12-31,,
_610764826114,VPX BANG ENERGY PINA COLADA 16Z,36014100,36014100,,,,a,601 13A 000,Case,12,,,u,_610764826114,Master,16.5,0,1900-01-01,2075-12-31,,
_610764826176,VPX BANG PURPLE HAZE 16Z,36014116,36014116,,,,a,601 13A 000,Case,12,,,u,_610764826176,Master,16.5,0,1900-01-01,2075-12-31,,
_610764863119,VPX BANG ENRGY PRPL GUAVA 16Z,36009376,36009376,,,,a,601 13A 000,Case,12,,,u,_610764863119,Master,16.5,0,1900-01-01,2075-12-31,,
_610764863430,BANG SOUR HEADS 16Z,1097811,1097811,,,,a,601 13A 000,Case,12,,,u,_610764863430,Master,16.5,0,1900-01-01,2075-12-31,,
_610764863638,BANG BLUE RAZZ 16Z,1097813,1097813,,,,a,601 13A 000,Case,12,,,u,_610764863638,Master,16.5,0,1900-01-01,2075-12-31,,
_610764863652,BANG STAR BLAST 16Z,1097819,1097819,,,,a,601 13A 000,Case,12,,,u,_610764863652,Master,16.5,0,1900-01-01,2075-12-31,,
_610764863775,VPX BANG ENRGY BLCK CHRY VAN 16Z,36009375,36009375,,,,a,601 13A 000,Case,12,,,u,_610764863775,Master,16.5,0,1900-01-01,2075-12-31,,
_610764863812,VPX BANG ENRGY PEACH MANGO 16Z,36014101,36014101,,,,a,601 13A 000,Case,12,,,u,_610764863812,Master,16.5,0,1900-01-01,2075-12-31,,
