Supplier Name,GLZRBRTX - GLAZERS BEER AND BEV (MLR CRS)(TX) m o,,,,,,,,,,,,,,,,,,,,
Supplier Xref,GLZRBRTX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_022100001701,PABST 12PK 12z CN,13504,13504,,,,a,401 01 003,Case,24,,,u,_022100001701,Master,17.6,0,1900-01-01,2075-12-31,,
_022100004122,PABST EASY 12PK 12Z CN,1100602,1100602,,,,a,401 01 003,Case,24,,,u,_022100004122,Master,18.36,0,1900-01-01,2075-12-31,,
_022100004122,,,,,,,,,,,,,u,_221000041224,,,,,,,
_033544950227,PACIFICO 24z CN,1077148,1077148,,,,a,401 01 004,Case,12,,,u,_033544950227,Master,24.76,0,1900-01-01,2075-12-31,,
_033544950258,VICTORIA 32z LN,1085687,1085687,,,,a,401 01 004,Case,12,,,u,_033544950258,Master,32.16,0,1900-01-01,2075-12-31,,
_033544950333,MODELO CHELADA PICANTE 24z CN,1085681,1085681,,,,a,401 01 004,Case,12,,,u,_033544950333,Master,25.08,0,1900-01-01,2075-12-31,,
_033544950418,CORONA PREMIER 6PK 12z LN,1083425,1083425,,,,a,401 01 004,Case,24,,,u,_033544950418,Master,29.56,0,1900-01-01,2075-12-31,,
_033544950449,CORONA PREMIER 12PK 12z CN,1087404,1087404,,,,a,401 01 004,Case,24,,,u,_033544950449,Master,28.76,0,1900-01-01,2075-12-31,,
_033544950470,CORONA PREMIER 24z CN,1085682,1085682,,,,a,401 01 004,Case,12,,,u,_033544950470,Master,25.08,0,1900-01-01,2075-12-31,,
_033544950517,CORONA FAMILIAR 6PK 12z LN,1083422,1083422,,,,a,401 01 004,Case,24,,,u,_033544950517,Master,29.56,0,1900-01-01,2075-12-31,,
_033544950531,CORONA FAMILIAR 12PK 12z LN,1084974,1084974,,,,a,401 01 004,Case,24,,,u,_033544950531,Master,28.76,0,1900-01-01,2075-12-31,,
_034100000080,MILLER HL 32Z CN,1053781,1053781,,,,a,401 01 003,Case,12,,,u,_034100000080,Master,16.86,0,1900-01-01,2075-12-31,,
_034100000318,MILLER HL 32z LN,16798,16798,,,,a,401 01 003,Case,12,,,u,_034100000318,Master,16.86,0,1900-01-01,2075-12-31,,
_034100001858,MICKEYS 40z LN,16595,16595,,,,a,401 01 003,Case,12,,,u,_034100001858,Master,25.2,0,1900-01-01,2075-12-31,,
_034100001858,,,,,,,,,,,,,u,_073360449017,,,,,,,
_034100003234,REDDS WICKED ALE 24z CN,1056698,1056698,,,,a,401 01 004,Case,12,,,u,_034100003234,Master,25.44,0,1900-01-01,2075-12-31,,
_034100003494,REDDS WICKED WATERMELON 24z CN,1064562,1064562,,,,a,401 01 004,Case,12,,,u,_034100003494,Master,25.44,0,1900-01-01,2075-12-31,,
_034100003555,MILLER LT 24z CN,38387,38387,,,,a,401 01 002,Case,12,,,u,_034100003555,Master,19.44,0,1900-01-01,2075-12-31,,
_034100003579,MILLER LT 6PK 16z CN,13487,13487,,,,a,401 01 002,Case,24,,,u,_034100003579,Master,27.95,0,1900-01-01,2075-12-31,,
_034100003876,REDDS WICKED BLK CHRY 24z CN,1070543,1070543,,,,a,401 01 004,Case,12,,,u,_034100003876,Master,25.44,0,1900-01-01,2075-12-31,,
_034100006693,MILW BEST ICE 32z CN,1050745,1050745,,,,a,401 01 003,Case,12,,,u,_034100006693,Master,19.32,0,1900-01-01,2075-12-31,,
_034100006723,MILW BEST 32z,37001078,37001078,,,,a,401 01 003,Case,12,,,u,_034100006723,Master,19.32,0,1900-01-01,2075-12-31,,
_034100015091,MILLER HL 12PK 12z LN,15745,15745,,,,a,401 01 003,Case,24,,,u,_034100015091,Master,17.6,0,1900-01-01,2075-12-31,,
