Supplier Name,F GRANDY - GRANDY DAIRY INC,,,,,,,,,,,,,,,,,,,,
Supplier Xref,GRANDY,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_13964733020,HUSNIK BEEF STICKS 5z,34000028,34000028,,,,a,218 02 000,Each,1,,,u,_013964733020,Master,0,0,1900-01-01,2075-12-31,,
_13964733020,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_13964733020,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,2.75,0,2019-04-09,2075-12-31,,
_13964733020,,,,,,,,,,,,,,,JD River Country Coop,2.75,0,2019-04-09,2075-12-31,,
_13964733044,HUSNIK BEEF STICKS PPR JACK 5z,34000029,34000029,,,,a,218 02 000,Each,1,,,u,_013964733044,Master,0,0,1900-01-01,2075-12-31,,
_13964733044,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_13964733044,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,2.75,0,2019-04-09,2075-12-31,,
_13964733044,,,,,,,,,,,,,,,JD River Country Coop,2.75,0,2019-04-09,2075-12-31,,
_13964733051,HUSNIK BF STX CHDR 5z,32003009,32003009,,,,a,601 20B 08,Each,1,,,u,_013964733051,Master,0,0,1900-01-01,2075-12-31,,
_13964733051,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_13964733051,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,2.75,0,2019-04-09,2075-12-31,,
_13964733051,,,,,,,,,,,,,,,JD River Country Coop,2.75,0,2019-04-09,2075-12-31,,
_13964733068,HUSNIK BEEF STICK GARLIC/CHED 5z,34000030,34000030,,,,a,218 02 000,Each,1,,,u,_013964733068,Master,0,0,1900-01-01,2075-12-31,,
_13964733068,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_13964733068,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,2.75,0,2019-04-09,2075-12-31,,
_13964733068,,,,,,,,,,,,,,,JD River Country Coop,2.75,0,2019-04-09,2075-12-31,,
_13964733082,HUSNIK BEEF STIX TERI 5z,32003012,32003012,,,,a,601 04C 200,Each,1,,,u,_013964733082,Master,0,0,1900-01-01,2075-12-31,,
_13964733082,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_13964733082,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,2.75,0,2019-04-09,2075-12-31,,
_13964733082,,,,,,,,,,,,,,,JD River Country Coop,2.75,0,2019-04-09,2075-12-31,,
_13964733099,HUSNIK BF STX JALP 5z,32003013,32003013,,,,a,601 20B 08,Each,1,,,u,_013964733099,Master,0,0,1900-01-01,2075-12-31,,
_13964733099,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_13964733099,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,2.75,0,2019-04-09,2075-12-31,,
_13964733099,,,,,,,,,,,,,,,JD River Country Coop,2.75,0,2019-04-09,2075-12-31,,
_26542011533,SBURG CHZ CURD BUFF WING 12Z,36013714,36013714,,,,a,601 09 550,Each,1,,,u,_026542011533,Master,0,0,1900-01-01,2075-12-31,,
_26542011533,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_26542011533,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,4,0,2019-04-09,2075-12-31,,
_26542011533,,,,,,,,,,,,,,,JD River Country Coop,4,0,2019-04-09,2075-12-31,,
_26542011588,CHEESE CURD NTRL HCKRY SMKD,36009310,36009310,,,,a,601 09 550,Each,1,,,u,_026542011588,Master,0,0,1900-01-01,2075-12-31,,
_26542011588,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_26542011588,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,4,0,2019-04-09,2075-12-31,,
_26542011588,,,,,,,,,,,,,,,JD River Country Coop,4,0,2019-04-09,2075-12-31,,
