Supplier Name,HBOYDNEL-H BOYD NELSON INC (AB)(CRS)(MN) m o,,,,,,,,,,,,,,,,,,,,
Supplier Xref,HBOYDNEL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_018200250002,BUD 25z CN,22854,22854,,,,a,401 01 002,Case,15,,,u,_018200004667,Master,33.9,0,1900-01-01,2075-12-31,,
_018200250002,,,,,,,,,,,,,u,_018200112355,,,,,,,
_018200250002,,,,,,,,,,,,,u,_018200114540,,,,,,,
_018200250002,,,,,,,,,,,,,u,_018200250002,,,,,,,
_018200250019,BUD LT 25z CN,22853,22853,,,,a,401 01 002,Case,15,,,u,_018200004681,Master,33.9,0,1900-01-01,2075-12-31,,
_018200250019,,,,,,,,,,,,,u,_018200250019,,,,,,,
_071990095116,BLUE MOON BEL WHT 6PK 12z LN,50431,50431,,,,a,401 01 004,Case,24,,,u,_071990095116,Master,26,0,1900-01-01,2075-12-31,,
_071990095116,,,,,,,,,,,,,u,_087800000737,,,,,,,
_071990300654,COORS LT 24z CN,65153,65153,,,,a,401 01 002,Case,12,,,u,_071990300654,Master,24.5,0,2019-07-02,2075-12-31,,
_071990300654,,,,,,,,,,,,,u,_071990300661,,,,,,,
_610764264640,VPX BANG MOCHA COFFEE 16Z,36009380,36009380,,,,a,601 13B 000,Case,12,,,u,_610764264640,Master,28,0,1900-01-01,2075-12-31,,
_610764264688,VPX BANG COOKIES N CRME 16Z,36014099,36014099,,,,a,601 13B 000,Case,12,,,u,_610764264688,Master,28,0,1900-01-01,2075-12-31,,
_610764264701,VPX BANG HAZELNUT COFFEE 16Z,36009379,36009379,,,,a,601 13B 000,Case,12,,,u,_610764264701,Master,28,0,1900-01-01,2075-12-31,,
