Supplier Name,F KINCO - KINCO LLC,,,,,,,,,,,,,,,,,,,,
Supplier Xref,KINCO,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_35117010154,KINCO 101-L PRO GLV,36011896,36011896,,,,a,601 21 400,Case,6,,,u,_035117010154,Master,0,0,1900-01-01,2075-12-31,,
_35117010154,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_35117010154,,,,,,,,,,,,,,,JD River Country Coop,12.48,0,2019-04-09,2075-12-31,,
_35117010161,KINCO 101-XL PRO GLV,36011897,36011897,,,,a,601 21 400,Case,6,,,u,_035117010161,Master,0,0,1900-01-01,2075-12-31,,
_35117010161,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_35117010161,,,,,,,,,,,,,,,JD River Country Coop,12.48,0,2019-04-09,2075-12-31,,
_35117010178,KINCO 101HK-M LINED NYLON/DEER PLM GLV,36011894,36011894,,,,a,601 21 400,Case,12,,,u,_035117010178,Master,0,0,1900-01-01,2075-12-31,,
_35117010178,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_35117010178,,,,,,,,,,,,,,,JD River Country Coop,12.68,0,2019-04-09,2075-12-31,,
_35117010185,KINCO 101HK-L LINED NYLON/DEER PLM GLV,36011893,36011893,,,,a,601 21 400,Case,12,,,u,_035117010185,Master,0,0,1900-01-01,2075-12-31,,
_35117010185,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_35117010185,,,,,,,,,,,,,,,JD River Country Coop,12.68,0,2019-04-09,2075-12-31,,
_35117010192,KINCO 101HK-XL LINED NYLON/DEER PLM GLV,36011895,36011895,,,,a,601 21 400,Case,12,,,u,_035117010192,Master,0,0,1900-01-01,2075-12-31,,
_35117010192,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_35117010192,,,,,,,,,,,,,,,JD River Country Coop,12.68,0,2019-04-09,2075-12-31,,
_35117010253,KINCO 102-L PRO GLV,36011901,36011901,,,,a,601 21 400,Case,6,,,u,_035117010253,Master,0,0,1900-01-01,2075-12-31,,
_35117010253,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_35117010253,,,,,,,,,,,,,,,JD River Country Coop,9.08,0,2019-04-09,2075-12-31,,
_35117010260,KINCO 102-XL PRO GLV,36011902,36011902,,,,a,601 21 400,Case,6,,,u,_035117010260,Master,0,0,1900-01-01,2075-12-31,,
_35117010260,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_35117010260,,,,,,,,,,,,,,,JD River Country Coop,9.08,0,2019-04-09,2075-12-31,,
_35117019256,KINCO 98-XL COWHIDE UNLND GLV,36011915,36011915,,,,a,601 21 400,Case,6,,,u,_035117019256,Master,0,0,1900-01-01,2075-12-31,,
_35117019256,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_35117019256,,,,,,,,,,,,,,,JD River Country Coop,8.34,0,2019-04-09,2075-12-31,,
_35117082557,KINCO 825L JRSY CAMO GLV,36011913,36011913,,,,a,601 21 400,Case,12,,,u,_035117082557,Master,0,0,1900-01-01,2075-12-31,,
_35117082557,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_35117082557,,,,,,,,,,,,,,,JD River Country Coop,2.05,0,2019-04-09,2075-12-31,,
