Supplier Name,F LAIDLAW - LAIDLAW SALES,,,,,,,,,,,,,,,,,,,,
Supplier Xref,LAIDLAW,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_763476016844,GOLDEN GLOVES 168L,36002868,36002868,,,,a,601 21 400,Each,1,,,u,_763476016844,Master,0,0,1900-01-01,2075-12-31,,
_763476016844,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_763476016844,,,,,,,,,,,,,,,JD River Country Coop,9.79,0,2019-04-09,2075-12-31,,
_763476016851,GOLDEN GLOVES 168XL,36015276,36015276,,,,a,601 34 910,Each,1,,,u,_763476016851,Master,0,0,1900-01-01,2075-12-31,,
_763476016851,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_763476016851,,,,,,,,,,,,,,,JD River Country Coop,9.79,0,2019-04-09,2075-12-31,,
_763476016868,GOLDEN GLOVES 168XXL,36002870,36002870,,,,a,601 21 400,Each,1,,,u,_763476016868,Master,0,0,1900-01-01,2075-12-31,,
_763476016868,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_763476016868,,,,,,,,,,,,,,,JD River Country Coop,9.79,0,2019-04-09,2075-12-31,,
_763476027147,GOLDEN GLOVES 27KWL,36002874,36002874,,,,a,Default,Each,1,,,,,Master,0,0,1900-01-01,2075-12-31,,
_763476027147,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_763476027147,,,,,,,,,,,,,,,JD River Country Coop,7.59,0,2019-04-09,2075-12-31,,
_763476027154,GOLDEN GLOVES 27KWXL,36002875,36002875,,,,a,Default,Each,1,,,,,Master,0,0,1900-01-01,2075-12-31,,
_763476027154,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_763476027154,,,,,,,,,,,,,,,JD River Country Coop,7.59,0,2019-04-09,2075-12-31,,
_763476033834,GOLDEN GLOVES 338M,36002877,36002877,,,,a,601 21 400,Each,1,,,u,_763476033834,Master,0,0,1900-01-01,2075-12-31,,
_763476033834,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_763476033834,,,,,,,,,,,,,,,JD River Country Coop,7.59,0,2019-04-09,2075-12-31,,
_763476033841,GOLDEN GLOVES 338L,36015277,36015277,,,,a,601 34 910,Each,1,,,u,_763476033841,Master,0,0,1900-01-01,2075-12-31,,
_763476033841,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_763476033841,,,,,,,,,,,,,,,JD River Country Coop,7.59,0,2019-04-09,2075-12-31,,
_763476033858,GOLDEN GLOVES 338XL,36002878,36002878,,,,a,601 21 400,Each,1,,,u,_763476033858,Master,0,0,1900-01-01,2075-12-31,,
_763476033858,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_763476033858,,,,,,,,,,,,,,,JD River Country Coop,7.59,0,2019-04-09,2075-12-31,,
_763476081637,GOLDEN GLOVES 816M,36002883,36002883,,,,a,601 21 400,Each,1,,,u,_763476081637,Master,0,0,1900-01-01,2075-12-31,,
_763476081637,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_763476081637,,,,,,,,,,,,,,,JD River Country Coop,14.29,0,2019-04-09,2075-12-31,,
_763476081644,GOLDEN GLOVES 816L,36015278,36015278,,,,a,601 34 910,Each,1,,,u,_763476081644,Master,0,0,1900-01-01,2075-12-31,,
_763476081644,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_763476081644,,,,,,,,,,,,,,,JD River Country Coop,14.29,0,2019-04-09,2075-12-31,,
