Supplier Name,LEGACYB - LEGACY BEVERAGE (MLR CRS)(AZ) m o,,,,,,,,,,,,,,,,,,,,
Supplier Xref,LEGACYB,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_022100000049,PABST 24z CN,154543,154543,,,,a,401 01 003,Case,12,,,u,_022100000049,Master,19.05,0,1900-01-01,2075-12-31,,
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,,,
_022100001701,PABST 12PK 12z CN,13504,13504,,,,a,401 01 003,Case,24,,,u,_022100001701,Master,18.75,0,1900-01-01,2075-12-31,,
_022100002890,PABST 6PK 12z LN,29843,29843,,,,a,401 01 003,Case,24,,,u,_022100002890,Master,17.1,0,1900-01-01,2075-12-31,,
_022100004122,PABST EASY 12PK 12Z CN,1100602,1100602,,,,a,401 01 003,Case,24,,,u,_022100004122,Master,18.75,0,1900-01-01,2075-12-31,,
_022100004122,,,,,,,,,,,,,u,_221000041224,,,,,,,
_033544950227,PACIFICO 24z CN,1077148,1077148,,,,a,401 01 004,Case,12,,,u,_033544950227,Master,25.15,0,1900-01-01,2075-12-31,,
_033544950258,VICTORIA 32z LN,1085687,1085687,,,,a,401 01 004,Case,12,,,u,_033544950258,Master,35.05,0,1900-01-01,2075-12-31,,
_033544950319,PACIFICO 12PK 12z CN,1085686,1085686,,,,a,401 01 004,Case,12,,,u,_033544950319,Master,29.55,0,1900-01-01,2075-12-31,,
_033544950418,CORONA PREMIER 6PK 12z LN,1083425,1083425,,,,a,401 01 004,Case,24,,,u,_033544950418,Master,29.55,0,1900-01-01,2075-12-31,,
_033544950449,CORONA PREMIER 12PK 12z CN,1087404,1087404,,,,a,401 01 004,Case,24,,,u,_033544950449,Master,29.55,0,1900-01-01,2075-12-31,,
_033544950470,CORONA PREMIER 24z CN,1085682,1085682,,,,a,401 01 004,Case,12,,,u,_033544950470,Master,25.15,0,1900-01-01,2075-12-31,,
_033544950517,CORONA FAMILIAR 6PK 12z LN,1083422,1083422,,,,a,401 01 004,Case,24,,,u,_033544950517,Master,29.55,0,1900-01-01,2075-12-31,,
_033544950531,CORONA FAMILIAR 12PK 12z LN,1084974,1084974,,,,a,401 01 004,Case,24,,,u,_033544950531,Master,29.55,0,1900-01-01,2075-12-31,,
_033544950609,MODELO CHELADA LIMON Y SAL 24z CN,1100594,1100594,,,,a,401 01 004,Case,12,,,u,_033544950609,Master,25.15,0,1900-01-01,2075-12-31,,
_034100000318,MILLER HL 32z LN,16798,16798,,,,a,401 01 003,Case,12,,,u,_034100000318,Master,21.55,0,1900-01-01,2075-12-31,,
_034100000455,OLD ENGLISH HG 40z LN,1076331,1076331,,,,a,401 01 003,Case,12,,,u,_034100000455,Master,26.45,0,1900-01-01,2075-12-31,,
_034100000462,OLD ENGLISH 800 HI GRVT 24z CN,174276,174276,,,,a,401 01 003,Case,12,,,u,_034100000462,Master,17.75,0,1900-01-01,2075-12-31,,
_034100001759,MICKEYS 4PK 16z CN,179346,179346,,,,a,401 01 003,Case,24,,,u,_034100001759,Master,22.15,0,1900-01-01,2075-12-31,,
_034100001858,MICKEYS 40z LN,16595,16595,,,,a,401 01 003,Case,12,,,u,_034100001858,Master,26.45,0,1900-01-01,2075-12-31,,
_034100001858,,,,,,,,,,,,,u,_073360449017,,,,,,,
_034100002176,MICKEYS 24z CN,51981,51981,,,,a,401 01 003,Case,12,,,u,_034100002176,Master,17.75,0,1900-01-01,2075-12-31,,
_034100003234,REDDS WICKED ALE 24z CN,1056698,1056698,,,,a,401 01 004,Case,12,,,u,_034100003234,Master,24.8,0,1900-01-01,2075-12-31,,
