Supplier Name,MCCRAITH-McCRAITH BEVERAGES (CRS)(NY)-asn,,,,,,,,,,,,,,,,,,,,
Supplier Xref,MCCRAITH,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_071670071065,SARANAC SEASONS BEST 12PK 12z LN,1066147,1066147,,,,a,401 01 004,Case,24,,,u,_071670071065,Master,27,0,1900-01-01,2075-12-31,,
_076183003145,SNAPPLE DT PEACH ICE TEA 16z,21986,21986,,,,a,601 14 000,Case,24,,,u,_076183003145,Master,21.6,0,1900-01-01,2075-12-31,,
_076183003145,,,,,,,,,,,,,u,_076183163573,,,,,,,
_076183168509,SNAPPLE APPLE 16z,1052583,1052583,,,,a,601 12A 000,Case,12,,,u,_076183003282,Master,10.8,0,1900-01-01,2075-12-31,,
_076183168509,,,,,,,,,,,,,u,_076183168509,,,,,,,
_076183168509,,,,,,,,,,,,,u,_076183268506,,,,,,,
_076183323632,SNAPPLE KIWI STRW 32z,1052591,1052591,,,,a,601 12A 000,Case,12,,,u,_076183323632,Master,14.2,0,1900-01-01,2075-12-31,,
_610764264640,VPX BANG MOCHA COFFEE 16Z,36009380,36009380,,,,a,601 13B 000,Case,12,,,u,_610764264640,Master,28,0,1900-01-01,2075-12-31,,
_610764264688,VPX BANG COOKIES N CRME 16Z,36014099,36014099,,,,a,601 13B 000,Case,12,,,u,_610764264688,Master,28,0,1900-01-01,2075-12-31,,
_610764264701,VPX BANG HAZELNUT COFFEE 16Z,36009379,36009379,,,,a,601 13B 000,Case,12,,,u,_610764264701,Master,28,0,1900-01-01,2075-12-31,,
_853897002271,SPIKED SELTZER VARIETY 12PK 12z CN,1088892,1088892,,,,a,401 01 004,Case,24,,,u,_853897002271,Master,28.5,0,1900-01-01,2075-12-31,,
