Supplier Name,F NRTHNBAT - NORTHERN BATTERY,,,,,,,,,,,,,,,,,,,,
Supplier Xref,NRTHNBAT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_1772423690,COM 1 H-P TRACTOR BATTERY,36000514,36000514,,,,a,601 20B 05,Each,1,,,u,_017724236905,Master,0,0,1900-01-01,2075-12-31,,
_1772423690,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_1772423690,,,,,,,,,,,,,,,MM Federated Coop Inc,46.48,0,2019-04-09,2075-12-31,,
_1772426593,BATTERY 12V UTILITY 235CA,36001651,36001651,,,,a,601 20B 05,Each,1,,,u,_017724265936,Master,0,0,1900-01-01,2075-12-31,,
_1772426593,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_1772426593,,,,,,,,,,,,,,,MM Federated Coop Inc,22.45,0,2019-04-09,2075-12-31,,
_1772426606,2460 BATTERY,36000433,36000433,,,,a,601 20B 05,Each,1,,,u,_017724266063,Master,0,0,1900-01-01,2075-12-31,,
_1772426606,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_1772426606,,,,,,,,,,,,,,,MM Federated Coop Inc,57.96,0,2019-04-09,2075-12-31,,
_1772426741,NC24 MARINE BATTERY,36000610,36000610,,,,a,601 20B 05,Each,1,,,u,_017724267411,Master,0,0,1900-01-01,2075-12-31,,
_1772426741,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_1772426741,,,,,,,,,,,,,,,MM Federated Coop Inc,62.08,0,2019-04-09,2075-12-31,,
_1772426742,NC27 MARINE BATTERY,36000611,36000611,,,,a,601 20B 05,Each,1,,,u,_017724267428,Master,0,0,1900-01-01,2075-12-31,,
_1772426742,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_1772426742,,,,,,,,,,,,,,,MM Federated Coop Inc,61.78,0,2019-04-09,2075-12-31,,
_1772427664,78-60 AUTO BATTERY,36000438,36000438,,,,a,601 20B 05,Each,1,,,u,_017724276642,Master,0,0,1900-01-01,2075-12-31,,
_1772427664,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_1772427664,,,,,,,,,,,,,,,MM Federated Coop Inc,58.56,0,2019-04-09,2075-12-31,,
_1772428616,BATTERY 12V UTILITY 235CA,36001652,36001652,,,,a,601 20B 05,Each,1,,,u,_017724286160,Master,0,0,1900-01-01,2075-12-31,,
_1772428616,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
