Supplier Name,F PEPESTHR - PEPSI BOTTLING CO OF ESTHERVILLE,,,,,,,,,,,,,,,,,,,,
Supplier Xref,PEPESTHR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_012000171437,BUBLY LEMON 12z 8pk,1125448,1125448,,,,a,601 11 000,Case,24,,,u,_012000171437,Master,0,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,MG Vets Oil Co,8.4,0,1900-01-01,2075-12-31,,
_012000171444,BUBLY LIME 12z 8pk,1125449,1125449,,,,a,601 11 000,Case,24,,,u,_012000171444,Master,0,0,1900-01-01,2075-12-31,,
_012000171444,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_012000171444,,,,,,,,,,,,,,,MG Vets Oil Co,8.4,0,1900-01-01,2075-12-31,,
_012000171451,BUBLY CHERRY 12z 8pk,1125446,1125446,,,,a,601 11 000,Case,24,,,u,_012000171451,Master,0,0,1900-01-01,2075-12-31,,
_012000171451,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_012000171451,,,,,,,,,,,,,,,MG Vets Oil Co,8.4,0,1900-01-01,2075-12-31,,
_012000171468,BUBLY ORANGE 12z 8pk,1125452,1125452,,,,a,601 11 000,Case,24,,,u,_012000171468,Master,0,0,1900-01-01,2075-12-31,,
_012000171468,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_012000171468,,,,,,,,,,,,,,,MG Vets Oil Co,8.4,0,1900-01-01,2075-12-31,,
_012000171475,BUBLY GRAPEFRUIT 12z 8pk,1125447,1125447,,,,a,601 11 000,Case,24,,,u,_012000171475,Master,0,0,1900-01-01,2075-12-31,,
_012000171475,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_012000171475,,,,,,,,,,,,,,,MG Vets Oil Co,8.4,0,1900-01-01,2075-12-31,,
_012000171505,BUBLY MANGO 12z 8pk,1125450,1125450,,,,a,601 11 000,Case,24,,,u,_012000171505,Master,0,0,1900-01-01,2075-12-31,,
_012000171505,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_012000171505,,,,,,,,,,,,,,,MG Vets Oil Co,8.4,0,1900-01-01,2075-12-31,,
