Supplier Name,F PEPTWIN - PEPSI TWIN CITIES,,,,,,,,,,,,,,,,,,,,
Supplier Xref,PEPTWIN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_012000001291,PEPSI 20z NR,15917,15917,,,,a,901 04 000,Case,24,,,u,_012000001291,Master,0,0,1900-01-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,Franchise,0,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,AA Amys Mini Mart,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,DH Hasbrouck of Rosemount Inc,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,DO Truckers Inn Inc,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,EH Dana Marathon,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,ES Eliasco Inc,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,JD River Country Coop,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,MM Federated Coop Inc,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,MZ United Petroleum Inc,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,SB HK Corporation,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,TB Erickson Oil Products,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,TH Cardinal Enterprises,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,YA Joes SA,29.1,0,2019-06-01,2075-12-31,,
_012000001291,,,,,,,,,,,,,,,RA Snelling One~ Inc,29.1,0,2019-08-23,2075-12-31,,
_012000105425,MT DEW CDE RED 2L,118266,118266,,,,a,901 03 000,Case,8,,,u,_012000105425,Master,0,0,1900-01-01,2075-12-31,,
_012000105425,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_012000105425,,,,,,,,,,,,,,,TH Cardinal Enterprises,0,0,1900-01-01,2075-12-31,,
_012000171437,BUBLY LEMON 12z 8pk,1125448,1125448,,,,a,601 11 000,Case,24,,,u,_012000171437,Master,0,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,AA Amys Mini Mart,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,DH Hasbrouck of Rosemount Inc,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,DO Truckers Inn Inc,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,EH Dana Marathon,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,ES Eliasco Inc,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,GH Buy Rite,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,JD River Country Coop,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,KA E and K,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,MM Federated Coop Inc,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,MZ United Petroleum Inc,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,SB HK Corporation,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,TB Erickson Oil Products,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,TH Cardinal Enterprises,8.4,0,1900-01-01,2075-12-31,,
_012000171437,,,,,,,,,,,,,,,VK Resources LLC,8.4,0,1900-01-01,2075-12-31,,
_012000171710,PEPSI DT 16z CN,1056156,1056156,,,,a,901 02 002,Case,12,,,u,_012000030307,Master,0,0,1900-01-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,u,_012000171710,Franchise,0,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,AA Amys Mini Mart,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,DH Hasbrouck of Rosemount Inc,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,DO Truckers Inn Inc,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,EH Dana Marathon,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,ES Eliasco Inc,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,JD River Country Coop,9.21,0,2019-07-30,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,MM Federated Coop Inc,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,MZ United Petroleum Inc,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,SB HK Corporation,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,TB Erickson Oil Products,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,TH Cardinal Enterprises,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,YA Joes SA,9.21,0,2019-06-01,2075-12-31,,
_012000171710,,,,,,,,,,,,,,,RA Snelling One~ Inc,9.21,0,2019-08-22,2075-12-31,,
_012000171758,PEPSI DT 1L,16846,16846,,,,a,901 05 000,Case,15,,,u,_012000171758,Master,0,0,1900-01-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,Franchise,0,0,2019-06-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,AA Amys Mini Mart,20.8,0,2019-06-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,DH Hasbrouck of Rosemount Inc,20.8,0,2019-06-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,20.8,0,2019-06-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,DO Truckers Inn Inc,20.8,0,2019-06-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,EH Dana Marathon,20.8,0,2019-06-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),20.8,0,2019-06-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,ES Eliasco Inc,20.8,0,2019-06-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,20.8,0,2019-06-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,JD River Country Coop,20.8,0,2019-06-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,MM Federated Coop Inc,20.8,0,2019-06-01,2075-12-31,,
_012000171758,,,,,,,,,,,,,,,MZ United Petroleum Inc,20.8,0,2019-06-01,2075-12-31,,
