Supplier Name,F POLKADOT - POLKA DOT DAIRY,,,,,,,,,,,,,,,,,,,,
Supplier Xref,POLKADOT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_028000328580,NESTLE SNICKERS CHOC MILK 14z,1126461,1126461,,,,a,Default,Case,12,,,u,_028000328580,Master,0,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,AA Amys Mini Mart,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,DO Truckers Inn Inc,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,EH Dana Marathon,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,ES Eliasco Inc,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,GH Buy Rite,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,JD River Country Coop,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,KA E and K,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,MG Vets Oil Co,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,MK Minnesota Corp Inc,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,MK Viking Oil Corp Inc,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,NA Cannon Falls Oil,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,RK Kary Smith Inc,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,SB HK Corporation,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,SSK Skoglund Oil Co,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,TB Erickson Oil Products,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,TD Donner Service Inc,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,TH Cardinal Enterprises,19.44,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,RA Snelling One~ Inc,19.44,0,1900-01-01,2075-12-31,,
_028000720292,NESTLE TWIX CHOC MILK 14z,1126522,1126522,,,,a,Default,Case,12,,,u,_028000720292,Master,0,0,1900-01-01,2075-12-31,,
_028000720292,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_028000720292,,,,,,,,,,,,,,,AA Amys Mini Mart,19.44,0,1900-01-01,2075-12-31,,
