Supplier Name,F PRESSTME - PRESS TIME DELIVERY LLC,,,,,,,,,,,,,,,,,,,,
Supplier Xref,PRESSTME,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_757273000014,STAR TRIBUNE DAILY STATE EDITION - MN,179896,179896,,,,a,Default,Each,1,,,u,_757273000014,Master,0,0,1900-01-01,2075-12-31,,
_757273000014,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_757273000076,STAR TRIBUNE SEASONAL,1089348,1089348,,,,a,Default,Each,1,,,u,_757273000076,Master,0,0,1900-01-01,2075-12-31,,
_757273000076,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_757273000090,STAR TRIBN EARLY SUN WEST METRO - MN,183918,183918,,,,a,Default,Each,1,,,u,_757273000090,Master,0,0,1900-01-01,2075-12-31,,
_757273000090,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_757273000755,STAR TRIBUNE EARLY SUNDAY STATE EDITION,182319,182319,,,,a,Default,Each,1,,,u,_757273000755,Master,0,0,1900-01-01,2075-12-31,,
_757273000755,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_762006345676,PIONEER PRESS SUNDAY,177517,177517,,,,a,Default,Each,1,,,u,_762006345676,Master,0,0,1900-01-01,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_762006345683,PIONEER PRESS DAILY,177514,177514,,,,a,Default,Each,1,,,u,_762006345683,Master,0,0,1900-01-01,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_834246000018,BRAINERD DAILY,177399,177399,,,,a,Default,Each,1,,,u,_834246000018,Master,0,0,1900-01-01,2075-12-31,,
_834246000018,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_834246000025,BRAINERD SUNDAY,177400,177400,,,,a,Default,Each,1,,,u,_834246000025,Master,0,0,1900-01-01,2075-12-31,,
_834246000025,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
