Supplier Name,PUGSINC-PUGS  INC,,,,,,,,,,,,,,,,,,,,
Supplier Xref,PUGSINC,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_080798411646,HI FI AUX CABLE,1124888,1124888,,,,a,706 19 000,Each,1,,,u,_080798411646,Master,7.66,0,1900-01-01,2075-12-31,,
_080798416757,AC VENT MOUNT,1124885,1124885,,,,a,706 19 000,Each,1,,,u,_080798416757,Master,5.89,0,1900-01-01,2075-12-31,,
_080798419109,CELLTRONIX AUX TO 8PIN,1124887,1124887,,,,a,706 19 000,Each,1,,,u,_080798419109,Master,8.84,0,1900-01-01,2075-12-31,,
_080798419895,Q1 TITANIUM 2.1 CAR CHARGER,1124867,1124867,,,,a,706 19 000,Each,1,,,u,_080798419895,Master,5.89,0,1900-01-01,2075-12-31,,
_080798421232,TYPE C BULK,1124398,1124398,,,,a,706 19 000,Each,1,,,u,_080798421232,Master,7.66,0,1900-01-01,2075-12-31,,
_080798421249,AUDIO CABLE BULK,1124401,1124401,,,,a,706 19 000,Each,1,,,u,_080798421249,Master,5.3,0,1900-01-01,2075-12-31,,
_080798421256,CAMO 3.1A CAR CHARGER,1124409,1124409,,,,a,706 19 000,Each,1,,,u,_080798421256,Master,6.48,0,1900-01-01,2075-12-31,,
_080798421263,CAMO LIGHTNING CABLE,1124410,1124410,,,,a,706 19 000,Each,1,,,u,_080798421263,Master,11.79,0,1900-01-01,2075-12-31,,
_080798421270,CAMO 2.1A WALL CHARGER,1124411,1124411,,,,a,706 19 000,Each,1,,,u,_080798421270,Master,6.48,0,1900-01-01,2075-12-31,,
_080798421645,CABLE EXTENDER 6ft,1124866,1124866,,,,a,706 19 000,Each,1,,,u,_080798421645,Master,5.3,0,1900-01-01,2075-12-31,,
_080798423069,CHARGER 2.1A DUAL USB,1124415,1124415,,,,a,706 19 000,Each,1,,,u,_080798423069,Master,4.12,0,1900-01-01,2075-12-31,,
_080798423076,TYPE C USB CABLE,1124417,1124417,,,,a,706 19 000,Each,1,,,u,_080798423076,Master,10.61,0,1900-01-01,2075-12-31,,
_608707167912,PG 4in  9 PIN CHARGE/SYNC CBL,1124399,1124399,,,,a,706 19 000,Each,1,,,u,_608707167912,Master,14.74,0,1900-01-01,2075-12-31,,
_608707167929,PG 9 PIN CAR CHARGER W/ CBL,1124403,1124403,,,,a,706 19 000,Each,1,,,u,_608707167929,Master,15.92,0,1900-01-01,2075-12-31,,
_608707167936,PG TYPE C CABLE,1124408,1124408,,,,a,706 19 000,Each,1,,,u,_608707167936,Master,13.56,0,1900-01-01,2075-12-31,,
_608707167943,PG WIRELESS EARBUDS BLACK,1124412,1124412,,,,a,706 19 000,Each,1,,,u,_608707167943,Master,15.92,0,1900-01-01,2075-12-31,,
_608707167950,PG WIRELESS EARBUDS WHITE,1124416,1124416,,,,a,706 19 000,Each,1,,,u,_608707167950,Master,15.92,0,1900-01-01,2075-12-31,,
_608707167967,PG WIRELESS EARBUDS BLUE,1124413,1124413,,,,a,706 19 000,Each,1,,,u,_608707167967,Master,15.92,0,1900-01-01,2075-12-31,,
_850007920036,RHINO RUSH GRAPE 2Z,1063795,1063795,,,,a,706 15C 000,Each,1,,,u,_850007920036,Master,1.86,0,1900-01-01,2075-12-31,,
_850007920036,,,,,,,,,,,,,u,_854498005005,,,,,,,
_850007920111,RHINO RUSH KIWI 2Z,1065157,1065157,,,,a,706 15C 000,Each,1,,,u,_850007920111,Master,1.86,0,1900-01-01,2075-12-31,,
_850007920111,,,,,,,,,,,,,u,_854498005166,,,,,,,
_850007920135,RHINO RUSH BLUE RASP 2z,1088003,1088003,,,,a,706 15C 000,Each,1,,,u,_850007920135,Master,1.86,0,1900-01-01,2075-12-31,,
_850007920135,,,,,,,,,,,,,u,_854498005388,,,,,,,
