Supplier Name,F QUALITY - QUALITY BRANDS,,,,,,,,,,,,,,,,,,,,
Supplier Xref,QUALITY,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_028000328580,NESTLE SNICKERS CHOC MILK 14z,1126461,1126461,,,,a,Default,Case,12,,,u,_028000328580,Master,0,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_028000328580,,,,,,,,,,,,,,,MG Vets Oil Co,19.44,0,1900-01-01,2075-12-31,,
_028000460976,NESCAFE WHIPPED LATTE FRNCH VAN 10z,1125139,1125139,,,,a,601 11B 00,Case,12,,,u,_028000460976,Master,0,0,1900-01-01,2075-12-31,,
_028000460976,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_028000460976,,,,,,,,,,,,,,,MG Vets Oil Co,0,0,1900-01-01,2075-12-31,,
_028000720292,NESTLE TWIX CHOC MILK 14z,1126522,1126522,,,,a,Default,Case,12,,,u,_028000720292,Master,0,0,1900-01-01,2075-12-31,,
_028000720292,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_028000720292,,,,,,,,,,,,,,,MG Vets Oil Co,19.44,0,1900-01-01,2075-12-31,,
_100000285,MICHELOB ULTRA 8PK 16z CN,1083598,1083598,,,,a,401 01 004,Case,24,,,u,_018200239861,Master,0,0,1900-01-01,2075-12-31,,
_100000285,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_100000285,,,,,,,,,,,,,,,MG Vets Oil Co,8.97,0,2019-04-09,2075-12-31,,
_100034052,BUD STRAW RITA 6PK 12OZ NR,NULL,,,,,a,Default,Case,24,,,u,_018200200762,Master,0,0,1900-01-01,2075-12-31,,
_100034052,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_100034052,,,,,,,,,,,,,,,MG Vets Oil Co,7.13,0,2019-04-09,2075-12-31,,
_100039051,SPIKED SELZER GRPFRT 6PK 12z CN,32002697,32002697,,,,a,401 01 004,Case,24,,,u,_853897002318,Master,0,0,1900-01-01,2075-12-31,,
_100039051,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_100039051,,,,,,,,,,,,,,,MG Vets Oil Co,6.75,0,2019-04-09,2075-12-31,,
_100042051,SPIKED SELTZER CAPE COD CRNBRY 6PK 12z,32002694,32002694,,,,a,401 01 004,Case,24,,,u,_853897002288,Master,0,0,1900-01-01,2075-12-31,,
_100042051,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_100042051,,,,,,,,,,,,,,,MG Vets Oil Co,6.75,0,2019-04-09,2075-12-31,,
_100044074,BUD LT 12PK 16z ALUM,1076155,1076155,,,,a,401 01 002,Case,24,,,u,_018200970092,Master,0,0,1900-01-01,2075-12-31,,
_100044074,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_100044074,,,,,,,,,,,,,,,MG Vets Oil Co,0,0,1900-01-01,2075-12-31,,
_100044081,BUD LT 8PK 16z CN,192230,192230,,,,a,401 01 002,Case,24,,,u,_018200089893,Master,0,0,1900-01-01,2075-12-31,,
_100044081,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
