Supplier Name,F REDWING - RED WING SHOES,,,,,,,,,,,,,,,,,,,,
Supplier Xref,REDWING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_333146840,SOCKS COTTON CUSHN WHITE,36012161,36012161,,,,a,601 21 930,Each,1,,,u,_000333146840,Master,0,0,1900-01-01,2075-12-31,,
_333146840,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333146840,,,,,,,,,,,,,,,MM Federated Coop Inc,7,0,2019-04-09,2075-12-31,,
_333146857,SOCKS COTTON CUSHN WHITE,36012162,36012162,,,,a,601 21 930,Each,1,,,u,_000333146857,Master,0,0,1900-01-01,2075-12-31,,
_333146857,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333146857,,,,,,,,,,,,,,,MM Federated Coop Inc,7,0,2019-04-09,2075-12-31,,
_333146864,SOCKS COTTON CUSHN WHITE,36012163,36012163,,,,a,601 21 930,Each,1,,,u,_000333146864,Master,0,0,1900-01-01,2075-12-31,,
_333146864,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333146864,,,,,,,,,,,,,,,MM Federated Coop Inc,7,0,2019-04-09,2075-12-31,,
_333146932,SOCKS COTTON CUSHN BLACK,36012158,36012158,,,,a,601 21 930,Each,1,,,u,_000333146932,Master,0,0,1900-01-01,2075-12-31,,
_333146932,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333146932,,,,,,,,,,,,,,,MM Federated Coop Inc,7,0,2019-04-09,2075-12-31,,
_333146949,SOCKS COTTON CUSHN BLACK,36012159,36012159,,,,a,601 21 930,Each,1,,,u,_000333146949,Master,0,0,1900-01-01,2075-12-31,,
_333146949,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333146949,,,,,,,,,,,,,,,MM Federated Coop Inc,7,0,2019-04-09,2075-12-31,,
_33314695,SOCKS COTTON CUSHN BLACK,36012160,36012160,,,,a,601 21 930,Each,1,,,u,_000333146956,Master,0,0,1900-01-01,2075-12-31,,
_33314695,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_33314695,,,,,,,,,,,,,,,MM Federated Coop Inc,0,0,2019-04-09,2075-12-31,,
_333146956,SOCKS COTTON CUSHN BLACK,36012160,36012160,,,,a,601 21 930,Each,1,,,u,_000333146956,Master,0,0,1900-01-01,2075-12-31,,
_333146956,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333146956,,,,,,,,,,,,,,,MM Federated Coop Inc,7,0,2019-04-09,2075-12-31,,
_333213733,LEATHER PROTECTOR SPRAY,36002910,36002910,,,,a,601 21 400,Each,1,,,u,_000333213733,Master,0,0,1900-01-01,2075-12-31,,
_333213733,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333213733,,,,,,,,,,,,,,,MM Federated Coop Inc,6,0,2019-04-09,2075-12-31,,
_333252480,BOOT OIL 4z,36014283,36014283,,,,a,601 34 910,Each,1,,,u,_000333252480,Master,0,0,1900-01-01,2075-12-31,,
_333252480,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333252480,,,,,,,,,,,,,,,MM Federated Coop Inc,12,0,2019-04-09,2075-12-31,,
_333301669,BOOT BUMPER REPAIR/PROTECT TAN,36014259,36014259,,,,a,601 21 930,Each,1,,,u,_000333301669,Master,0,0,1900-01-01,2075-12-31,,
_333301669,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333301669,,,,,,,,,,,,,,,MM Federated Coop Inc,0,0,2019-04-09,2075-12-31,,
_333301676,BOOT BUMPER REPAIR/PROTECT TAN,36014260,36014260,,,,a,601 21 930,Each,1,,,u,_000333301676,Master,0,0,1900-01-01,2075-12-31,,
_333301676,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333301676,,,,,,,,,,,,,,,MM Federated Coop Inc,0,0,2019-04-09,2075-12-31,,
_333301683,BOOT BUMPER REPAIR/PROTECT TAN,36014259,36014259,,,,a,601 21 930,Each,1,,,u,_000333301669,Master,0,0,1900-01-01,2075-12-31,,
_333301683,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333301683,,,,,,,,,,,,,,,MM Federated Coop Inc,6.49,0,2019-04-09,2075-12-31,,
_333301690,BOOT BUMPER,36002979,36002979,,,,a,601 21 930,Each,1,,,u,_000333301690,Master,0,0,1900-01-01,2075-12-31,,
_333301690,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333301690,,,,,,,,,,,,,,,MM Federated Coop Inc,11,0,2019-04-09,2075-12-31,,
_333496334,RED WING BROWN 606 6IN,36011958,36011958,,,,a,601 21 930,Each,1,,,u,_000333496334,Master,0,0,1900-01-01,2075-12-31,,
_333496334,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496334,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496341,RED WING BROWN 606 6IN,36011959,36011959,,,,a,601 21 930,Each,1,,,u,_000333496341,Master,0,0,1900-01-01,2075-12-31,,
_333496341,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496341,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496358,RED WING BROWN 606 6IN,37003177,37003177,,,,a,601 21 930,Each,1,,,u,_000333496358,Master,0,0,1900-01-01,2075-12-31,,
_333496358,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496358,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496365,RED WING BROWN 606 6IN,36011961,36011961,,,,a,601 21 930,Each,1,,,u,_000333496365,Master,0,0,1900-01-01,2075-12-31,,
_333496365,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496365,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496372,RED WING BROWN 606 6IN,36011962,36011962,,,,a,601 21 930,Each,1,,,u,_000333496372,Master,0,0,1900-01-01,2075-12-31,,
_333496372,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496372,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496389,RED WING BROWN 606 6IN,36011963,36011963,,,,a,601 21 930,Each,1,,,u,_000333496389,Master,0,0,1900-01-01,2075-12-31,,
_333496389,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496389,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496396,RED WING BROWN 606 6IN,36011964,36011964,,,,a,601 21 930,Each,1,,,u,_000333496396,Master,0,0,1900-01-01,2075-12-31,,
_333496396,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496396,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496402,RED WING BROWN 606 6IN,36011965,36011965,,,,a,601 21 930,Each,1,,,u,_000333496402,Master,0,0,1900-01-01,2075-12-31,,
_333496402,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496402,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496419,RED WING BROWN 606 6IN,36011966,36011966,,,,a,601 21 930,Each,1,,,u,_000333496419,Master,0,0,1900-01-01,2075-12-31,,
_333496419,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496419,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496426,RED WING BROWN 606 6IN,36011967,36011967,,,,a,601 21 930,Each,1,,,u,_000333496426,Master,0,0,1900-01-01,2075-12-31,,
_333496426,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496426,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496433,RED WING BROWN 606 6IN,36011968,36011968,,,,a,601 21 930,Each,1,,,u,_000333496433,Master,0,0,1900-01-01,2075-12-31,,
_333496433,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496433,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496440,RED WING BROWN 606 6IN,36011969,36011969,,,,a,601 21 930,Each,1,,,u,_000333496440,Master,0,0,1900-01-01,2075-12-31,,
_333496440,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496440,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_333496457,RED WING BROWN 606 6IN,36011970,36011970,,,,a,601 21 930,Each,1,,,u,_000333496457,Master,0,0,1900-01-01,2075-12-31,,
_333496457,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496457,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_33349646,RED WING BROWN 606 6IN,36011971,36011971,,,,a,601 21 930,Each,1,,,u,_000333496464,Master,0,0,1900-01-01,2075-12-31,,
_33349646,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_33349646,,,,,,,,,,,,,,,MM Federated Coop Inc,0,0,2019-04-09,2075-12-31,,
_333496464,RED WING BROWN 606 6IN,36011971,36011971,,,,a,601 21 930,Each,1,,,u,_000333496464,Master,0,0,1900-01-01,2075-12-31,,
_333496464,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496464,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_33349647,RED WING BROWN 606 6IN,36011972,36011972,,,,a,601 21 930,Each,1,,,u,_000333496471,Master,0,0,1900-01-01,2075-12-31,,
_33349647,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_33349647,,,,,,,,,,,,,,,MM Federated Coop Inc,0,0,2019-04-09,2075-12-31,,
_333496471,RED WING BROWN 606 6IN,36011972,36011972,,,,a,601 21 930,Each,1,,,u,_000333496471,Master,0,0,1900-01-01,2075-12-31,,
_333496471,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496471,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_33349648,RED WING BROWN 606 6IN,36011973,36011973,,,,a,601 21 930,Each,1,,,u,_000333496488,Master,0,0,1900-01-01,2075-12-31,,
_33349648,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_33349648,,,,,,,,,,,,,,,MM Federated Coop Inc,0,0,2019-04-09,2075-12-31,,
_333496488,RED WING BROWN 606 6IN,36011973,36011973,,,,a,601 21 930,Each,1,,,u,_000333496488,Master,0,0,1900-01-01,2075-12-31,,
_333496488,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496488,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_33349649,RED WING BROWN 606 6IN,36011974,36011974,,,,a,601 21 930,Each,1,,,u,_000333496495,Master,0,0,1900-01-01,2075-12-31,,
_33349649,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_33349649,,,,,,,,,,,,,,,MM Federated Coop Inc,0,0,2019-04-09,2075-12-31,,
_333496495,RED WING BROWN 606 6IN,36011974,36011974,,,,a,601 21 930,Each,1,,,u,_000333496495,Master,0,0,1900-01-01,2075-12-31,,
_333496495,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496495,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_33349650,RED WING BROWN 606 6IN,36011975,36011975,,,,a,601 21 930,Each,1,,,u,_000333496501,Master,0,0,1900-01-01,2075-12-31,,
_33349650,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_33349650,,,,,,,,,,,,,,,MM Federated Coop Inc,0,0,2019-04-09,2075-12-31,,
_333496501,RED WING BROWN 606 6IN,36011975,36011975,,,,a,601 21 930,Each,1,,,u,_000333496501,Master,0,0,1900-01-01,2075-12-31,,
_333496501,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_333496501,,,,,,,,,,,,,,,MM Federated Coop Inc,112.5,0,2019-04-09,2075-12-31,,
_33349651,RED WING BROWN 606 6IN,36011976,36011976,,,,a,601 21 930,Each,1,,,u,_000333496518,Master,0,0,1900-01-01,2075-12-31,,
_33349651,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_33349651,,,,,,,,,,,,,,,MM Federated Coop Inc,0,0,2019-04-09,2075-12-31,,
