Supplier Name,F SMOMALL - SMOM ALL PRODUCTS,,,,,,,,,,,,,,,,,,,,
Supplier Xref,SMOMALL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_1024,SMOM WHITE BREAD,84718,84718,,,,a,601 06 000,Each,1,,,u,_763913010244,Master,0,0,1900-01-01,2075-12-31,,
_1024,,,,,,,,,,,,,,,Franchise,1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,AA Amys Mini Mart,1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,DH Hasbrouck of Rosemount Inc,1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,DO Truckers Inn Inc,1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,EH Dana Marathon,1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,ES Eliasco Inc,1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,GH Buy Rite,1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,JD River Country Coop,0.91,0,2019-08-16,2075-12-31,,
_1024,,,,,,,,,,,,,,,PW Wenner Companies Inc,0.91,0,2019-08-16,2075-12-31,,
_1024,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,1.4,0,2019-08-12,2075-12-31,,
_1024,,,,,,,,,,,,,,,RK Kary Smith Inc,1.4,0,2019-08-12,2075-12-31,,
