Supplier Name,F STARTRIB - STAR TRIBUNE,,,,,,,,,,,,,,,,,,,,
Supplier Xref,STARTRIB,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_3546333,NEW YORK TIMES,1086674,1086674,,,,a,Default,Each,1,,,u,_035400000633,Master,0,0,1900-01-01,2075-12-31,,
_3546333,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_3546333,,,,,,,,,,,,,,,AA Amys Mini Mart,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,DH Hasbrouck of Rosemount Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,DO Truckers Inn Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,GH Buy Rite,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,JD River Country Coop,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,MK Minnesota Corp Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,MK Viking Oil Corp Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,MM Federated Coop Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,MZ United Petroleum Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,PW Wenner Companies Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,RK Kary Smith Inc,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,SB HK Corporation,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,SSK Skoglund Oil Co,2.74,0,2019-04-09,2075-12-31,,
_3546333,,,,,,,,,,,,,,,TB Erickson Oil Products,2.74,0,2019-04-09,2075-12-31,,
