Supplier Name,F TREATPL - TREAT PLANET,,,,,,,,,,,,,,,,,,,,
Supplier Xref,TREATPL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_853662006039,SNACK SHACK CHKN LINK,36016437,36016437,,,,a,601 33 910,Case,36,,,u,_853662006039,Master,0,0,1900-01-01,2075-12-31,,
_853662006039,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_853662006039,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,1.35,0,2019-04-09,2075-12-31,,
_853662006039,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,1.35,0,2019-04-09,2075-12-31,,
_853662006039,,,,,,,,,,,,,,,GH Buy Rite,1.35,0,2019-04-09,2075-12-31,,
_853662006039,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,1.35,0,2019-04-09,2075-12-31,,
_853662006114,SNACK SHACK RABBIT STICK,36016438,36016438,,,,a,601 33 910,Case,48,,,u,_853662006114,Master,0,0,1900-01-01,2075-12-31,,
_853662006114,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_853662006114,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,1.19,0,2019-04-09,2075-12-31,,
_853662006114,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,1.19,0,2019-04-09,2075-12-31,,
_853662006114,,,,,,,,,,,,,,,GH Buy Rite,1.19,0,2019-04-09,2075-12-31,,
_853662006114,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,1.19,0,2019-04-09,2075-12-31,,
_853662006176,SNACK SHACK CRUNCH BAR,36013695,36013695,,,,a,601 33 000,Case,18,,,u,_853662006176,Master,0,0,1900-01-01,2075-12-31,,
_853662006176,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_853662006176,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,1.19,0,2019-04-09,2075-12-31,,
_853662006176,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,1.19,0,2019-04-09,2075-12-31,,
_853662006176,,,,,,,,,,,,,,,GH Buy Rite,1.19,0,2019-04-09,2075-12-31,,
_853662006176,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,1.19,0,2019-04-09,2075-12-31,,
