Supplier Name,F TRISTAR - TRISTAR FOODS CIN,,,,,,,,,,,,,,,,,,,,
Supplier Xref,TRISTAR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_17082232038,SUGAR RIVER ORIGINAL BF STICKS 2LBS,36010372,36010372,,,,a,601 04B 000,Each,1,,,u,_017082232038,Master,0,0,1900-01-01,2075-12-31,,
_17082232038,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_17082232038,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0,0,2019-04-09,2075-12-31,,
_17082880772,LORISSA'S GINGER TERIYAKI 1z,36010026,36010026,,,,a,601 04C 000,Each,1,,,u,_017082880772,Master,0,0,1900-01-01,2075-12-31,,
_17082880772,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_17082880772,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_17082880789,LORISSA'S KOREAN BARBEQUE 1z,36010027,36010027,,,,a,601 04C 000,Each,1,,,u,_017082880789,Master,0,0,1900-01-01,2075-12-31,,
_17082880789,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_17082880789,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.75,0,2019-04-09,2075-12-31,,
_17082880796,LORISSAS SWEET CHILI JERKY 1z,36010028,36010028,,,,a,601 04B 000,Each,1,,,u,_017082880796,Master,0,0,1900-01-01,2075-12-31,,
_17082880796,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_17082880796,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0.01,0,2019-04-09,2075-12-31,,
_33275069007,AIRLIE 7 OREGON 750ML,36000264,36000264,,,,a,401 03 001,Each,1,,,u,_033275069007,Master,0,0,1900-01-01,2075-12-31,,
_33275069007,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_33275069007,,,,,,,,,,,,,,,SSK Skoglund Oil Co,4.54,0,2019-04-09,2075-12-31,,
_800428000244,CANVAS DE CHACRAS,36000702,36000702,,,,a,601 02 000,Each,1,,,u,_800428000244,Master,0,0,1900-01-01,2075-12-31,,
_800428000244,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_800428000244,,,,,,,,,,,,,,,SSK Skoglund Oil Co,4.54,0,2019-04-09,2075-12-31,,
