Supplier Name,UPSNIAG - UPSTATE NIAGARA,,,,,,,,,,,,,,,,,,,,
Supplier Xref,UPSNIAG,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_072510006018,UPS BNS ORG CTG CHS,38001915,38001915,,,,a,601 07 710,Each,1,,,u,_072510006018,Master,1.95,0,1900-01-01,2075-12-31,,
_072510008012,UPS BSN LF CTG CHES,38001916,38001916,,,,a,601 07 710,Each,1,,,u,_072510008012,Master,1.95,0,1900-01-01,2075-12-31,,
_072510022087,DAIRY SOUR CREAM,180156,180156,,,,a,601 07 720,Each,1,,,u,_072510022087,Master,1.2,0,1900-01-01,2075-12-31,,
_072510024128,UPS BSN OIN DIP 12z,38001596,38001596,,,,a,601 07 730,Each,1,,,u,_072510024128,Master,1.3,0,1900-01-01,2075-12-31,,
_072510025880,UPS BSN BFLO RNCH DIP,38001594,38001594,,,,a,601 07 730,Each,1,,,u,_072510025880,Master,1.3,0,1900-01-01,2075-12-31,,
_072510025897,UPS BSN CHDR JLPNO DIP,38001595,38001595,,,,a,601 07 730,Each,1,,,u,_072510025897,Master,1.3,0,1900-01-01,2075-12-31,,
_072510027020,UPS BSN BAC OIN DIP,38001593,38001593,,,,a,601 07 730,Each,1,,,u,_072510027020,Master,1.3,0,1900-01-01,2075-12-31,,
_078800055933,UPS LACTOSE FREE 2%,38001918,38001918,,,,a,601 07 410,Each,1,,,u,_078800055933,Master,2.51,0,1900-01-01,2019-07-14,,
_078800110014,MILK WHOLE GAL,180123,180123,,,,a,601 07 000,Each,1,,,u,_078800110014,Master,3.86,0,1900-01-01,2019-07-14,,
_078800110090,MILK SKIM GAL,180116,180116,,,,a,601 07 000,Each,1,,,u,_078800110090,Master,3.51,0,1900-01-01,2019-07-14,,
_078800110144,MILK .5% or 1% GAL,180125,180125,,,,a,601 07 000,Each,1,,,u,_078800110144,Master,3.61,0,1900-01-01,2019-07-14,,
