Supplier Name,F USATODAY - USA TODAY,,,,,,,,,,,,,,,,,,,,
Supplier Xref,USATODAY,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_71896477122,USA TODAY WORLD SERIES SPECIAL EDITION,185597,185597,,,,a,Default,Each,1,,,u,_071896477122,Master,0,0,1900-01-01,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,DO Truckers Inn Inc,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,GH Buy Rite,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,MZ United Petroleum Inc,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,RK Kary Smith Inc,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,TB Erickson Oil Products,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,VK Resources LLC,6.64,0,2019-04-09,2075-12-31,,
_71896477122,,,,,,,,,,,,,,,RA Snelling One~ Inc,6.64,0,2019-08-23,2075-12-31,,
_762006345676,PIONEER PRESS SUNDAY,177517,177517,,,,a,Default,Each,1,,,u,_762006345676,Master,0,0,1900-01-01,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,2.35,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,2.35,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,2.35,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,DO Truckers Inn Inc,2.35,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,GH Buy Rite,2.35,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,0,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,MZ United Petroleum Inc,2.35,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,RK Kary Smith Inc,2.35,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,2.35,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,0,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,TB Erickson Oil Products,2.35,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,VK Resources LLC,0,0,2019-04-09,2075-12-31,,
_762006345676,,,,,,,,,,,,,,,RA Snelling One~ Inc,0,0,2019-08-23,2075-12-31,,
_762006345683,PIONEER PRESS DAILY,177514,177514,,,,a,Default,Each,1,,,u,_762006345683,Master,0,0,1900-01-01,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,1.37,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,1.37,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,1.37,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,DO Truckers Inn Inc,1.37,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,GH Buy Rite,1.37,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,0,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,MZ United Petroleum Inc,1.37,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,RK Kary Smith Inc,1.37,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,1.37,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,0,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,TB Erickson Oil Products,1.37,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,VK Resources LLC,0,0,2019-04-09,2075-12-31,,
_762006345683,,,,,,,,,,,,,,,RA Snelling One~ Inc,0,0,2019-08-23,2075-12-31,,
_785186001408,WEST CENTRAL TRIB $1.00,177244,177244,,,,a,Default,Each,1,,,u,_785186001408,Master,0,0,1900-01-01,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,DM Cambridge Petroleum Inc,0.89,0,2019-04-09,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,0.89,0,2019-04-09,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,0.89,0,2019-04-09,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,DO Truckers Inn Inc,0.89,0,2019-04-09,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,GH Buy Rite,0.89,0,2019-04-09,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,HB Local Oil Distributing Inc,0,0,2019-04-09,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,MZ United Petroleum Inc,0.89,0,2019-04-09,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,RK Kary Smith Inc,0.89,0,2019-04-09,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,0.89,0,2019-04-09,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,0,0,2019-04-09,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,TB Erickson Oil Products,0.89,0,2019-04-09,2075-12-31,,
_785186001408,,,,,,,,,,,,,,,VK Resources LLC,0,0,2019-04-09,2075-12-31,,
