Supplier Name,F VALLYNEW - VALLEY NEWS COMPANY,,,,,,,,,,,,,,,,,,,,
Supplier Xref,VALLYNEW,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_10045,HEDBERG CENTRAL MN PROF PATH,32004407,32004407,,,,a,601 25 008,Each,1,,,u,_791639100451,Master,0,0,1900-01-01,2075-12-31,,
_10045,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_10045,,,,,,,,,,,,,,,AA Amys Mini Mart,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,EH Dana Marathon,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,ES Eliasco Inc,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,GH Buy Rite,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,JD River Country Coop,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,MG Vets Oil Co,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,PW Wenner Companies Inc,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,RD Dooleys Petroleum Inc,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,RK Kary Smith Inc,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,SD Kath Fuel Oil Service Co,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,SSK Skoglund Oil Co,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,TB Erickson Oil Products,0,0,2019-04-09,2075-12-31,,
_10045,,,,,,,,,,,,,,,RA Snelling One~ Inc,0,0,2019-08-26,2075-12-31,,
_103,FLY FISHERMAN,36016972,36016972,,,,a,601 28A 910,Each,1,,,u,_070989303058,Master,0,0,1900-01-01,2075-12-31,,
_103,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_103,,,,,,,,,,,,,,,AA Amys Mini Mart,0,0,2019-04-09,2075-12-31,,
_103,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,0,0,2019-04-09,2075-12-31,,
_103,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,0,0,2019-04-09,2075-12-31,,
_103,,,,,,,,,,,,,,,EH Dana Marathon,0,0,2019-04-09,2075-12-31,,
_103,,,,,,,,,,,,,,,ES Chanhassen Stop LLC (Eliasco),0,0,2019-04-09,2075-12-31,,
_103,,,,,,,,,,,,,,,ES Eliasco Inc,0,0,2019-04-09,2075-12-31,,
