Supplier Name,F VONHANSN - VON HANSON'S,,,,,,,,,,,,,,,,,,,,
Supplier Xref,VONHANSN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_858814007001,VH DILL RANCH PRETZELS,36010442,36010442,,,,a,601 04B 000,Case,27,,,u,_858814007001,Master,0,0,1900-01-01,2075-12-31,,
_858814007001,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_858814007001,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,1.33,0,2019-04-09,2075-12-31,,
_858814007018,VH PARMESAN PRETZELS,36010444,36010444,,,,a,601 04B 000,Case,27,,,u,_858814007018,Master,0,0,1900-01-01,2075-12-31,,
_858814007018,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_858814007018,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,1.33,0,2019-04-09,2075-12-31,,
_858814007025,VH CINNAMON CRUNCH PRETZELS,36010441,36010441,,,,a,601 04B 000,Case,24,,,u,_858814007025,Master,0,0,1900-01-01,2075-12-31,,
_858814007025,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_858814007025,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,1.5,0,2019-04-09,2075-12-31,,
_858814007032,VH HOT BUFFALO PRETZELS,36010443,36010443,,,,a,601 04B 000,Case,27,,,u,_858814007032,Master,0,0,1900-01-01,2075-12-31,,
_858814007032,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_858814007032,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,1.33,0,2019-04-09,2075-12-31,,
_858814007049,VH TANGY MUSTARD PRETZELS,36010445,36010445,,,,a,601 04B 000,Case,27,,,u,_858814007049,Master,0,0,1900-01-01,2075-12-31,,
_858814007049,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_858814007049,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,1.33,0,2019-04-09,2075-12-31,,
