Supplier Name,F XTREME - XTREME ENTERPRISES INC,,,,,,,,,,,,,,,,,,,,
Supplier Xref,XTREME,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_24291244059,HANDS FREE BLUETOOTH UNIV,36008657,36008657,,,,a,601 22C 910,Each,1,,,u,_024291244059,Master,0,0,1900-01-01,2075-12-31,,
_24291244059,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_24291244059,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,17.99,0,2019-04-09,2075-12-31,,
_24291244059,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,17.99,0,2019-04-09,2075-12-31,,
_24291244059,,,,,,,,,,,,,,,GH Buy Rite,17.99,0,2019-04-09,2075-12-31,,
_24291244059,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,17.99,0,2019-04-09,2075-12-31,,
_24291244059,,,,,,,,,,,,,,,SSK Skoglund Oil Co,17.99,0,2019-04-09,2075-12-31,,
_24291245346,PORTABLE MINI SPKR,36014373,36014373,,,,a,601 34 910,Each,1,,,u,_024291245346,Master,0,0,1900-01-01,2075-12-31,,
_24291245346,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_24291245346,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,11.99,0,2019-04-09,2075-12-31,,
_24291245346,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,11.99,0,2019-04-09,2075-12-31,,
_24291245346,,,,,,,,,,,,,,,GH Buy Rite,11.99,0,2019-04-09,2075-12-31,,
_24291245346,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,11.99,0,2019-04-09,2075-12-31,,
_24291245346,,,,,,,,,,,,,,,SSK Skoglund Oil Co,11.99,0,2019-04-09,2075-12-31,,
_24291245797,BACKUP BATTERY IPHONE POD,36004461,36004461,,,,a,601 22C 100,Each,1,,,u,_024291245797,Master,0,0,1900-01-01,2075-12-31,,
_24291245797,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_24291245797,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,14.99,0,2019-04-09,2075-12-31,,
_24291245797,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,14.99,0,2019-04-09,2075-12-31,,
_24291245797,,,,,,,,,,,,,,,GH Buy Rite,14.99,0,2019-04-09,2075-12-31,,
_24291245797,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,14.99,0,2019-04-09,2075-12-31,,
_24291245797,,,,,,,,,,,,,,,SSK Skoglund Oil Co,14.99,0,2019-04-09,2075-12-31,,
_72874031305,BOSS 313 GREEN APE CHORE GLOVE,12765,12765,,,,a,601 21 400,Each,1,,,u,_072874031305,Master,0,0,1900-01-01,2075-12-31,,
_72874031305,,,,,,,,,,,,,,,Franchise,0,0,1900-01-01,2075-12-31,,
_72874031305,,,,,,,,,,,,,,,DO Hasty Truck Stop Inc,2.75,0,2019-04-09,2075-12-31,,
_72874031305,,,,,,,,,,,,,,,DO Olson Convenience Store Inc,2.75,0,2019-04-09,2075-12-31,,
_72874031305,,,,,,,,,,,,,,,GH Buy Rite,2.75,0,2019-04-09,2075-12-31,,
_72874031305,,,,,,,,,,,,,,,RO Truckers Inn/Stop and Go,2.75,0,2019-04-09,2075-12-31,,
_72874031305,,,,,,,,,,,,,,,SSK Skoglund Oil Co,2.75,0,2019-04-09,2075-12-31,,
