ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_018200250002,BUD 25z CN,22854,22854,,,,a,401 01J 000,Case,15.00,,,u,_018200004667,Master,33.90,0.00,1900-01-01,2075-12-31
_018200250002,,,,,,,,,,,,,u,_018200112355,,,,,
_018200250002,,,,,,,,,,,,,u,_018200114540,,,,,
_018200250002,,,,,,,,,,,,,u,_018200250002,,,,,
_018200250019,BUD LT 25z CN,22853,22853,,,,a,401 01J 000,Case,15.00,,,u,_018200004681,Master,33.90,0.00,1900-01-01,2075-12-31
_018200250019,,,,,,,,,,,,,u,_018200250019,,,,,
_071990095116,BLUE MOON BEL WHT 6PK 12z LN,50431,50431,,,,a,401 01B 000,Case,24.00,,,u,_071990095116,Master,26.00,0.00,1900-01-01,2075-12-31
_071990095116,,,,,,,,,,,,,u,_087800000737,,,,,
_071990300654,COORS LT 24z CN,65153,65153,,,,a,401 01J 000,Case,12.00,,,u,_071990300654,Master,24.50,0.00,2019-07-02,2075-12-31
_071990300654,,,,,,,,,,,,,u,_071990300661,,,,,
_610764264640,BANG MOCHA COFFEE 16Z,36009380,36009380,,,,a,601 13A 000,Case,12.00,,,u,_610764264640,Master,28.00,0.00,1900-01-01,2075-12-31
_610764264688,BANG COOKIES N CREME 16Z,36014099,36014099,,,,a,601 13A 000,Case,12.00,,,u,_610764264688,Master,28.00,0.00,1900-01-01,2075-12-31
_610764264701,BANG HAZELNUT COFFEE 16Z,36009379,36009379,,,,a,601 13A 000,Case,12.00,,,u,_610764264701,Master,28.00,0.00,1900-01-01,2075-12-31
