ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014397,SPLASH ICE MELT 12LB,1124876,1124876,,,,a,601 31 300,Case,4.00,,,u,_073926136122,Master,20.20,0.00,1900-01-01,2075-12-31
_094327,BROOKSIDE DRK ChOC ACAI BLBRY,1124875,1124875,,,,a,601 04B 000,Box,10.00,,,u,_068437101301,Master,12.02,0.00,1900-01-01,2075-12-31
_094327,,,,,,,,,,,,,u,_068437101318,,,,,
_116145,FOUR BLEND FRUIT CUP,1100291,1100291,,,,a,221 07 100,Case,6.00,,,u,_017278665039,Master,10.22,0.00,1900-01-01,2075-12-31
_116145,,,,,,,,,,,,,u,_053495095044,,,,,
_116145,,,,,,,,,,,,,u,_717524055330,,,,,
_116145,,,,,,,,,,,,,u,_717524778260,,,,,
_129567,M&M PNUT W/MINIS XL TABLET BAR 3.9Z,1123534,1123534,,,,a,601 02 000,Box,12.00,,,u,_040000539681,Master,16.10,0.00,1900-01-01,2075-12-31
_129587,M&M ALM W/MINIS XL TABLET BAR 3.9Z,1123538,1123538,,,,a,601 02 000,Box,12.00,,,u,_040000539742,Master,16.10,0.00,1900-01-01,2075-12-31
_129597,M&M CRISPY W/MINIS XL TABLET BAR 3.8Z,1123537,1123537,,,,a,601 02 000,Box,12.00,,,u,_040000539803,Master,16.10,0.00,1900-01-01,2075-12-31
_129607,M&M MILK W/MINIS XL TABLET BAR 4Z,1123535,1123535,,,,a,601 02 000,Box,12.00,,,u,_040000539551,Master,16.10,0.00,1900-01-01,2075-12-31
_129617,M&M CRISPY MINT W/MINIS TAB BAR 3.8Z,1123543,1123543,,,,a,601 02 000,Box,12.00,,,u,_040000540014,Master,16.10,0.00,1900-01-01,2075-12-31
_138897,LEAP GO CITRUS MTHL 5% DISP,1124910,1124910,,,,a,601 01 710,Each,1.00,,,u,_888861306017,Master,4.02,0.00,1900-01-01,2075-12-31
_138907,LEAP GO FRESH MANGO 5% DISP,38000717,38000717,,,,a,601 01 710,Each,1.00,,,u,_888861306024,Master,4.02,0.00,1900-01-01,2075-12-31
_138927,LEAP GO SMOOTH TOB 5% DISP,1124908,1124908,,,,a,601 01 710,Each,1.00,,,u,_888861306000,Master,4.02,0.00,1900-01-01,2075-12-31
_138937,LEAP GO MIXED BERRY 5% DISP,1124911,1124911,,,,a,601 01 710,Each,1.00,,,u,_888861306048,Master,4.02,0.00,1900-01-01,2075-12-31
_138957,LEAP E-VAPOR KIT,38000716,38000716,,,,a,601 01 710,Each,1.00,,,u,_888861301005,Master,11.02,0.00,1900-01-01,2075-12-31
_138967,LEAP APPLE STRAW 2CT PODS,38000718,38000718,,,,a,601 01 710,Each,1.00,,,u,_888861302002,Master,4.27,0.00,1900-01-01,2075-12-31
_138977,LEAP ISLAND CREAM  2CT PODS,1124836,1124836,,,,a,601 01 710,Each,1.00,,,u,_888861302040,Master,4.27,0.00,1900-01-01,2075-12-31
_138987,LEAP CREAMY MINT 2CT PODS,1124884,1124884,,,,a,601 01 710,Each,1.00,,,u,_888861302057,Master,4.27,0.00,1900-01-01,2075-12-31
_138997,LEAP CAROLINA TOB 2CT PODS,38000715,38000715,,,,a,601 01 710,Each,1.00,,,u,_888861302064,Master,4.27,0.00,1900-01-01,2075-12-31
_139007,LEAP MENTHOL 2CT PODS,1124890,1124890,,,,a,601 01 710,Each,1.00,,,u,_888861302101,Master,4.27,0.00,1900-01-01,2075-12-31
_139017,LEAP ARCTIC BERRY 2CT PODS,38000714,38000714,,,,a,601 01 710,Each,1.00,,,u,_888861302163,Master,4.27,0.00,1900-01-01,2075-12-31
_139027,LEAP WATERMELON KIWI 2CT PODS,38000719,38000719,,,,a,601 01 710,Each,1.00,,,u,_888861302200,Master,4.27,0.00,1900-01-01,2075-12-31
_142794,CHOC CREME PIE SLICE,1051977,1099976,,,*UNAVAILABLE*,a,221 25 103,Case,24.00,,,u,_041458661030,Master,25.39,0.00,1900-01-01,2075-12-31
_142794,,,,,,,,,,,,,u,_414587071412,,,,,
_164347,PLNTRS DRIZ CHOC CSHW 2OZ,38001220,38001220,,,,a,601 04B 000,Box,6.00,,,u,_029000025479,Master,9.56,0.00,1900-01-01,2075-12-31
_164347,,,,,,,,,,,,,u,_029000025509,,,,,
_164397,PLANTERS HOT N SPICY CASHEWS 2.25Z,1124868,1124868,,,,a,601 04B 000,Box,10.00,,,u,_029000025806,Master,13.52,0.00,1900-01-01,2075-12-31
_164397,,,,,,,,,,,,,u,_029000025813,,,,,
