ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_012000171093,FRAPP ALMOND - 13.7OZ VANILLA,36009071,36009071,,,,a,601 11B 000 Flvr Wtr NC Other,Case,12.00,,,u,_012000171093,Master,24.00,0.00,1900-01-01,2075-12-31
_012000181467,SB FRAP TOASTED WHT CHOC 13.7Z,36009075,36009075,,,,a,601 11B 000,Case,12.00,,,u,_012000181467,Master,21.54,0.00,1900-01-01,2075-12-31
_048500008607,TROPICANA ORANGE 15.2z,190318,190318,,,,a,601 12 000,Case,12.00,,,u,_048500008607,Master,12.00,0.00,1900-01-01,2075-12-31
_048500008607,,,,,,,,,,,,,,,Northeast,12.00,0.00,1900-01-01,2075-12-31
_078000113082,SUNKIST 18PK 12Z CN,1051604,1051604,,,,a,901 01 000,Case,36.00,,,u,_078000113082,Master,11.68,0.00,1900-01-01,2075-12-31
_078000113082,,,,,,,,,,,,,,,Northeast,11.68,0.00,1900-01-01,2075-12-31
_12000181443,SB FRAP DARK CHOC 13.7Z,36009072,36009072,,,,a,Default,Case,12.00,,,u,_012000181443,Master,20.50,0.00,1900-01-01,2075-12-31
_12000181443,,,,,,,,,,,,,,,Northeast,20.50,0.00,1900-01-01,2075-12-31
_12000181832,14OZ PL STRBK IL VAN LAT 1/12,1116624,1116624,,,,a,601 11B 000,Case,12.00,,,u,_012000181832,Master,24.00,0.00,1900-01-01,2075-12-31
