ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_012000161476,LIP BRISK WATERMELON LEMONADE 1L,1085986,1085986,,,,a,601 12A 000,Case,15.00,,,u,_012000161476,Master,12.75,0.00,1900-01-01,2075-12-31
_048500008607,TROPICANA ORANGE 15.2z,190318,190318,,,,a,601 12 000,Case,12.00,,,u,_048500008607,Master,12.00,0.00,1900-01-01,2075-12-31
_048500008614,TROPICANA APPLE 15.2z,190324,190324,,,,a,601 12 000,Case,12.00,,,u,_031700008614,Master,12.00,0.00,1900-01-01,2075-12-31
_048500008614,,,,,,,,,,,,,u,_048500008614,,,,,
_052000102475,GATORADE GLACIER CHERRY 20z,1055628,1055628,,,,a,601 13 000,Case,24.00,,,u,_052000102475,Master,25.73,0.00,1900-01-01,2075-12-31
_052000200065,GATORADE GLACIER FREEZE 20z,190863,190863,,,,a,601 13 000,Case,24.00,,,u,_052000200065,Master,25.73,0.00,1900-01-01,2075-12-31
_052000204070,GATORADE G2 ORANGE 20z,175149,175149,,,,a,601 13 000,Case,24.00,,,u,_052000204070,Master,25.73,0.00,1900-01-01,2075-12-31
_052000241211,GATORADE EDGE FRUIT PUNCH 24z,66450,66450,,,,a,601 13 000,Case,24.00,,,u,_052000241211,Master,28.90,0.00,1900-01-01,2075-12-31
_052000241211,,,,,,,,,,,,,u,_052000270778,,,,,
_052000241235,GATORADE EDGE BLUE RASP 24z,66452,66452,,,,a,601 13 000,Case,24.00,,,u,_052000241235,Master,28.90,0.00,1900-01-01,2075-12-31
_078000113082,SUNKIST 18PK 12Z CN,1051604,1051604,,,,a,901 01 000,Case,36.00,,,u,_078000113082,Master,11.68,0.00,1900-01-01,2075-12-31
