ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_1466220,FD CHICKEN TEND ORIG,1124382,1124382,,,,a,206 08 000,Case,2.00,,,,,Master,60.00,0.00,1900-01-01,2075-12-31
_2004242,FD FOOD TRAY PAPER,1124390,1124390,,,,a,206 08 000,Case,500.00,,,,,Master,41.48,0.00,1900-01-01,2075-12-31
_2913497,FD CHICK BREAST BNLS/SKLS,1124383,1124383,,,,a,206 08 000,Case,48.00,,,,,Master,84.93,0.00,1900-01-01,2075-12-31
_3845864,FD TERIYAKI SAUCE GAL,1124387,1124387,,,,a,206 08 000,Case,4.00,,,,,Master,45.32,0.00,1900-01-01,2075-12-31
_6782528,FD PINK WALLEYE 11lb,1124381,1124381,,,,a,206 08 000,Each,1.00,,,,,Master,88.65,0.00,1900-01-01,2075-12-31
_8438244,FD KIDS CUP YELLOW THERMO,1124391,1124391,,,,a,206 08 000,Case,250.00,,,,,Master,0.00,0.00,1900-01-01,2075-12-31
_8590380,FD MM/CHOC CHIP COOKIE DOUGH,1124385,1124385,,,,a,206 08 000,Case,200.00,,,,,Master,55.93,0.00,1900-01-01,2075-12-31
_8590398,FD OATMEAL RAISIN COOKIE DOUGH,1124386,1124386,,,,a,206 08 000,Case,200.00,,,,,Master,51.84,0.00,1900-01-01,2075-12-31
_8666164,FD CHICKEN WING BNLS,1124384,1124384,,,,a,206 08 000,Case,162.00,,,,,Master,38.75,0.00,1900-01-01,2075-12-31
_8763898,FD HONEY MUSTARD GAL,1124388,1124388,,,,a,206 08 000,Case,4.00,,,,,Master,57.89,0.00,1900-01-01,2075-12-31
_9806480,FD LEMON PEPPER,1124389,1124389,,,,a,206 08 000,Each,1.00,,,,,Master,15.47,0.00,1900-01-01,2075-12-31
