ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_016571910303,SPARKLING ICE BLK RASBERRY 17z,1052656,1052656,,,,a,601 11 000,Case,12.00,,,u,_016571910303,Master,9.00,0.00,1900-01-01,2075-12-31
_028000276393,NESQUIK PROTEIN PLUS CHOC 14Z,1085995,1085995,,,,a,601 07 410,Case,12.00,,,u,_028000276393,Master,16.80,0.00,1900-01-01,2075-12-31
_028000515751,NESQUIK STRAW SS,15365,15365,,,,a,601 07 410,Case,12.00,,,u,_028000245702,Master,16.80,0.00,1900-01-01,2075-12-31
_028000515751,,,,,,,,,,,,,u,_028000515751,,,,,
_028000772123,NESQUIK CHOC SS,14886,14886,,,,a,601 07 410,Case,12.00,,,u,_028000246303,Master,16.80,0.00,1900-01-01,2075-12-31
_028000772123,,,,,,,,,,,,,u,_028000772123,,,,,
_028000788582,NESQUIK PROTEIN PLUS BANANA 14Z,1085994,1085994,,,,a,601 07 410,Case,12.00,,,u,_028000788582,Master,16.80,0.00,1900-01-01,2075-12-31
_028000895037,NESQUIK DBL CHOC SS,122196,122196,,,,a,601 07 410,Case,12.00,,,u,_028000504205,Master,16.80,0.00,1900-01-01,2075-12-31
_028000895037,,,,,,,,,,,,,u,_028000504250,,,,,
_028000895037,,,,,,,,,,,,,u,_028000895037,,,,,
_028000896256,NESQUIK VERY VANILLA SS,122198,122198,,,,a,601 07 410,Case,12.00,,,u,_028000504151,Master,16.80,0.00,1900-01-01,2075-12-31
_028000896256,,,,,,,,,,,,,u,_028000896256,,,,,
_033544950333,MODELO CHELADA PICANTE 24z CN,1085681,1085681,,,,a,401 01J 000,Case,12.00,,,u,_033544950333,Master,25.00,0.00,1900-01-01,2075-12-31
_033544950418,CORONA PREMIER 6PK 12z LN,1083425,1083425,,,,a,401 01B 000,Case,24.00,,,u,_033544950418,Master,28.75,0.00,2018-11-04,2075-12-31
_033544950425,CORONA PREMIER 12PK 12z LN,1085684,1085684,,,,a,401 01D 000,Case,24.00,,,u,_033544950425,Master,26.65,0.00,2018-11-04,2075-12-31
_033544950470,CORONA PREMIER 24z CN,1085682,1085682,,,,a,401 01J 000,Case,12.00,,,u,_033544950470,Master,24.50,0.00,2018-11-04,2075-12-31
_033544950517,CORONA FAMILIAR 6PK 12z LN,1083422,1083422,,,,a,401 01B 000,Case,24.00,,,u,_033544850510,Master,28.75,0.00,2018-11-04,2075-12-31
_033544950517,,,,,,,,,,,,,u,_033544950517,,,,,
_033544950531,CORONA FAMILIAR 12PK 12z LN,1084974,1084974,,,,a,401 01D 000,Case,24.00,,,u,_033544950531,Master,26.65,0.00,2018-11-04,2075-12-31
_034100002305,REDDS SSL 16z CN,1077164,1077164,,,,a,401 01J 000,Case,24.00,,,u,_034100002305,Master,27.00,0.00,2018-08-16,2075-12-31
_034100003227,REDDS WICKED ALE 10z CN (SINGLE),1056700,1056700,,,,a,401 01J 000,Case,24.00,,,u,_034100003227,Master,21.25,0.00,1900-01-01,2075-12-31
_034100003234,REDDS WICKED ALE 24z CN,1056698,1056698,,,,a,401 01J 000,Case,12.00,,,u,_034100003234,Master,24.00,0.00,2018-08-16,2075-12-31
_034100003326,REDDS PEACH ALE 16z CN,1054194,1054194,,,,a,401 01J 000,Case,24.00,,,u,_034100003326,Master,27.00,0.00,2018-08-16,2075-12-31
_034100003401,REDDS VARIETY 12PK 12z LN,1065771,1065771,,,,a,401 01D 000,Case,24.00,,,u,_034100003401,Master,26.25,0.00,1900-01-01,2075-12-31
_034100003425,REDDS WICKED ALE 12PK 10z CN,1056699,1056699,,,,a,401 01D 000,Case,24.00,,,u,_034100003425,Master,20.80,0.00,2018-08-16,2075-12-31
_034100003463,REDDS BLUEBERRY 16z CN,1064572,1064572,,,,a,401 01J 000,Case,24.00,,,u,_034100003463,Master,27.00,0.00,2018-08-16,2075-12-31
_0341000034630,REDDS BLUEBERRY 16z CN,91064572,1064572,,,,a,401 01J 000,Case,24.00,,,u,_034100003463,Master,27.00,0.00,2018-08-16,2075-12-31
_034100003494,REDDS WICKED WATERMELON 24z CN,1064562,1064562,,,,a,401 01J 000,Case,12.00,,,u,_034100003494,Master,24.00,0.00,2018-08-16,2075-12-31
_034100003876,REDDS WICKED BLK CHRY 24z CN,1070543,1070543,,,,a,401 01J 000,Case,12.00,,,u,_034100003876,Master,24.00,0.00,2018-08-16,2075-12-31
_034100003937,REDDS WICKED SSL 24z CN,1081294,1081294,,,,a,401 01J 000,Case,12.00,,,u,_034100003937,Master,24.00,0.00,2018-08-16,2075-12-31
_034100007805,REDDS APPLE ALE 16z CN,1052616,1052616,,,,a,401 01J 000,Case,24.00,,,u,_034100007805,Master,27.00,0.00,2018-08-16,2075-12-31
_034100008406,TWO HATS LIME 6PK 16z CN,1086034,1086034,,,,a,401 01B 000,Case,24.00,,,u,_034100008406,Master,12.65,0.00,2018-08-16,2075-12-31
_034100008413,TWO HATS PINEAPPLE 6PK 16z CN,1086045,1086045,,,,a,401 01B 000,Case,24.00,,,u,_034100008413,Master,12.65,0.00,2018-08-16,2075-12-31
_034100008567,REDDS WICKED LEMONADE 24Z CN,1087852,1087852,,,,a,401 01J 000,Case,12.00,,,u,_034100008567,Master,24.00,0.00,2018-08-16,2075-12-31
_034100087166,REDDS APPLE ALE 6PK 12z LN,1052617,1052617,,,,a,401 01B 000,Case,24.00,,,u,_034100087166,Master,27.00,0.00,2018-08-16,2075-12-31
_034100087180,REDDS APPLE ALE 12PK 12z CN,1053782,1053782,,,,a,401 01D 000,Case,24.00,,,u,_034100087180,Master,26.25,0.00,1900-01-01,2075-12-31
_034100087227,REDDS APPLE ALE 12PK 12z LN,1055292,1055292,,,,a,401 01D 000,Case,24.00,,,u,_034100087227,Master,26.25,0.00,1900-01-01,2075-12-31
_034100087302,REDDS PEACH ALE 6PK 12z LN,1054188,1054188,,,,a,401 01B 000,Case,24.00,,,u,_034100087302,Master,27.00,0.00,2018-08-16,2075-12-31
