ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_028000276393,NESQUIK PROTEIN PLUS CHOC 14Z,1085995,1085995,,,,a,601 07 410,Case,12.00,,,u,_028000276393,Master,19.44,0.00,1900-01-01,2075-12-31
_028000515751,NESQUIK STRAW 14z,15365,15365,,,,a,601 07 410,Case,12.00,,,u,_028000245702,Master,16.36,0.00,1900-01-01,2075-12-31
_028000515751,,,,,,,,,,,,,u,_028000515751,,,,,
_028000772123,NESQUIK CHOC 14z,14886,14886,,,,a,601 07 410,Case,12.00,,,u,_028000246303,Master,16.36,0.00,1900-01-01,2075-12-31
_028000772123,,,,,,,,,,,,,u,_028000772123,,,,,
_028000788582,NESQUIK PROTEIN PLUS BANANA 14Z,1085994,1085994,,,,a,601 07 410,Case,12.00,,,u,_028000788582,Master,19.44,0.00,1900-01-01,2075-12-31
_028000895037,NESQUIK DBL CHOC 14z,122196,122196,,,,a,601 07 410,Case,12.00,,,u,_028000504205,Master,16.36,0.00,1900-01-01,2075-12-31
_028000895037,,,,,,,,,,,,,u,_028000504250,,,,,
_028000895037,,,,,,,,,,,,,u,_028000895037,,,,,
_028000895044,NESQUIK BAN/STRAW 14Z,185351,185351,,,,a,601 07 410,Case,12.00,,,u,_028000748586,Master,16.36,0.00,1900-01-01,2075-12-31
_028000895044,,,,,,,,,,,,,u,_028000895044,,,,,
_071644034560,SKI 20z NR,18174,18174,,,,a,901 04 000,Case,24.00,,,u,_071644034560,Master,21.55,0.00,2016-01-11,2075-12-31
_071644034577,SKI INFRA RED CHERRY CITRUS 20z NR,1065536,1065536,,,,a,901 04 000,Case,24.00,,,u,_071644034577,Master,21.55,0.00,2016-01-11,2075-12-31
_071817005014,NESBETTS ORANGE SODA 12z GLS,1065538,1065538,,,,a,901 08 010,Case,24.00,,,u,_071817005014,Master,11.95,0.00,2015-02-05,2075-12-31
_072275100167,ALE 8 ONE 16z CN,1086470,1086470,,,,a,Default,Case,24.00,,,u,_072275100167,Master,15.50,0.00,1900-01-01,2075-12-31
_072275100204,ALE 8 20z NR,64267,64267,,,,a,901 04 000,Case,24.00,,,u,_072275100204,Master,20.60,0.00,2016-01-20,2075-12-31
_072275102024,ALE 8 12z NR GLS,51371,51371,,,,a,901 08 010,Case,24.00,,,u,_072275000221,Master,12.25,0.00,2016-04-04,2075-12-31
_072275102024,,,,,,,,,,,,,u,_072275102024,,,,,
_072275200126,ALE 8 DT 12PK 12z CN,173408,173408,,,,a,901 01 000,Case,24.00,,,u,_072275200126,Master,7.98,0.00,2012-04-17,2075-12-31
_072275200201,ALE 8 DT 20z NR,141491,141491,,,,a,901 04 000,Case,24.00,,,u,_072275200201,Master,21.55,0.00,2016-01-11,2075-12-31
_072275202021,ALE 8 DT 12z NR GLS,139184,139184,,,,a,901 08 010,Case,24.00,,,u,_072275200225,Master,12.25,0.00,2016-04-04,2075-12-31
_072275202021,,,,,,,,,,,,,u,_072275202021,,,,,
