ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_004120510364,BREAKAGE BRD CKS,37003232,37003232,,,,a,Default,Each,1.00,,,u,_004120510364,Master,0.00,0.00,1900-01-01,2075-12-31
_050455121003,ALEJANDROS LRG FLR TRTLLA,37003236,37003236,,,,a,Default,Each,1.00,,,u,_050455121003,Master,2.32,0.00,1900-01-01,2075-12-31
_050455122000,ALEJANDROS MED FLR TRTLLA,37003240,37003240,,,,a,Default,Each,1.00,,,u,_050455122000,Master,2.10,0.00,1900-01-01,2075-12-31
_050455123007,ALEJANDROS FJTA FLR,37003242,37003242,,,,a,Default,Each,1.00,,,u,_050455123007,Master,1.25,0.00,1900-01-01,2075-12-31
_050455124004,ALEJANDROS MED SYBN,37003244,37003244,,,,a,Default,Each,1.00,,,u,_050455124004,Master,1.90,0.00,1900-01-01,2075-12-31
_050455128002,ALEJANDROS CORN TORTILLA,37003246,37003246,,,,a,Default,Each,1.00,,,u,_050455128002,Master,0.94,0.00,1900-01-01,2075-12-31
_050455135000,ALEJANDROS CRN CHPS,37003259,37003259,,,,a,Default,Each,1.00,,,u,_050455135000,Master,2.22,0.00,1900-01-01,2075-12-31
_050455137004,MEXICAN BREAD,37003247,37003247,,,,a,Default,Each,1.00,,,u,_050455137004,Master,1.91,0.00,1900-01-01,2075-12-31
_050455137011,CONCHITOS,37003249,37003249,,,,a,Default,Each,1.00,,,u,_050455137011,Master,1.91,0.00,1900-01-01,2075-12-31
_050455137028,LENOS HEBILLAS ELOTES,37003251,37003251,,,,a,Default,Each,1.00,,,u,_050455137028,Master,1.91,0.00,1900-01-01,2075-12-31
_050455137035,BOLLITOS,37003252,37003252,,,,a,Default,Each,1.00,,,u,_050455137035,Master,1.91,0.00,1900-01-01,2075-12-31
_050455137042,BIROTE BIROTITO VIRGINIA,37003253,37003253,,,,a,Default,Each,1.00,,,u,_050455137042,Master,1.91,0.00,1900-01-01,2075-12-31
_050455137059,GALLETAS,37003255,37003255,,,,a,Default,Each,1.00,,,u,_050455137059,Master,1.91,0.00,1900-01-01,2075-12-31
_050455137066,YOYOS,37003256,37003256,,,,a,Default,Each,1.00,,,u,_050455137066,Master,1.91,0.00,1900-01-01,2075-12-31
_050455137073,PAN DE HUEVO,37003257,37003257,,,,a,Default,Each,1.00,,,u,_050455137073,Master,1.91,0.00,1900-01-01,2075-12-31
_050755137025,MEXICAN BREAD,37003258,37003258,,,,a,Default,Each,1.00,,,u,_050755137025,Master,1.91,0.00,1900-01-01,2075-12-31
