ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_031259008929,YELLOW TAIL CHARDONNAY 750ML,140684,140684,,,,a,401 03A 000,Case,12.00,,,u,_031259008929,Master,67.08,0.00,1900-01-01,2075-12-31
_031259008943,YELLOW TAIL SHIRAZ 750ML,155001,155001,,,,a,401 03A 000,Case,12.00,,,u,_031259008943,Master,67.08,0.00,1900-01-01,2075-12-31
_081308592077,CUPCAKE CHARDONNAY 750ML,1056411,1056411,,,,a,401 03A 000,Case,12.00,,,u,_081308592077,Master,103.56,0.00,2018-12-31,2075-12-31
_081434031174,REX GOLIATH CAB SAV 750ML,1080588,1080588,,,,a,401 03A 000,Case,12.00,,,u,_081434031174,Master,89.88,0.00,2018-01-02,2075-12-31
_08143403123,CUPCAKE RED VELVET 750ML,1081002,1081002,,,,a,401 03A 000,Case,12.00,,,u,_081308001258,Master,103.56,0.00,2018-12-31,2075-12-31
_08143403123,,,,,,,,,,,,,u,_081434031235,,,,,
_081434031235,REX GOLIATH CHARDONNAY 750ML,1080589,1080589,,,,a,401 03A 000,Case,12.00,,,u,_081434031235,Master,89.88,0.00,2018-01-02,2075-12-31
_081434031266,REX GOLIATH MERLOT 750ML,1080590,1080590,,,,a,401 03A 000,Case,12.00,,,u,_081434031266,Master,89.88,0.00,2018-01-02,2075-12-31
_081434700360,REX GOLIATH PINOT GRIGIO 500ML,1056417,1056417,,,,a,401 03A 000,Case,12.00,,,u,_081434700360,Master,86.28,0.00,1900-01-01,2075-12-31
_081584013105,KENDALL JACKSON CHARDONNAY 750ML,57646,57646,,,,a,401 03A 000,Case,12.00,,,u,_081584013105,Master,164.04,0.00,2016-09-05,2075-12-31
_082504278369,DUPLIN WHITE SANGRIA 750ML,1080592,1080592,,,,a,401 03A 000,Case,12.00,,,u,_082504278369,Master,71.88,0.00,2018-10-01,2075-12-31
_082504900185,DUPLIN HATTERAS RED 750ML,1081005,1081005,,,,a,401 03A 000,Case,12.00,,,u,_082504900185,Master,71.88,0.00,2018-10-01,2075-12-31
_082504912348,DUPLIN CAROLINA RED 750ML,1080591,1080591,,,,a,401 03A 000,Case,12.00,,,u,_082504912348,Master,71.88,0.00,2018-10-01,2075-12-31
_085200000203,SUTTER HOME MOSCATO 750ML,184719,184719,,,,a,401 03A 000,Case,12.00,,,u,_085200000203,Master,69.00,0.00,1900-01-01,2075-12-31
_085200000265,SUTTER HOME CHARDONNAY 750ML,21095,21095,,,,a,401 03A 000,Case,12.00,,,u,_085200000265,Master,69.00,0.00,1900-01-01,2075-12-31
_085200000296,SUTTER HOME WHT ZIN 750ML,27767,27767,,,,a,401 03A 000,Case,12.00,,,u,_085200000296,Master,69.00,0.00,1900-01-01,2075-12-31
_085200000555,SUTTER HOME CAB SAUV 1.5L,56943,56943,,,,a,401 03A 000,Case,6.00,,,u,_085200000555,Master,59.94,0.00,1900-01-01,2075-12-31
_085200000562,SUTTER HOME CHARD 1.5ML,85544,85544,,,,a,401 03A 000,Case,6.00,,,u,_085200000562,Master,59.94,0.00,1900-01-01,2075-12-31
_085200000968,SUTTER HOME PINK MOSCATO 750ML,1067808,1067808,,,,a,401 03A 000,Case,12.00,,,u,_085200000968,Master,69.00,0.00,1900-01-01,2075-12-31
_088232003167,VENDANGE CHARDONANY 500ML,161081,161081,,,,a,401 03A 000,Each,1.00,,,u,_088232003167,Master,4.31,0.00,2018-10-01,2075-12-31
_088232003181,VENDANGE PINOT GRIGIO 500ML,161082,161082,,,,a,401 03A 000,Each,1.00,,,u,_088232003181,Master,4.31,0.00,2018-10-01,2075-12-31
_088586603846,CHAT STE MICHELLE CHARD 750ML,184643,184643,,,,a,401 03A 000,Case,12.00,,,u,_088586603846,Master,146.76,0.00,1900-01-01,2075-12-31
_088586621840,CHAT STE MICHELLE RIESLG 750ML,184642,184642,,,,a,401 03A 000,Case,12.00,,,u,_088586621840,Master,138.12,0.00,1900-01-01,2075-12-31
_857744001318,JOSH CELLARS CAB SAV 750ML,1080593,1080593,,,,a,401 03A 000,Case,12.00,,,u,_857744001318,Master,164.04,0.00,1900-01-01,2075-12-31
_857744001318,,,,,,,,,,,,,u,_857744400135,,,,,
