ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014974500091,WOODCHUCK AMBER 6PK 12z LN,56418,56418,,,,a,401 05B 000,Case,24.00,,,u,_014974500022,Master,30.00,0.00,2017-05-01,2075-12-31
_014974500091,,,,,,,,,,,,,u,_014974500053,,,,,
_014974500091,,,,,,,,,,,,,u,_014974500091,,,,,
_022100000049,PABST 24z CN,154543,154543,,,,a,401 01J 000,Case,12.00,,,u,_022100000049,Master,15.30,0.00,2018-10-01,2075-12-31
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,
_022100000742,PABST 6PK 16z CN,18781,18781,,,,a,401 01B 000,Case,24.00,,,u,_022100000742,Master,17.50,0.00,2017-03-01,2075-12-31
_022100000742,,,,,,,,,,,,,u,_022100001732,,,,,
_022100001572,PABST 18PK 12z CN,1051644,1051644,,,,a,401 01F 000,Case,18.00,,,u,_022100001572,Master,9.90,0.00,2017-02-01,2075-12-31
_022100001701,PABST 12PK 12z CN,13504,13504,,,,a,401 01D 000,Case,24.00,,,u,_022100001701,Master,14.70,0.00,2017-08-09,2075-12-31
_022100002883,PABST 12PK 12z LN,34097,34097,,,,a,401 01D 000,Case,24.00,,,u,_022100002883,Master,14.70,0.00,2015-06-29,2075-12-31
_022100002883,,,,,,,,,,,,,u,_022100006218,,,,,
_022100004078,PABST APA 6PK 16Z CN,1088245,1088245,,,,a,401 01B 000,Case,24.00,,,u,_022100004030,Master,30.70,0.00,1900-01-01,2075-12-31
_022100004078,,,,,,,,,,,,,u,_022100004078,,,,,
_022100112193,PABST 30PK 12z CN,119178,119178,,,,a,401 01I 000,Case,30.00,,,u,_022100112193,Master,17.50,0.00,2016-08-09,2075-12-31
_030613000531,BROOKLYN SSL 6PK 12z LN,1065747,1065747,,,,a,401 01B 000,Case,24.00,,,u,_030613000531,Master,30.00,0.00,1900-01-01,2075-12-31
_030613000586,BROOKLYN SUMMER ALE 6PK 12z LN,1083580,1083580,,,,a,401 01B 000,Case,24.00,,,u,_030613000586,Master,27.00,0.00,1900-01-01,2075-12-31
_033544950029,CORONA EXTRA 18PK 12z CN,1065149,1065149,,,,a,401 01F 000,Case,18.00,,,u,_033544950029,Master,18.40,0.00,2017-08-09,2075-12-31
_033544950418,CORONA PREMIER 6PK 12z LN,1083425,1083425,,,,a,401 01B 000,Case,24.00,,,u,_033544950418,Master,30.00,0.00,1900-01-01,2075-12-31
_033544950425,CORONA PREMIER 12PK 12z LN,1085684,1085684,,,,a,401 01D 000,Case,24.00,,,u,_033544950425,Master,24.50,0.00,1900-01-01,2075-12-31
_033544950470,CORONA PREMIER 24z CN,1085682,1085682,,,,a,401 01J 000,Case,12.00,,,u,_033544950470,Master,24.40,0.00,2018-10-01,2075-12-31
_033544950517,CORONA FAMILIAR 6PK 12z LN,1083422,1083422,,,,a,401 01B 000,Case,24.00,,,u,_033544850510,Master,30.00,0.00,1900-01-01,2075-12-31
_033544950517,,,,,,,,,,,,,u,_033544950517,,,,,
_033544950531,CORONA FAMILIAR 12PK 12z LN,1084974,1084974,,,,a,401 01D 000,Case,24.00,,,u,_033544950531,Master,24.50,0.00,1900-01-01,2075-12-31
_033544950906,MODELO 32Z LN,1097751,1097751,,,,a,401 01J 000,Case,12.00,,,u,_033544950906,Master,31.50,0.00,1900-01-01,2075-12-31
_033544950906,,,,,,,,,,,,,u,_335449509068,,,,,
_034100000073,MILLER HL 6PK 16z CN,13482,13482,,,,a,401 01B 000,Case,24.00,,,u,_034100000073,Master,17.58,0.00,1900-01-01,2075-12-31
