ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014800004946,CLAMATO PET 12z,1087649,1087649,,,,a,601 12A 000,Case,24.00,,,u,_014800004946,Master,11.75,0.00,1900-01-01,2075-12-31
_014800004946,,,,,,,,,,,,,u,_014800004960,,,,,
_014800511758,CLAMATO REGULAR GLASS 16OZ,32006584,32006584,,,,a,601 12A 000,Case,12.00,,,u,_014800511758,Master,16.00,0.00,2018-10-12,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17z,1064891,1064891,,,,a,601 11 000,Case,12.00,,,u,_016571950842,Master,9.00,0.00,1900-01-01,2075-12-31
_072350000115,YOO-HOO FF CHOCOLATE 15.5Z,15188,15188,,,,a,601 11B 000,Case,24.00,,,u,_072350000115,Master,21.99,0.00,2018-10-12,2075-12-31
_076183003107,SNAPPLE KIWI STRW COCKTAIL 16z,14928,14928,,,,a,601 12A 000,Case,12.00,,,u,_076183003107,Master,12.00,0.00,2018-10-12,2075-12-31
_076183003114,SNAPPLE PEACH ICE TEA 16z,15599,15599,,,,a,601 14 000,Case,12.00,,,u,_076183003114,Master,12.00,0.00,2018-10-12,2075-12-31
_076183003121,SNAPPLE MANGO MADNESS 16z,1055756,1055756,,,,a,601 12A 000,Case,12.00,,,u,_076183003121,Master,12.00,0.00,2018-10-12,2075-12-31
_076183003145,SNAPPLE DT PEACH ICE TEA 16z,21986,21986,,,,a,Default,Case,12.00,,,u,_076183003145,Master,10.80,0.00,1900-01-01,2075-12-31
_076183003145,,,,,,,,,,,,,u,_076183163573,,,,,
_076183003282,SNAPPLE APPLE 16z,1052583,1052583,,,,a,601 12A 000,Case,12.00,,,u,_076183003282,Master,12.00,0.00,2018-10-12,2075-12-31
_076183003305,SNAPPLE MANGO 16z,1082430,1082430,,,,a,601 14 000,Case,12.00,,,u,_076183003305,Master,12.00,0.00,2018-10-12,2075-12-31
_076183163573,SNAPPLE DT PEACH ICE TEA 16z,x1-21986,21986,,,,a,601 14 000,Case,12.00,,,u,_076183003145,Master,10.80,0.00,1900-01-01,2075-12-31
_076183163573,,,,,,,,,,,,,u,_076183163573,,,,,
_076183323564,SNAPPLE PEACH TEA 32z,1052589,1052589,,,,a,601 14 000,Case,12.00,,,u,_076183235645,Master,14.20,0.00,1900-01-01,2075-12-31
_076183323564,,,,,,,,,,,,,u,_076183323564,,,,,
_078000000344,7UP 2L,13974,13974,,,,a,901 03 000,Case,8.00,,,u,_078000000344,Master,12.60,0.00,2018-10-12,2075-12-31
_078000000757,7UP DT 2L,13977,13977,,,,a,901 03 000,Case,8.00,,,u,_078000000757,Master,12.60,0.00,2018-10-12,2075-12-31
_078000001495,7UP DT 12PK 12z CN,166374,166374,,,,a,901 01 000,Case,24.00,,,u,_078000001495,Master,8.40,0.00,1900-01-01,2075-12-31
_078000001495,,,,,,,,,,,,,u,_078000011685,,,,,
_078000001495,,,,,,,,,,,,,u,_078000011814,,,,,
_078000001617,7UP 20z NR,13932,13932,,,,a,901 04 000,Case,24.00,,,u,_078000001617,Master,23.00,0.00,2018-10-12,2075-12-31
_078000001624,7UP DT 20z NR,21106,21106,,,,a,901 04 000,Case,24.00,,,u,_078000001624,Master,23.00,0.00,2018-10-12,2075-12-31
_078000004083,HAW PCH 2L,13910,13910,,,,a,901 03A 000,Case,8.00,,,u,_078000004083,Master,12.60,0.00,2018-10-12,2075-12-31
_078000005448,7UP CHRY ANTIOXIDNTS 2L,13975,13975,,,,a,901 03 000,Case,8.00,,,u,_078000005318,Master,11.81,0.00,1900-01-01,2075-12-31
_078000005448,,,,,,,,,,,,,u,_078000005448,,,,,
_078000005868,DR PEP 16z CN,1057177,1057177,,,,a,901 02 000,Case,24.00,,,u,_078000005868,Master,14.35,0.00,1900-01-01,2075-12-31
_078000005868,,,,,,,,,,,,,u,_078000082258,,,,,
_078000011807,7UP 12PK 12z CN,166367,166367,,,,a,901 01 000,Case,24.00,,,u,_078000011807,Master,8.95,0.00,2018-10-12,2075-12-31
_078000013283,CRUSH ORNG 20z NR,17578,17578,,,,a,901 04 000,Case,24.00,,,u,_041710217982,Master,17.00,0.00,1900-01-01,2075-12-31
_078000013283,,,,,,,,,,,,,u,_041710800016,,,,,
_078000013283,,,,,,,,,,,,,u,_041710891267,,,,,
_078000013283,,,,,,,,,,,,,u,_078000013283,,,,,
_078000013450,CRUSH GRP 12PK 12z CN,166484,166484,,,,a,901 01 000,Case,24.00,,,u,_041710123429,Master,8.40,0.00,1900-01-01,2075-12-31
_078000013450,,,,,,,,,,,,,u,_041710123504,,,,,
_078000013450,,,,,,,,,,,,,u,_078000013443,,,,,
_078000013450,,,,,,,,,,,,,u,_078000013450,,,,,
_078000013627,CRUSH STR 12PK 12z CN,166483,166483,,,,a,901 01 000,Case,24.00,,,u,_041710133428,Master,9.25,0.00,1900-01-01,2075-12-31
_078000013627,,,,,,,,,,,,,u,_041710133503,,,,,
_078000013627,,,,,,,,,,,,,u,_078000013610,,,,,
_078000013627,,,,,,,,,,,,,u,_078000013627,,,,,
_078000016406,SQUIRT 20z NR,13964,13964,,,,a,901 04 000,Case,24.00,,,u,_078000016406,Master,23.00,0.00,2018-10-12,2075-12-31
_078000016468,SQUIRT 2L,14000,14000,,,,a,901 03 000,Case,8.00,,,u,_078000016468,Master,12.60,0.00,2018-10-12,2075-12-31
_078000020366,TAHIT TRT FRT PCH 2L,17844,17844,,,,a,901 03 000,Case,8.00,,,u,_016900005014,Master,11.81,0.00,1900-01-01,2075-12-31
_078000020366,,,,,,,,,,,,,u,_016900016225,,,,,
_078000020366,,,,,,,,,,,,,u,_078000020366,,,,,
_078000020403,TAHIT TRT FRT PCH 20z NR,17550,17550,,,,a,901 04 000,Case,24.00,,,u,_078000020403,Master,23.00,0.00,2018-10-12,2075-12-31
_078000030242,CANADA DRY GINGER ALE LEMONADE 20Z,1086127,1086127,,,,a,901 04 000,Case,24.00,,,u,_078000030242,Master,23.00,0.00,2018-10-12,2075-12-31
_078000052169,A&W ROOT BR 12PK 12z CN,166377,166377,,,,a,901 01 000,Case,24.00,,,u,_070202101034,Master,8.95,0.00,2018-10-12,2075-12-31
_078000052169,,,,,,,,,,,,,u,_078000052060,,,,,
_078000052169,,,,,,,,,,,,,u,_078000052169,,,,,
_078000052404,A&W ROOT BR 20z NR,15543,15543,,,,a,901 04 000,Case,24.00,,,u,_078000052404,Master,23.00,0.00,2018-10-12,2075-12-31
_078000052466,A&W ROOT BR 2L,14119,14119,,,,a,901 03 000,Case,8.00,,,u,_078000052466,Master,12.60,0.00,2018-10-12,2075-12-31
