ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_034100000073,MILLER HL 6PK 16Z CN,13482,13482,,,,a,401 01B 000,Case,24.00,,,u,_034100000073,Master,17.55,0.00,1900-01-01,2075-12-31
_034100000301,MILLER LT 6PK 12Z LN,43591,43591,,,,a,401 01B 000,Case,24.00,,,u,_034100000301,Master,18.65,0.00,1900-01-01,2075-12-31
_034100001629,MILW BEST ICE 4PK 16Z CN,168823,168823,,,,a,401 01A 000,Case,24.00,,,u,_034100001629,Master,13.45,0.00,1900-01-01,2075-12-31
_034100003555,MILLER LT 24Z CN,38387,38387,,,,a,401 01J 000,Case,12.00,,,u,_034100003555,Master,16.70,0.00,1900-01-01,2075-12-31
_034100003579,MILLER LT 6PK 16z CN,13487,13487,,,,a,401 01B 000,Case,24.00,,,u,_034100003579,Master,20.80,0.00,1900-01-01,2075-12-31
_034100003760,MILLER LT 16z ALUM (LOOSE),183796,183796,,,,a,401 01J 000,Case,18.00,,,u,_034100003760,Master,17.60,0.00,1900-01-01,2075-12-31
_034100008208,MILW BEST ICE 24Z CN,123991,123991,,,,a,401 01J 000,Case,12.00,,,u,_034100008208,Master,12.50,0.00,1900-01-01,2075-12-31
_034100013400,MILLER HL 18PK 12Z CN,41418,41418,,,,a,401 01F 000,Case,18.00,,,u,_034100013400,Master,10.15,0.00,1900-01-01,2075-12-31
_034100013462,MILLER HL 24Z CN,89317,89317,,,,a,401 01J 000,Case,12.00,,,u,_034100013462,Master,16.70,0.00,1900-01-01,2075-12-31
_034100016364,MILLER HL 12PK 12Z CN,13481,13481,,,,a,401 01D 000,Case,24.00,,,u,_034100016029,Master,13.90,0.00,1900-01-01,2075-12-31
_034100016364,,,,,,,,,,,,,u,_034100016364,,,,,
_034100076023,MILW BEST LT 12PK 12Z CN,13521,13521,,,,a,401 01D 000,Case,24.00,,,u,_034100076023,Master,11.00,0.00,1900-01-01,2075-12-31
_034100153403,MILLER 64 18PK 12z CN,82123,82123,,,,a,401 01F 000,Case,18.00,,,u,_034100153403,Master,12.00,0.00,1900-01-01,2075-12-31
_034100175054,MILLER GD 6PK 12Z LN,13472,13472,,,,a,401 01B 000,Case,24.00,,,u,_034100175054,Master,18.65,0.00,1900-01-01,2075-12-31
_034100175092,MILLER GD 12PK 12Z LN,75052,75052,,,,a,401 01D 000,Case,24.00,,,u,_034100175092,Master,17.70,0.00,1900-01-01,2075-12-31
_034100306021,MILW BEST ICE 12PK 12Z CN,46007,46007,,,,a,401 01D 000,Case,24.00,,,u,_034100306021,Master,11.00,0.00,1900-01-01,2075-12-31
_034100316020,MILW BEST 12PK 12Z CN,13518,13518,,,,a,401 01D 000,Case,24.00,,,u,_034100316020,Master,11.00,0.00,1900-01-01,2075-12-31
_034100485054,LEINENK HONY WEISS 6PK 12Z LN,50464,50464,,,,a,401 01B 000,Case,24.00,,,u,_034100485054,Master,26.40,0.00,1900-01-01,2075-12-31
_034100506025,LEINENK PREM 12PK 12Z CN,58705,58705,,,,a,401 01D 000,Case,24.00,,,u,_034100506025,Master,13.90,0.00,1900-01-01,2075-12-31
_034100516055,LEINENK SSL SHANDY 6PK 12Z LN,1052645,1052645,,,,a,401 01B 000,Case,24.00,,,u,_034100516055,Master,26.40,0.00,1900-01-01,2075-12-31
_034100516451,LEINENK SSL SHANDY 24Z CN,1086031,1086031,,,,a,401 01J 000,Case,12.00,,,u,_034100516451,Master,21.70,0.00,1900-01-01,2075-12-31
_034100570231,MILLER LT 9PK 16z ALUM,178825,178825,,,,a,Default,Case,18.00,,,u,_034100570224,Master,17.60,0.00,1900-01-01,2075-12-31
_034100570231,,,,,,,,,,,,,u,_034100570231,,,,,
_034100572174,MILLER LT 20PK 12Z LN,159444,159444,,,,a,401 01G 000,Case,20.00,,,u,_034100572174,Master,14.55,0.00,1900-01-01,2075-12-31
_034100572563,MILLER LT 18PK 12Z LN,75124,75124,,,,a,401 01F 000,Case,18.00,,,u,_034100572563,Master,12.85,0.00,1900-01-01,2075-12-31
_034100573065,MILLER LT 24PK 12Z CN (STCS),21333,21333,,,,a,401 01H 000,Case,24.00,,,u,_034100573065,Master,16.85,0.00,1900-01-01,2075-12-31
_034100573409,MILLER LT 18PK 12z CN,39611,39611,,,,a,401 01F 000,Case,18.00,,,u,_034100573409,Master,12.00,0.00,1900-01-01,2075-12-31
_034100575090,MILLER LT 12PK 12Z LN,75051,75051,,,,a,401 01D 000,Case,24.00,,,u,_034100575090,Master,17.70,0.00,1900-01-01,2075-12-31
_034100576363,MILLER LT 12PK 12z CN,13485,13485,,,,a,401 01D 000,Case,24.00,,,u,_034100576028,Master,17.70,0.00,1900-01-01,2075-12-31
_034100576363,,,,,,,,,,,,,u,_034100576363,,,,,
_034100588052,LEINENK HERITAGE SSL 6PK 12Z LN,1051048,1051048,,,,a,401 01B 000,Case,24.00,,,u,_034100588052,Master,26.40,0.00,1900-01-01,2075-12-31
_034100786588,LEINENK GRAPEFRUIT SHANDY 6PK 12Z LN,1065383,1065383,,,,a,401 01B 000,Case,24.00,,,u,_034100786588,Master,26.40,0.00,1900-01-01,2075-12-31
_034100807412,HAMMS 30PK 12Z CN,1051889,1051889,,,,a,401 01I 000,Case,30.00,,,u,_034100807412,Master,10.10,0.00,1900-01-01,2075-12-31
_070897013315,FOSTERS 25.4Z CN,15254,15254,,,,a,401 01J 000,Case,12.00,,,u,_070897013315,Master,19.20,0.00,1900-01-01,2075-12-31
_078250003287,STEEL RESERVE 24Z CN,93560,93560,,,,a,401 01J 000,Case,12.00,,,u,_078250003287,Master,13.55,0.00,1900-01-01,2075-12-31
_078250003287,,,,,,,,,,,,,u,_078250003294,,,,,
_078250004598,SPARKS 16Z CN LSE,177900,177900,,,,a,401 01J 000,Case,24.00,,,u,_078250004598,Master,16.60,0.00,1900-01-01,2075-12-31
_078250004611,SPARKS ICED TEA 16Z CN LSE,177902,177902,,,,a,401 01J 000,Case,24.00,,,u,_078250004611,Master,16.60,0.00,1900-01-01,2075-12-31
