ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_018341151053,BAREFOOT CHARDONNAY 1.5L,1068747,1068747,,,,a,401 03A 000,Case,6.00,,,u,_018341151053,Master,58.44,0.00,1900-01-01,2075-12-31
_018341151060,BAREFOOT WHT ZIN 1.5L,1086317,1086317,,,,a,401 03A 000,Case,6.00,,,u,_018341151060,Master,58.44,0.00,2017-12-20,2075-12-31
_018341751017,BAREFOOT CAB SAUV 750ML,1054649,1054649,,,,a,401 03A 000,Each,1.00,,,u,_018341751017,Master,5.99,0.00,2016-11-15,2075-12-31
_018341751024,BAREFOOT SAUV BLANC 750ML,1068748,1068748,,,,a,401 03A 000,Case,12.00,,,u,_018341751024,Master,71.88,0.00,1900-01-01,2075-12-31
_018341751055,BAREFOOT CHARDONNAY 750ML,166165,166165,,,,a,401 03A 000,Case,12.00,,,u,_018341751055,Master,71.88,0.00,1900-01-01,2075-12-31
_018341751062,BAREFOOT WHT ZIN 750ML,166167,166167,,,,a,401 03A 000,Each,1.00,,,u,_018341751062,Master,5.99,0.00,2016-11-15,2075-12-31
_018341751109,BAREFOOT MERLOT 750ML,1056421,1056421,,,,a,401 03A 000,Each,1.00,,,u,_018341751109,Master,5.99,0.00,2016-11-15,2075-12-31
_018341751130,BAREFOOT SHIRAZ 750ML,1068749,1068749,,,,a,401 03A 000,Case,12.00,,,u,_018341751130,Master,71.88,0.00,1900-01-01,2075-12-31
_085000007488,ANDRE EXTRA DRY 750ML,1061942,1061942,,,,a,401 03A 000,Each,1.00,,,u,_085000007488,Master,6.99,0.00,2018-12-31,2075-12-31
_085000008430,ECCO DOMANI PINOT GRIGIO 750ML,71886,71886,,,,a,401 03A 000,Each,1.00,,,u,_085000008430,Master,12.99,0.00,2016-11-15,2075-12-31
_085000011287,LIBERTY CREEK MERLOT 1.5L,1061929,1061929,,,,a,401 03A 000,Case,6.00,,,u,_085000011287,Master,51.66,0.00,2016-05-30,2075-12-31
