ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_127467,TACKLE & BAIT      (open),127467,127467,,,,a,601 34 016,Each,1.00,,,,,Master,0.02,0.00,1900-01-01,2075-12-31
_127987,BAIT- LIVE (Bulk) sold Bait- Live open key,127987,127987,,,,a,201 07 001,Each,1.00,,,,,Master,0.02,0.00,1900-01-01,2075-12-31
_8863310012,NIGHT CRAWLERS,130193,130193,,,,a,601 34 016,Each,1.00,,,,,Master,1.15,0.00,1900-01-01,2075-12-31
_8863310018,LEECHES,177915,177915,,,,a,601 34 016,Each,1.00,,,,,Master,2.74,0.00,1900-01-01,2075-12-31
_8863310024,24 CRAWLERS,140529,140529,,,,a,601 34 016,Each,1.00,,,,,Master,3.90,0.00,2014-08-26,2075-12-31
_8863320018,18 DILLY WORMS,140097,140097,,,,a,601 34 000,Each,1.00,,,,,Master,2.35,0.00,2017-03-31,2075-12-31
_8863330030,LEAF WORMS,130194,130194,,,,a,601 34 016,Each,1.00,,,,,Master,2.25,0.00,2014-08-26,2075-12-31
_8863371000,LIVE WORM MOUSE,158107,158107,,,,a,601 34 016,Each,1.00,,,,,Master,1.40,0.00,1900-01-01,2075-12-31
_9184152,BAIT & TACKLE OPEN RECV,184152,184152,,,,a,601 34 016,Each,1.00,,,,,Master,0.00,0.00,1900-01-01,2075-12-31
