ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_02080,AWREYS CINNAMON SWIRL,56238,56238,,,,a,601 05 000,Each,1.00,,,,,Master,0.70,0.00,1900-01-01,2075-12-31
_159603,ROSAS FUDGE,159603,159603,,,,a,601 05 000,Each,1.00,,,,,Master,0.50,0.00,1900-01-01,2075-12-31
_2952301002,BKR CHOIC PNT BTR CKY,174905,174905,,,,a,231 01 000,Each,1.00,,,,,Master,0.65,0.00,1900-01-01,2075-12-31
_2952301003,BKR CHOIC CHNKY OATML RAIS CKY,161506,161506,,,,a,231 01 000,Each,1.00,,,,,Master,0.65,0.00,2007-09-25,2075-12-31
_2952301004,BKR CHOIC CHC CHP CKY,174904,174904,,,,a,231 01 000,Each,1.00,,,,,Master,0.65,0.00,1900-01-01,2075-12-31
_2952302000,BKR CHOIC BAN 1# CKE,81098,81098,,,,a,601 05 000,Each,1.00,,,,,Master,0.70,0.00,1900-01-01,2075-12-31
_2952302001,BKR CHOIC BAN CKE w/ BTRCRM,159772,159772,,,,a,231 01 000,Each,1.00,,,,,Master,1.05,0.00,1900-01-01,2075-12-31
_2952302002,BKR CHOIC CARRT CKE w/CRM CHSE,159771,159771,,,,a,231 01 000,Each,1.00,,,,,Master,1.05,0.00,1900-01-01,2075-12-31
_2952302003,BKR CHOIC PND CKE,81097,81097,,,,a,601 05 000,Each,1.00,,,,,Master,0.75,0.00,1900-01-01,2075-12-31
_2952302109,BKR CHOIC APL CINN STREUSL CKE,159606,159606,,,,a,231 01 000,Each,1.00,,,,,Master,1.05,0.00,1900-01-01,2075-12-31
_2952302110,BKR CHOIC STRBRY STREUSL CKE,159608,159608,,,,a,231 01 000,Each,1.00,,,,,Master,1.05,0.00,1900-01-01,2075-12-31
_2952302199,BKR CHOIC BROWNIE SUPREME,159770,159770,,,,a,231 01 000,Each,1.00,,,,,Master,1.05,0.00,1900-01-01,2075-12-31
_2952304001,BKR CHOIC MRBL PND CKE SLICE,159597,159597,,,,a,231 01 000,Each,1.00,,,,,Master,0.90,0.00,1900-01-01,2075-12-31
_2952304003,BKR CHOIC LEMN PND CKE SLICE,159598,159598,,,,a,231 01 000,Each,1.00,,,,,Master,0.90,0.00,1900-01-01,2075-12-31
_2952304004,BKR CHOIC ORIG PND CKE SLICE,159595,159595,,,,a,231 01 000,Each,1.00,,,,,Master,0.90,0.00,1900-01-01,2075-12-31
_295232107,BKR CHOIC RSPBRY STREUSL CKE,159605,159605,,,,a,231 01 000,Each,1.00,,,,,Master,1.05,0.00,1900-01-01,2075-12-31
_30299,SMOM BANANAS,30299,30299,,,*INACTIVE*,a,201 05 000,Each,1.00,,,,,Master,0.10,0.00,1900-01-01,2075-12-31
_3498600199,TAFFY APPLE PLAIN,146937,146937,,,,a,201 05 000,Each,1.00,,,,,Master,0.63,0.00,2003-10-07,2075-12-31
_3791460308,CHEESE DANISH,159600,159600,,,,a,231 01 000,Each,1.00,,,,,Master,0.90,0.00,1900-01-01,2075-12-31
_3791462115,i/aNEW ORLEANS BANANA NUT MUFFIN,159610,159610,,,,a,231 01 000,Each,1.00,,,,,Master,1.05,0.00,1900-01-01,2075-12-31
_3791462120,i/aNEW ORLEANS BLUEBERRY MUFFIN,159609,159609,,,,a,231 01 000,Each,1.00,,,,,Master,1.05,0.00,1900-01-01,2075-12-31
_3791462150,i/aNEW ORLNS CREAM CHEESE MUFFIN,159611,159611,,,,a,231 01 000,Each,1.00,,,,,Master,1.05,0.00,1900-01-01,2075-12-31
_3791462151,i/aNEW ORLEANS DOUBLE CHOC MUFFIN,159773,159773,,,,a,231 01 000,Each,1.00,,,,,Master,1.05,0.00,1900-01-01,2075-12-31
_42711,SMOM APPLE,42711,42711,,,*INACTIVE*,a,201 05 000,Each,1.00,,,,,Master,0.10,0.00,1900-01-01,2075-12-31
_5931389104,BLUEBERRY MUFFINS,118401,118401,,,,a,601 05 000,Each,1.00,,,,,Master,0.75,0.00,1900-01-01,2075-12-31
_5931389204,BANANA NUT MUFFINS TWIN PK,114245,114245,,,,a,601 05 000,Each,1.00,,,,,Master,0.74,0.00,1900-01-01,2075-12-31
_7972902440,AWREYS CHEESE DANISH,65729,65729,,,,a,601 05 000,Each,1.00,,,,,Master,0.70,0.00,1900-01-01,2075-12-31
_826461720,CLVRHIL PWRD MINI DNTS,174900,174900,,,,a,231 01 000,Each,1.00,,,,,Master,0.39,0.00,1900-01-01,2075-12-31
_84678,ORANGES,84678,84678,,,*INACTIVE*,a,201 05 000,Each,1.00,,,,,Master,0.10,0.00,1900-01-01,2075-12-31
_8526404370,CLVRHIL BIG TX CINN 4z,174879,174879,,,,a,231 06 002,Each,1.00,,,,,Master,0.39,0.00,1900-01-01,2075-12-31
_8526422000,i/aCLVRHIL APPLE DANISH 4z,174877,174877,,,*UNAVAILABLE*,a,231 06 002,Each,1.00,,,,,Master,0.39,0.00,1900-01-01,2075-12-31
_8526422160,CLVRHIL CHEESE DANISH 4z,174878,174878,,,,a,231 01 000,Each,1.00,,,,,Master,0.39,0.00,1900-01-01,2075-12-31
_8526427222,CLVRHIL STRBRY CHSE CLAW 4.25z,174883,174883,,,,a,231 01 000,Each,1.00,,,,,Master,0.39,0.00,1900-01-01,2075-12-31
