ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014974500091,WOODCHUCK AMBER 6PK 12z LN,56418,56418,,,,a,401 05B 000,Case,24.00,,,u,_014974500022,Master,30.00,0.00,2016-02-01,2075-12-31
_014974500091,,,,,,,,,,,,,u,_014974500053,,,,,
_014974500091,,,,,,,,,,,,,u,_014974500091,,,,,
_022100000049,PABST 24z CN,154543,154543,,,,a,401 01J 000,Case,12.00,,,u,_022100000049,Master,15.30,0.00,2018-10-01,2075-12-31
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,
_022100000742,PABST 6PK 16z CN,18781,18781,,,,a,401 01B 000,Case,24.00,,,u,_022100000742,Master,17.50,0.00,2017-02-27,2075-12-31
_022100000742,,,,,,,,,,,,,u,_022100001732,,,,,
_022100001572,PABST 18PK 12z CN,1051644,1051644,,,,a,401 01F 000,Case,18.00,,,u,_022100001572,Master,9.09,0.00,2017-01-02,2075-12-31
_022100001701,PABST 12PK 12z CN,13504,13504,,,,a,401 01D 000,Case,24.00,,,u,_022100001701,Master,15.35,0.00,2015-10-01,2075-12-31
_022100004078,PABST APA 6PK 16Z CN,1088245,1088245,,,,a,401 01B 000,Case,24.00,,,u,_022100004030,Master,30.70,0.00,1900-01-01,2075-12-31
_022100004078,,,,,,,,,,,,,u,_022100004078,,,,,
_033544950418,CORONA PREMIER 6PK 12z LN,1083425,1083425,,,,a,401 01B 000,Case,24.00,,,u,_033544950418,Master,30.00,0.00,1900-01-01,2075-12-31
_033544950470,CORONA PREMIER 24z CN,1085682,1085682,,,,a,401 01J 000,Case,12.00,,,u,_033544950470,Master,24.40,0.00,1900-01-01,2075-12-31
_033544950531,CORONA FAMILIAR 12PK 12z LN,1084974,1084974,,,,a,401 01D 000,Case,24.00,,,u,_033544950531,Master,24.50,0.00,1900-01-01,2075-12-31
_033544950906,MODELO 32Z LN,1097751,1097751,,,,a,401 01J 000,Case,12.00,,,u,_033544950906,Master,31.50,0.00,1900-01-01,2075-12-31
_033544950906,,,,,,,,,,,,,u,_335449509068,,,,,
_034100000455,OLD ENGLISH HG 40z LN,1076331,1076331,,,,a,401 01J 000,Case,12.00,,,u,_034100000455,Master,25.25,0.00,2015-09-23,2075-12-31
_034100002305,REDDS SSL 16z CN,1077164,1077164,,,,a,401 01J 000,Case,24.00,,,u,_034100002305,Master,27.00,0.00,2017-08-09,2075-12-31
_034100003234,REDDS WICKED ALE 24z CN,1056698,1056698,,,,a,401 01J 000,Case,12.00,,,u,_034100003234,Master,23.60,0.00,2017-10-02,2075-12-31
_034100003463,REDDS BLUEBERRY 16z CN,1064572,1064572,,,,a,401 01J 000,Case,24.00,,,u,_034100003463,Master,27.00,0.00,2017-01-02,2075-12-31
_034100003494,REDDS WICKED WATERMELON 24z CN,1064562,1064562,,,,a,401 01J 000,Case,12.00,,,u,_034100003494,Master,23.60,0.00,2017-10-02,2075-12-31
_034100003548,MILLER LT 6PK 12z CN.,14094,14094,,,,a,401 01B 000,Case,24.00,,,u,_034100003340,Master,22.45,0.00,2018-10-01,2075-12-31
_034100003548,,,,,,,,,,,,,u,_034100003548,,,,,
_034100003548,,,,,,,,,,,,,u,_034100573041,,,,,
_034100003555,MILLER LT 24z CN,38387,38387,,,,a,401 01J 000,Case,12.00,,,u,_034100003555,Master,19.05,0.00,2017-01-30,2075-12-31
_034100003555,,,,,,,,,,,,,u,_034100573461,,,,,
_034100003760,MILLER LT 16z ALUM (LOOSE),183796,183796,,,,a,401 01J 000,Case,24.00,,,u,_034100003760,Master,18.40,0.00,2017-10-02,2075-12-31
_034100003937,REDDS WICKED SSL 24z CN,1081294,1081294,,,,a,401 01J 000,Case,12.00,,,u,_034100003937,Master,23.60,0.00,2017-10-02,2075-12-31
_034100006228,OLD ENGLISH 800 42z LN,23073,23073,,,,a,401 01J 000,Case,12.00,,,u,_022100143920,Master,25.25,0.00,2015-06-29,2075-12-31
_034100006228,,,,,,,,,,,,,u,_034100000455,,,,,
_034100006228,,,,,,,,,,,,,u,_034100006228,,,,,
_034100006228,,,,,,,,,,,,,u,_034100006389,,,,,
_034100006228,,,,,,,,,,,,,u,_034100062217,,,,,
_034100007683,ICEHOUSE EDGE 24z CN,1051056,1051056,,,,a,401 01J 000,Case,12.00,,,u,_034100007683,Master,9.60,0.00,2017-10-02,2075-12-31
_034100007683,,,,,,,,,,,,,u,_034100626396,,,,,
_034100007751,LEINENK SSL SHANDY 16z CN (LOOSE),193018,193018,,,,a,401 01J 000,Case,24.00,,,u,_034100007591,Master,27.00,0.00,2017-01-30,2075-12-31
_034100007751,,,,,,,,,,,,,u,_034100007751,,,,,
_034100007805,REDDS APPLE ALE 16z CN,1052616,1052616,,,,a,401 01J 000,Case,24.00,,,u,_034100007805,Master,27.00,0.00,2017-01-02,2075-12-31
_034100007805,,,,,,,,,,,,,u,_034100087210,,,,,
_034100008215,EASY TEA 24z CN,1081687,1081687,,,,a,401 01J 000,Case,12.00,,,u,_034100008215,Master,25.50,0.00,2016-08-18,2075-12-31
_034100008406,TWO HATS LIME 6PK 16z CN,1086034,1086034,,,,a,401 01B 000,Case,24.00,,,u,_034100008406,Master,15.90,0.00,2018-04-30,2075-12-31
_034100008413,TWO HATS PINEAPPLE 6PK 16z CN,1086045,1086045,,,,a,401 01B 000,Case,24.00,,,u,_034100008413,Master,17.50,0.00,2018-03-05,2075-12-31
_034100008482,TWO HATS PINEAPPLE 4PK 16z CN,1086046,1086046,,,,a,401 01A 000,Case,24.00,,,u,_034100008482,Master,13.45,0.00,1900-01-01,2075-12-31
_034100008499,TWO HATS LIME 4PK 16z CN,1086038,1086038,,,,a,401 01A 000,Case,24.00,,,u,_034100008499,Master,13.45,0.00,1900-01-01,2075-12-31
_034100008567,REDDS WICKED LEMONADE 24Z CN,1087852,1087852,,,,a,401 01J 000,Case,12.00,,,u,_034100008567,Master,23.60,0.00,1900-01-01,2075-12-31
_034100008802,ICEHOUSE 24z CN,38006,38006,,,,a,401 01J 000,Case,12.00,,,u,_034100008802,Master,9.60,0.00,2015-06-29,2075-12-31
_034100008802,,,,,,,,,,,,,u,_034100623463,,,,,
_034100013400,MILLER HL 18PK 12z CN,41418,41418,,,,a,401 01F 000,Case,18.00,,,u,_034100013400,Master,9.90,0.00,2015-06-29,2075-12-31
_034100015053,MILLER HL 6PK 12z LN,13480,13480,,,,a,401 01B 000,Case,24.00,,,u,_034100000219,Master,16.80,0.00,2018-10-01,2075-12-31
_034100015053,,,,,,,,,,,,,u,_034100012052,,,,,
_034100015053,,,,,,,,,,,,,u,_034100015053,,,,,
_034100087166,REDDS APPLE ALE 6PK 12z LN,1052617,1052617,,,,a,401 01B 000,Case,24.00,,,u,_034100087166,Master,30.00,0.00,2018-12-31,2075-12-31
_034100087166,,,,,,,,,,,,,u,_034100087173,,,,,
_034100087180,REDDS APPLE ALE 12PK 12z CN,1053782,1053782,,,,a,401 01D 000,Case,24.00,,,u,_034100087180,Master,24.50,0.00,2015-06-29,2075-12-31
_034100087302,REDDS PEACH ALE 6PK 12z LN,1054188,1054188,,,,a,401 01B 000,Case,24.00,,,u,_034100087302,Master,30.00,0.00,2018-12-31,2075-12-31
_034100087463,REDDS BLUEBERRY 6PK 12z LN,1064593,1064593,,,,a,401 01B 000,Case,24.00,,,u,_034100087463,Master,30.00,0.00,2018-12-31,2075-12-31
_034100172565,MILLER GD 18PK 12z LN.,80574,80574,,,,a,401 01F 000,Case,18.00,,,u,_034100172565,Master,13.30,0.00,2015-10-01,2075-12-31
_034100498054,LEINENK SUNSET WHET 6PK 12z LN,165767,165767,,,,a,401 01B 000,Case,24.00,,,u,_034100000660,Master,30.00,0.00,2018-12-31,2075-12-31
_034100498054,,,,,,,,,,,,,u,_034100494056,,,,,
_034100498054,,,,,,,,,,,,,u,_034100498054,,,,,
_034100516055,LEINENK SSL SHANDY 6PK 12z LN,1052645,1052645,,,,a,401 01B 000,Case,24.00,,,u,_034100516055,Master,30.00,0.00,2018-12-31,2075-12-31
_034100516055,,,,,,,,,,,,,u,_034100516062,,,,,
