ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_018200000188,BUD 6PK 16Z CN,13442,13442,,,,a,401 01B 000,Case,24.00,,,u,_018200000188,Master,20.20,0.00,1900-01-01,2075-12-31
_018200000775,HURRICANE 40Z LN,51973,51973,,,,a,401 01J 000,Case,12.00,,,u,_018200000775,Master,25.44,0.00,1900-01-01,2075-12-31
_018200000782,NATURAL ICE 6PK 16Z CN,42925,42925,,,,a,401 01B 000,Case,24.00,,,u,_018200000782,Master,12.80,0.00,1900-01-01,2075-12-31
_018200001154,BUD LT 6PK 16Z CN,13452,13452,,,,a,401 01B 000,Case,24.00,,,u,_018200001154,Master,20.16,0.00,1900-01-01,2075-12-31
_018200001260,BUD 40Z LN,13443,13443,,,,a,401 01J 000,Case,12.00,,,u,_018200001260,Master,31.92,0.00,1900-01-01,2075-12-31
_018200001314,KING COBRA 40Z LN,16584,16584,,,,a,401 01J 000,Case,12.00,,,u,_018200001314,Master,24.36,0.00,1900-01-01,2075-12-31
_018200001604,BUD LT 40Z LN,13453,13453,,,,a,401 01J 000,Case,12.00,,,u,_018200001604,Master,31.92,0.00,1900-01-01,2075-12-31
_018200001697,BUD LT 6PK 12Z LN,14091,14091,,,,a,401 01B 000,Case,24.00,,,u,_018200001697,Master,19.36,0.00,1900-01-01,2075-12-31
_018200001697,,,,,,,,,,,,,u,_018200008337,,,,,
_018200002250,NATURAL LT 25Z CN,x001-59070,59070,,,,a,401 01J 000,Case,15.00,,,u,_018200002250,Master,17.70,0.00,1900-01-01,2075-12-31
_018200002250,,,,,,,,,,,,,u,_018200250026,,,,,
_018200002427,BUSCH LT 25Z CN,59071,59071,,,,a,401 01J 000,Case,15.00,,,u,_018200002427,Master,24.75,0.00,1900-01-01,2075-12-31
_018200002427,,,,,,,,,,,,,u,_018200250040,,,,,
_018200002434,BUD ICE 6PK 16Z CN,38353,38353,,,,a,401 01B 000,Case,24.00,,,u,_018200002434,Master,12.80,0.00,1900-01-01,2075-12-31
_018200002700,BUSCH N/A 6PK 12Z CN,32808,32808,,,,a,401 02A 000,Case,24.00,,,u,_018200002700,Master,14.70,0.00,1900-01-01,2075-12-31
