ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_022100001701,PABST 12PK 12Z CN,13504,13504,,,,a,401 01D 000,Case,24.00,,,u,_022100001701,Master,16.00,0.00,1900-01-01,2075-12-31
_022100001718,PABST 24PK 12Z CN,35039,35039,,,,a,401 01H 000,Case,24.00,,,u,_022100001718,Master,16.90,0.00,1900-01-01,2075-12-31
_022100001732,PABST 24PK 16Z CN,32000178,32000178,,,,a,401 01H 000,Case,24.00,,,u,_022100001732,Master,17.70,0.00,1900-01-01,2075-12-31
_022100002883,PABST 12PK 12Z LN,34097,34097,,,,a,401 01D 000,Case,24.00,,,u,_022100002883,Master,17.60,0.00,1900-01-01,2075-12-31
_025569191136,SUMMIT SSL 12PK 12z CN,32000195,32000195,,,,a,401 01D 000,Case,24.00,,,u,_025569191136,Master,28.00,0.00,1900-01-01,2075-12-31
_025569191778,SUMMIT SAGA IPA 6PK 12Z LN,32000196,32000196,,,,a,401 01B 000,Case,24.00,,,u,_025569191778,Master,29.55,0.00,1900-01-01,2075-12-31
_025569191839,SUMMIT SAGA IPA 12PK 12Z LN,32000197,32000197,,,,a,401 01D 000,Case,24.00,,,u,_025569191839,Master,29.55,0.00,1900-01-01,2075-12-31
_025569195073,SUMMIT SUMMER ALE 6PK 12Z LN,32000199,32000199,,,,a,401 01B 000,Case,24.00,,,u,_025569195073,Master,29.55,0.00,1900-01-01,2075-12-31
_025569197558,SUMMIT PILSNER 12PK 12Z CN,32000202,32000202,,,,a,401 01D 000,Case,24.00,,,u,_025569197558,Master,29.55,0.00,1900-01-01,2075-12-31
_025569241619,SUMMIT EPA 6PK 12Z LN,32000204,32000204,,,,a,401 01B 000,Case,24.00,,,u,_025569241619,Master,29.55,0.00,1900-01-01,2075-12-31
_025569241732,SUMMIT EPA 12PK 12Z LN,32000205,32000205,,,,a,401 01D 000,Case,24.00,,,u,_025569241732,Master,29.55,0.00,1900-01-01,2075-12-31
_025569243552,SUMMIT PALE ALE 12PK CANS,32000207,32000207,,,,a,401 01D 000,Case,24.00,,,u,_025569243552,Master,29.55,0.00,1900-01-01,2075-12-31
_033544950210,CERVEZAS CLASICO 12PK 12Z LN,1077169,1077169,,,,a,401 01D 000,Case,24.00,,,u,_033544950210,Master,27.50,0.00,1900-01-01,2075-12-31
_033544950333,MODELO CHELADA PICANTE 24Z CN,1085681,1085681,,,,a,401 01J 000,Case,12.00,,,u,_033544950333,Master,26.00,0.00,1900-01-01,2075-12-31
_033544950418,CORONA PREMIER 6PK 12Z LN,1083425,1083425,,,,a,401 01B 000,Case,24.00,,,u,_033544950418,Master,27.50,0.00,1900-01-01,2075-12-31
_033544950425,CORONA PREMIER 12PK 12Z LN,1085684,1085684,,,,a,401 01D 000,Case,24.00,,,u,_033544950425,Master,27.50,0.00,1900-01-01,2075-12-31
_033544950449,CORONA PREMIER 12PK 12Z CN,1087404,1087404,,,,a,401 01D 000,Case,24.00,,,u,_033544950449,Master,27.50,0.00,1900-01-01,2075-12-31
_033544950470,CORONA PREMIER 24Z CN,1085682,1085682,,,,a,401 01J 000,Case,12.00,,,u,_033544950470,Master,26.00,0.00,1900-01-01,2075-12-31
_033544950517,CORONA FAMILIAR 6PK 12Z LN,1083422,1083422,,,,a,401 01B 000,Case,24.00,,,u,_033544850510,Master,27.50,0.00,1900-01-01,2075-12-31
_033544950517,,,,,,,,,,,,,u,_033544950517,,,,,
_033544950531,CORONA FAMILIAR 12PK 12Z LN,1084974,1084974,,,,a,401 01D 000,Case,24.00,,,u,_033544950531,Master,27.50,0.00,1900-01-01,2075-12-31
_034100000059,MILLER HL 24Z CN,89317,89317,,,,a,401 01J 000,Case,12.00,,,u,_034100000059,Master,17.60,0.00,1900-01-01,2075-12-31
_034100000318,MILLER HL 32Z LN,16798,16798,,,,a,401 01J 000,Case,12.00,,,u,_034100000318,Master,22.00,0.00,1900-01-01,2075-12-31
_034100001513,MILW BEST ICE 40Z LN,57909,57909,,,,a,401 01J 000,Case,12.00,,,u,_034100001513,Master,22.00,0.00,1900-01-01,2075-12-31
_034100001599,MILW BEST 42Z LN,13519,13519,,,,a,401 01J 000,Case,12.00,,,u,_034100001599,Master,20.35,0.00,1900-01-01,2075-12-31
_034100001735,HAMMS 6PK 16Z CN,1084246,1084246,,,,a,401 01B 000,Case,24.00,,,u,_034100001735,Master,16.50,0.00,1900-01-01,2075-12-31
_034100003234,REDDS WICKED ALE 24Z CN,1056698,1056698,,,,a,401 01J 000,Case,12.00,,,u,_034100003234,Master,25.80,0.00,1900-01-01,2075-12-31
_034100003340,MILLER LT 6PK 12Z CN,14094,14094,,,,a,401 01B 000,Case,12.00,,,u,_034100003340,Master,22.00,0.00,1900-01-01,2075-12-31
_034100003401,REDDS VARIETY 12PK 12Z LN,1065771,1065771,,,,a,401 01D 000,Case,24.00,,,u,_034100003401,Master,26.95,0.00,1900-01-01,2075-12-31
_034100003425,REDDS WICKED ALE 12PK 10Z CN,1056699,1056699,,,,a,401 01D 000,Case,24.00,,,u,_034100003425,Master,22.00,0.00,1900-01-01,2075-12-31
_034100003555,MILLER LT 24Z CN,38387,38387,,,,a,401 01J 000,Case,12.00,,,u,_034100003555,Master,24.60,0.00,1900-01-01,2075-12-31
_034100003876,REDDS WICKED BLK CHRY 24Z CN,1070543,1070543,,,,a,401 01J 000,Case,12.00,,,u,_034100003876,Master,25.80,0.00,1900-01-01,2075-12-31
_034100003937,REDDS WICKED SSL 24Z CN,1081267,1081267,,,,a,401 01J 000,Case,12.00,,,u,_034100003937,Master,25.80,0.00,1900-01-01,2075-12-31
_034100003951,MILLER HL CHAMPAGNE 750ML,1089215,1089215,,,,a,401 03A 000,Case,12.00,,,u,_034100003951,Master,33.50,0.00,1900-01-01,2075-12-31
_034100006228,OLD ENGLISH 800 42Z LN,23073,23073,,,,a,401 01J 000,Case,12.00,,,u,_034100006228,Master,28.80,0.00,1900-01-01,2075-12-31
_034100007751,LEINENK SSL SHANDY 16Z CN,193018,193018,,,,a,401 01J 000,Case,24.00,,,u,_034100007751,Master,32.00,0.00,1900-01-01,2075-12-31
_034100008413,TWO HATS PINEAPPLE 6PK 16Z CN,1086045,1086045,,,,a,401 01B 000,Case,24.00,,,u,_034100008413,Master,17.60,0.00,1900-01-01,2075-12-31
_034100008499,TWO HATS LIME 4PK 16Z CN,1086038,1086038,,,,a,401 01A 000,Case,24.00,,,u,_034100008499,Master,17.60,0.00,1900-01-01,2075-12-31
_034100008567,REDDS WICKED LEMONADE 24Z CN,1087852,1087852,,,,a,401 01J 000,Case,12.00,,,u,_034100008567,Master,25.80,0.00,1900-01-01,2075-12-31
_034100008802,ICEHOUSE 24z CN,38006,38006,,,,a,401 01J 000,Case,12.00,,,u,_034100008802,Master,9.60,0.00,1900-01-01,2075-12-31
_034100008802,,,,,,,,,,,,,u,_034100623463,,,,,
_034100012434,MILLER HL 24PK 12Z LN,165146,165146,,,,a,401 01H 000,Case,24.00,,,u,_034100012434,Master,16.90,0.00,1900-01-01,2075-12-31
_034100013066,MILLER HL 24PK 12Z CN,30832,30832,,,,a,401 01H 000,Case,24.00,,,u,_034100013066,Master,16.90,0.00,1900-01-01,2075-12-31
_034100013813,MILLER HL 18PK 16Z CN,1065766,1065766,,,,a,401 01F 000,Case,18.00,,,u,_034100013813,Master,15.40,0.00,1900-01-01,2075-12-31
_034100015053,MILLER HL 6PK 12Z LN,13480,13480,,,,a,401 01B 000,Case,24.00,,,u,_034100015053,Master,17.50,0.00,1900-01-01,2075-12-31
_034100015091,MILLER HL 12PK 12Z LN,15745,15745,,,,a,401 01D 000,Case,24.00,,,u,_034100015091,Master,17.60,0.00,1900-01-01,2075-12-31
_034100016364,MILLER HL 12PK 12Z CN,13481,13481,,,,a,401 01D 000,Case,24.00,,,u,_034100016029,Master,15.20,0.00,1900-01-01,2075-12-31
_034100016364,,,,,,,,,,,,,u,_034100016364,,,,,
_034100016418,MILLER HL 6PK 7Z LN,1075874,1075874,,,,a,401 01B 000,Case,24.00,,,u,_034100016418,Master,11.60,0.00,1900-01-01,2075-12-31
_034100032432,MILLER HL LT 24PK 12Z LN,32000235,32000235,,,,a,401 01H 000,Case,24.00,,,u,_034100032432,Master,16.90,0.00,1900-01-01,2075-12-31
_034100033064,MILLER HL LT 24PK 12Z CN,1068410,1068410,,,,a,401 01H 000,Case,24.00,,,u,_034100033064,Master,16.90,0.00,1900-01-01,2075-12-31
_034100035099,MILLER HL LT 12PK 12Z LN,23837,23837,,,,a,401 01D 000,Case,24.00,,,u,_034100035099,Master,17.60,0.00,1900-01-01,2075-12-31
_034100036362,MILLER HL LT 12PK 12Z CN,30305,30305,,,,a,401 01D 000,Case,24.00,,,u,_034100036362,Master,17.60,0.00,1900-01-01,2075-12-31
_034100073060,MILW BEST LT 24PK 12Z CN,21335,21335,,,,a,401 01H 000,Case,24.00,,,u,_034100073060,Master,13.00,0.00,1900-01-01,2075-12-31
_034100073442,MILW BEST LT 15PK 12Z CN,1087002,1087002,,,,a,401 01E 000,Case,30.00,,,u,_034100073442,Master,12.80,0.00,1900-01-01,2075-12-31
_034100087166,REDDS APPLE ALE 6PK 12Z LN,1052617,1052617,,,,a,401 01B 000,Case,24.00,,,u,_034100087166,Master,26.40,0.00,1900-01-01,2075-12-31
_034100087180,REDDS APPLE ALE 12PK 12Z CN,1053782,1053782,,,,a,401 01D 000,Case,24.00,,,u,_034100087180,Master,26.95,0.00,1900-01-01,2075-12-31
_034100087227,REDDS APPLE ALE 12PK 12Z LN,1055292,1055292,,,,a,401 01D 000,Case,24.00,,,u,_034100087227,Master,26.95,0.00,1900-01-01,2075-12-31
_034100087302,REDDS PEACH ALE 6PK 12Z LN,1054188,1054188,,,,a,401 01B 000,Case,24.00,,,u,_034100087302,Master,29.30,0.00,1900-01-01,2075-12-31
_034100087463,REDDS BLUEBERRY 6PK 12Z LN,1064593,1064593,,,,a,401 01B 000,Case,24.00,,,u,_034100087463,Master,26.40,0.00,1900-01-01,2075-12-31
_034100087470,REDDS BLUEBERRY 12PK 12Z LN,1064571,1064571,,,,a,401 01D 000,Case,24.00,,,u,_034100087470,Master,26.95,0.00,1900-01-01,2075-12-31
_034100087494,REDDS WICKED MANGO 12PK 10Z CN,1064563,1064563,,,,a,401 01D 000,Case,24.00,,,u,_034100087494,Master,22.00,0.00,1900-01-01,2075-12-31
_034100087555,REDDS WICKED BLK CHRY 12PK 10Z CN,1070544,1070544,,,,a,401 01D 000,Case,24.00,,,u,_034100087555,Master,22.00,0.00,1900-01-01,2075-12-31
_034100106027,SHARPS N/A 12PK 12Z CN,36964,36964,,,,a,401 02B 000,Case,24.00,,,u,_034100106027,Master,14.90,0.00,1900-01-01,2075-12-31
_034100153069,MILLER 64 24PK 12z CN(STCS),23660,23660,,,,a,401 01H 000,Case,24.00,,,u,_034100153069,Master,16.80,0.00,1900-01-01,2075-12-31
_034100153069,,,,,,,,,,,,,u,_034100153243,,,,,
_034100172435,MILLER GD 24PK 12Z LN,144305,144305,,,,a,401 01H 000,Case,24.00,,,u,_034100172435,Master,19.70,0.00,1900-01-01,2075-12-31
_034100172565,MILLER GD 18PK 12Z LN,80574,80574,,,,a,401 01F 000,Case,18.00,,,u,_034100172565,Master,15.60,0.00,1900-01-01,2075-12-31
_034100173067,MILLER GD 24PK 12Z CN (STCS),21334,21334,,,,a,401 01H 000,Case,24.00,,,u,_034100173067,Master,19.70,0.00,1900-01-01,2075-12-31
_034100173401,MILLER GD 18PK 12Z CN,47170,47170,,,,a,401 01F 000,Case,18.00,,,u,_034100173401,Master,15.60,0.00,1900-01-01,2075-12-31
_034100173654,MILLER GD 9PK 16Z ALUM,1053232,1053232,,,,a,401 01O 000,Case,18.00,,,u,_034100173654,Master,20.80,0.00,1900-01-01,2075-12-31
_034100175054,MILLER GD 6PK 12Z LN,13472,13472,,,,a,401 01B 000,Case,24.00,,,u,_034100175054,Master,21.65,0.00,1900-01-01,2075-12-31
_034100175092,MILLER GD 12PK 12Z LN,75052,75052,,,,a,401 01D 000,Case,24.00,,,u,_034100175092,Master,20.40,0.00,1900-01-01,2075-12-31
