ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_018200005640,BECKS SAPPHIRE 16z CN (LOOSE),1052615,1052615,,,,a,401 01J 000,Case,24.00,,,u,_018200005640,Master,18.00,0.00,2015-04-07,2075-12-31
_018200005640,,,,,,,,,,,,,u,_018200960345,HAMPTONS,18.00,0.00,2017-05-18,2075-12-31
_018200189968,BECKS SAPPHIRE 6PK 12z LN,1052613,1052613,,,,a,401 01B 000,Case,24.00,,,u,_018200189968,Master,27.49,0.00,2015-10-12,2075-12-31
_018200189968,,,,,,,,,,,,,u,_018200961151,HAMPTONS,27.49,0.00,2017-05-18,2075-12-31
_018200199844,BECKS SAPPHIRE 12PK 12z LN,1052614,1052614,,,,a,401 01D 000,Case,24.00,,,u,_018200199844,Master,21.50,0.00,2015-12-01,2075-12-31
_018200199844,,,,,,,,,,,,,,,HAMPTONS,21.50,0.00,2017-05-18,2075-12-31
_022100000742,PABST 6PK 16z CN,18781,18781,,,,a,401 01B 000,Case,24.00,,,u,_022100000742,Master,18.25,0.00,2017-10-02,2075-12-31
_022100000742,,,,,,,,,,,,,u,_022100001732,HAMPTONS,18.25,0.00,2017-10-02,2075-12-31
_030613000012,BROOKLYN LAGER 6PK 12z LN,1065746,1065746,,,,a,401 01B 000,Case,24.00,,,u,_030613000012,Master,31.49,0.00,2017-03-06,2075-12-31
_030613000012,,,,,,,,,,,,,,,HAMPTONS,31.49,0.00,2017-05-18,2075-12-31
_030613000333,BROOKLYN LAGER 16z CN,1065748,1065748,,,,a,401 01J 000,Case,24.00,,,u,_030613000333,Master,32.95,0.00,2015-11-02,2075-12-31
_030613000333,,,,,,,,,,,,,,,HAMPTONS,32.95,0.00,2017-05-18,2075-12-31
_030613000531,BROOKLYN SSL 6PK 12z LN,1065747,1065747,,,,a,401 01B 000,Case,24.00,,,u,_030613000531,Master,31.49,0.00,2017-03-06,2075-12-31
_030613000531,,,,,,,,,,,,,,,HAMPTONS,31.49,0.00,2017-05-18,2075-12-31
_030613000586,BROOKLYN SUMMER ALE 6PK 12z LN,1083580,1083580,,,,a,401 01B 000,Case,24.00,,,u,_030613000586,Master,31.49,0.00,1900-01-01,2075-12-31
_030613000586,,,,,,,,,,,,,,,HAMPTONS,31.49,0.00,1900-01-01,2075-12-31
_030613000616,BROOKLYN SSL 16z CN,1065749,1065749,,,,a,401 01J 000,Case,24.00,,,u,_030613000616,Master,32.95,0.00,2015-11-02,2075-12-31
_030613000616,,,,,,,,,,,,,,,HAMPTONS,32.95,0.00,2017-05-18,2075-12-31
_034100000059,MILLER HL 24z CN,89317,89317,,,,a,401 01J 000,Case,12.00,,,u,_034100000059,Master,13.69,0.00,2018-12-03,2075-12-31
_034100000059,,,,,,,,,,,,,u,_034100013462,HAMPTONS,13.69,0.00,2018-12-03,2075-12-31
_034100000073,MILLER HL 6PK 16z CN,13482,13482,,,,a,401 01B 000,Case,24.00,,,u,_034100000073,Master,18.00,0.00,2018-10-01,2075-12-31
