ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_00018200281372,BUD 20PK 16z ALUM,1076332,1076334,,,,a,401 01G 000,Case,20.00,,,u,_018200281372,Master,20.85,0.00,2017-07-24,2075-12-31
_00018200281402,BUD LT 20PK 16z ALUM,1076335,1076335,,,,a,401 01G 000,Case,20.00,,,u,_018200281402,Master,19.85,0.00,2015-09-23,2075-12-31
_016571910303,SPARKLING ICE BLK RASBERRY 17z,1052656,1052656,,,,a,601 11 000,Case,12.00,,,u,_016571910303,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17z,1052657,1052657,,,,a,601 11 000,Case,12.00,,,u,_016571910310,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17z,1052644,1052644,,,,a,601 11 000,Case,12.00,,,u,_016571910327,Master,9.00,0.00,2016-01-13,2075-12-31
_016571940355,SPARKLING ICE LEMONADE 17z,1052659,1052659,,,,a,601 11 000,Case,12.00,,,u,_016571940355,Master,9.00,0.00,2016-01-13,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17z,1064891,1064891,,,,a,601 11 000,Case,12.00,,,u,_016571950842,Master,9.00,0.00,2016-01-13,2075-12-31
_018200000188,BUD 6PK 16z CN,13442,13442,,,,a,401 01B 000,Case,24.00,,,u,_018200000188,Master,22.38,0.00,1900-01-01,2075-12-31
_018200000188,,,,,,,,,,,,,u,_018200110436,,,,,
_018200000294,NATTY RUSH PLUS BLUE 8z CN,1085494,1085494,,,,a,401 01D 000,Case,24.00,,,u,_018200000294,Master,15.45,0.00,1900-01-01,2075-12-31
_018200000300,NATTY RUSH PLUS WTRMLN 8z CN,1085498,1085498,,,,a,401 01D 000,Case,24.00,,,u,_018200000300,Master,15.45,0.00,2017-09-20,2075-12-31
_018200000317,NATURAL LT 6PK 12z CN,13490,13490,,,,a,401 01B 000,Case,24.00,,,u,_018200000317,Master,22.55,0.00,2018-09-24,2075-12-31
_018200000430,NATURAL LT 6PK 16z CN,28289,28289,,,,a,401 01B 000,Case,24.00,,,u,_018200000430,Master,17.97,0.00,1900-01-01,2075-12-31
_018200000430,,,,,,,,,,,,,u,_018200150432,,,,,
_018200000775,HURRICANE 40z LN,51973,51973,,,,a,401 01J 000,Case,12.00,,,u,_018200000775,Master,18.40,0.00,2015-08-27,2075-12-31
_018200000775,,,,,,,,,,,,,u,_018200180774,,,,,
_018200001062,BUD LT 6PK 12z CN,13450,13450,,,,a,401 01B 000,Case,24.00,,,u,_018200001062,Master,26.97,0.00,2018-09-24,2075-12-31
_018200001062,,,,,,,,,,,,,u,_018200530340,,,,,
_018200001154,BUD LT 6PK 16z CN,13452,13452,,,,a,401 01B 000,Case,24.00,,,u,_018200001154,Master,22.38,0.00,1900-01-01,2075-12-31
_018200001154,,,,,,,,,,,,,u,_018200530432,,,,,
_018200001178,BUD LT 32z LN,16580,16580,,,,a,401 01J 000,Case,12.00,,,u,_018200001178,Master,25.15,0.00,1900-01-01,2075-12-31
_018200001178,,,,,,,,,,,,,u,_018200530326,,,,,
_018200001604,BUD LT 40z LN,13453,13453,,,,a,401 01J 000,Case,12.00,,,u,_018200001604,Master,29.31,0.00,2018-09-24,2075-12-31
_018200001604,,,,,,,,,,,,,u,_018200531279,,,,,
_018200001741,BUD LT LIME-A-RITA 4PK 16Z CN,1051284,1051284,,,,a,401 01A 000,Case,24.00,,,u,_018200001741,Master,31.43,0.00,2016-02-01,2075-12-31
_018200002144,BUD LT LIME 22z LN,176528,176528,,,,a,401 01J 000,Case,15.00,,,u,_018200002144,Master,25.09,0.00,1900-01-01,2075-12-31
_018200002144,,,,,,,,,,,,,u,_018200963186,,,,,
_018200002441,BUD ICE 40z LN,28821,28821,,,,a,401 01J 000,Case,12.00,,,u,_018200002441,Master,17.52,0.00,2018-03-05,2075-12-31
_018200002441,,,,,,,,,,,,,u,_018200871313,,,,,
_018200003608,NATURAL ICE 40z LN,153929,153929,,,,a,401 01J 000,Case,12.00,,,u,_018200003608,Master,21.54,0.00,1900-01-01,2075-12-31
_018200003608,,,,,,,,,,,,,u,_018200183607,,,,,
_018200003608,,,,,,,,,,,,,u,_018200271274,,,,,
_018200003752,BUD ICE 4PK 16z CN,1058006,1058006,,,,a,401 01A 000,Case,24.00,,,u,_018200003752,Master,18.82,0.00,2018-09-24,2075-12-31
_018200005060,STELLA 4PK 15z CN,1050854,1050854,,,,a,401 01A 000,Case,24.00,,,u,_018200005060,Master,29.00,0.00,1900-01-01,2075-12-31
_018200005060,,,,,,,,,,,,,u,_018200961854,,,,,
_018200005244,MICHELOB ULTRA 4PK 16Z CN,1058066,1058066,,,,a,401 01A 000,Case,24.00,,,u,_018200005244,Master,26.15,0.00,1900-01-01,2075-12-31
_018200005282,BUSCH ICE 4PK 16z CN,1080531,1080531,,,,a,401 01A 000,Case,24.00,,,u,_018200005282,Master,17.97,0.00,2016-05-12,2075-12-31
