ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_0170446,SLIDING BOBBER,170446,170446,,,,a,601 34 016,Each,1.00,,,,,Master,0.99,0.00,1900-01-01,2075-12-31
_0170447,MAINLINER LURES 2/3,170447,170447,,,,a,601 34 016,Each,1.00,,,,,Master,2.33,0.00,1900-01-01,2075-12-31
_0170448,MAINLINER LURES 3/4,170448,170448,,,,a,601 34 016,Each,1.00,,,,,Master,2.31,0.00,1900-01-01,2075-12-31
_115226,SPAWN BAGS (BAIT),115226,115226,,,,a,601 34 016,Each,1.00,,,,,Master,2.59,0.00,2006-07-30,2075-12-31
_162394,TACKLE,162394,162394,,,,a,601 34 016,Each,1.00,,,,,Master,0.00,0.00,1900-01-01,2075-12-31
_1933906318,3IN BLK NEON WALLEYE GRUB,162539,162539,,,,a,601 34 016,Each,1.00,,,,,Master,1.49,0.00,1900-01-01,2075-12-31
_2578724852,LINDY POLE FLOAT,131074,131074,,,,a,601 34 016,Each,1.00,,,,,Master,0.67,0.00,2006-12-15,2075-12-31
_2863204631,POWER WIGG PK 75CT,162527,162527,,,,a,601 34 016,Each,1.00,,,,,Master,2.48,0.00,2006-12-15,2075-12-31
_2863213579,TRULINE SNS 17LB,162927,162927,,,,a,601 34 016,Each,1.00,,,,,Master,7.59,0.00,2006-12-15,2075-12-31
_3877562050,SINKER 1z,170450,170450,,,,a,601 34 016,Each,1.00,,,,,Master,0.10,0.00,1900-01-01,2075-12-31
_3998407290,HOT-N-TOT GD/OG,170403,170403,,,,a,601 34 016,Each,1.00,,,,,Master,3.25,0.00,1900-01-01,2075-12-31
_3998407854,HOT-N-TOT BL,170401,170401,,,,a,601 34 016,Each,1.00,,,,,Master,3.25,0.00,1900-01-01,2075-12-31
_3998407855,HOT-N-TOT GN/BK SPOTTED,170407,170407,,,,a,601 34 016,Each,1.00,,,,,Master,3.25,0.00,1900-01-01,2075-12-31
_3998407864,HOT-N-TOT BK/GD SPOTTED,170582,170582,,,,a,601 34 016,Each,1.00,,,,,Master,3.68,0.00,1900-01-01,2075-12-31
_3998428149,HOT-N-TOT GN/SV,170409,170409,,,,a,601 34 016,Each,1.00,,,,,Master,3.25,0.00,1900-01-01,2075-12-31
_3998428150,HOT-N-TOT GD/PK/SV,170397,170397,,,,a,601 34 016,Each,1.00,,,,,Master,3.25,0.00,1900-01-01,2075-12-31
_4275850744,KASS HOOK 4 50744,117465,117465,,,,a,601 34 016,Each,1.00,,,,,Master,0.10,0.00,1900-01-01,2075-12-31
_4275850766,TRU TURN BAIT HOLDER,159728,159728,,,,a,601 34 016,Each,1.00,,,,,Master,1.15,0.00,1900-01-01,2075-12-31
_4296505126,WOBGLO FLO OG/YL SZ10,170592,170592,,,,a,601 34 016,Each,1.00,,,,,Master,1.62,0.00,1900-01-01,2075-12-31
_4296505132,WOBGLO FLO OG 510,163321,163321,,,,a,601 34 016,Each,1.00,,,,,Master,1.62,0.00,2006-12-15,2075-12-31
_4296505135,WOBGLO FLO GN/OG,170413,170413,,,,a,601 34 016,Each,1.00,,,,,Master,1.62,0.00,1900-01-01,2075-12-31
_4296505214,WOBGLO FLO GN/PK,170411,170411,,,,a,601 34 016,Each,1.00,,,,,Master,1.62,0.00,1900-01-01,2075-12-31
_4296505217,WOBGLO FLO OG/PK,170415,170415,,,,a,601 34 016,Each,1.00,,,,,Master,1.62,0.00,1900-01-01,2075-12-31
_4296505220,WOBGLO FLO OG 508,170414,170414,,,,a,601 34 016,Each,1.00,,,,,Master,1.62,0.00,1900-01-01,2075-12-31
_4770800189,EAGLE CLAW HOOK 10 00189,117517,117517,,,,a,601 34 016,Each,1.00,,,,,Master,0.99,0.00,2006-12-15,2075-12-31
_4770817261,EGLCLW LZR 2X SZ2,170424,170424,,,,a,601 34 016,Each,1.00,,,,,Master,1.48,0.00,1900-01-01,2075-12-31
_4770817262,EGLCLW LZR 2X SZ4,170425,170425,,,,a,601 34 016,Each,1.00,,,,,Master,1.48,0.00,1900-01-01,2075-12-31
_4770817265,EGLCLW LZR 2X SZ10,170430,170430,,,,a,601 34 016,Each,1.00,,,,,Master,1.48,0.00,1900-01-01,2075-12-31
_4770853051,EAGLE CLAW SIZE 6 LAZER SHARP,173863,173863,,,,a,601 34 016,Each,1.00,,,,,Master,0.94,0.00,1900-01-01,2075-12-31
_9184152,BAIT & TACKLE OPEN RECV,184152,184152,,,,a,601 34 016,Each,1.00,,,,,Master,0.00,0.00,1900-01-01,2075-12-31
